Gene = PARS2
index = 1000
Annotated 5SS: [54]
Annotated 3SS: [5323]
SMsplice 5SS: [ 395 5421 5581 6896]
SMsplice 3SS: [5323 5493 6813 6984]
top_k =  500
Partition function (log Z): -6.350163850473937

Sorted 5' Splice Sites (High to Low Probability):
Position 5581: 0.7261782848620898
Position 6896: 0.6790070040862437
Position 5421: 0.5881933568321097
Position 395: 0.5082750858247806
Position 54: 0.392135594048079
Position 6716: 0.1851392508569832
Position 5555: 0.17612028568791308
Position 3994: 0.1320519595384347
Position 4932: 0.10568154124307899
Position 5151: 0.10369654976579087
Position 660: 0.06688582085314239
Position 5158: 0.05163064906903603
Position 714: 0.046722087576531825
Position 4070: 0.04478621406461424
Position 7131: 0.0424715138871663
Position 1355: 0.038037673417187653
Position 6697: 0.03309682669782584
Position 383: 0.02193504879666561
Position 1288: 0.02082115964026055
Position 5751: 0.020624137720937873
Position 2650: 0.018915361026404988
Position 3177: 0.017937808702347045
Position 64: 0.012283972929877584
Position 3145: 0.011338186956081932
Position 151: 0.011243011253521052
Position 1313: 0.01022537217703027
Position 777: 0.010035424695964527
Position 6271: 0.009282516127497288
Position 122: 0.007402522891939575
Position 773: 0.007042371475238177
Position 2787: 0.006580331785535272
Position 5436: 0.005851943288722326
Position 6494: 0.005720111504343091
Position 6028: 0.0057130861990659105
Position 4382: 0.005554628829006191
Position 1403: 0.004496210833652756
Position 3299: 0.004123861414716711
Position 58: 0.003313819352496677
Position 5635: 0.0029298603144602355
Position 5324: 0.002873445641160503
Position 1194: 0.002126793700031417
Position 6721: 0.0010499543700079694
Position 3341: 0.0006612184302140324
Position 6082: 0.0005101203969462908
Position 6906: 0.0005043220964554275
Position 571: 0.0005009469155646091
Position 7267: 0.0004294348769623653
Position 5518: 0.00035138760477567706
Position 2893: 0.0002946080415051893
Position 149: 0.00015421756681131715
Position 284: 0.00013826165665208572
Position 681: 0.00011416194069312497
Position 499: 0.00010903322646408003
Position 68: 9.966396253962203e-05
Position 1464: 2.630535588661121e-05
