Gene = LDLRAD2
index = 775
Annotated 5SS: [ 272 2559 3810 9347]
Annotated 3SS: [2132 3677 9184 9936]
SMsplice 5SS: [ 272 1359 3810]
SMsplice 3SS: [1276 3677 9184]
top_k =  500
Partition function (log Z): -5.824593021464196

Sorted 5' Splice Sites (High to Low Probability):
Position 272: 0.9867105895238117
Position 3810: 0.8516106111950729
Position 1359: 0.8375683368643377
Position 10749: 0.3456943104588073
Position 2634: 0.3086435247550422
Position 2559: 0.2998645314607604
Position 8584: 0.26117817563996754
Position 6775: 0.25118638410183924
Position 10356: 0.23818531686564648
Position 9347: 0.2024043504679547
Position 7478: 0.16132740180440033
Position 12368: 0.1375848790499269
Position 9399: 0.08461123091262972
Position 4262: 0.06468215572655518
Position 9638: 0.054976839150309154
Position 7693: 0.04350974655104553
Position 10169: 0.04274068126016874
Position 4103: 0.03569015345839558
Position 11720: 0.03073000122089418
Position 4421: 0.02570534095337749
Position 9264: 0.01358251736313936
Position 2209: 0.013031813039715276
Position 1396: 0.011926437039351203
Position 1341: 0.009593949809109926
Position 8601: 0.009537302287532815
Position 1214: 0.00917414955632736
Position 10295: 0.006980965362653048
Position 10309: 0.006436675987214181
Position 222: 0.00563737395576904
Position 3490: 0.004934495161543702
Position 6833: 0.0035897560026259324
Position 150: 0.0033732276634274574
Position 2365: 0.002612648405432369
Position 3715: 0.0020966240088822834
Position 849: 0.0020221808491923516
Position 7482: 0.0019878571476033193
Position 10753: 0.0017816289970905039
Position 1104: 0.0016231047147562106
Position 2249: 0.0012086791476979713
Position 7050: 0.0008778528661964351
Position 8056: 0.0007957289190892553
Position 154: 0.0007387382269740258
Position 1206: 0.0006846912161749339
Position 2303: 0.00041970193593047204
Position 737: 0.00038499239568781754
Position 2437: 0.00037948755969022415
Position 1749: 0.00037828075969569463
Position 3814: 0.0002718338637119518
Position 276: 0.00020539516531290655
Position 3821: 0.00020004060839744417
Position 1363: 0.00014160267633683498
Position 972: 0.00012452677365699447
Position 817: 0.00011508586417871886
Position 1416: 0.00011238402728883332
Position 1433: 0.0001079502716594178
Position 533: 8.301981353556606e-05
Position 73: 6.987055850345904e-05
Position 46: 6.904760623910235e-05
Position 2287: 6.110194249861325e-05
Position 632: 4.5498346552516986e-05
Position 291: 3.8212868870244205e-05
Position 1885: 3.371942191659876e-05
Position 1051: 2.8475264047339672e-05
Position 493: 1.965126214682242e-05
Position 584: 1.869131328579191e-05
Position 347: 1.2185717694399915e-05
Position 588: 1.0945546977521637e-05
Position 2717: 6.760121970050399e-06
Position 1145: 4.989376401885307e-06
Position 894: 4.28841945500201e-06
Position 1295: 3.7059717218848013e-06
Position 907: 2.667406728188786e-06
Position 1224: 2.605326576444893e-06
Position 410: 1.996308290689961e-06
Position 119: 8.096565537371855e-07
Position 2456: 6.855364631949961e-07
Position 75: 3.082952324110904e-07
Position 901: 2.0282462205941327e-07
Position 1024: 1.7235662531005006e-07
Position 210: 4.354243134563422e-08
Position 485: 2.221471940307648e-08
Position 3139: 9.958624454908205e-09
Position 405: 9.433399320813451e-10
Position 403: 8.773843667576693e-10
Position 774: 6.736030898832534e-10
Position 200: 3.080653566176163e-10
Position 338: 1.851714898584751e-10
Position 197: 8.881908324147465e-11
Position 1335: 6.816156785827215e-11
Position 468: 2.5320059415699224e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 1276: 0.7612442383696697
Position 3677: 0.7611579071542744
Position 2486: 0.5396489649080356
Position 9184: 0.4482153732208827
Position 10577: 0.4396107455658896
Position 8446: 0.27355851135483616
Position 9936: 0.2518892642214307
Position 10166: 0.21159211337107933
Position 6705: 0.14586760854227457
Position 12215: 0.12719492163085086
Position 9458: 0.11937062762082569
Position 12408: 0.11218954304409524
Position 6685: 0.10816697195145854
Position 12609: 0.10522971118764014
Position 7314: 0.08723644863555872
Position 1102: 0.08679475409348421
Position 4209: 0.08413114496840637
Position 12236: 0.06881761055039291
Position 11644: 0.06443211518121757
Position 7435: 0.04924149361317977
Position 11460: 0.04659779984127898
Position 3657: 0.045701778539984333
Position 7568: 0.043533951613228865
Position 3881: 0.041893704647562535
Position 12432: 0.03663334912591571
Position 9256: 0.03110694280649804
Position 9904: 0.030836878159206636
Position 3706: 0.02945684374196207
Position 2389: 0.02889639323502368
Position 7294: 0.02683731670326512
Position 2208: 0.018624590977548754
Position 3421: 0.018162065714122842
Position 2132: 0.016314271162576936
Position 9552: 0.014857867914846742
Position 2310: 0.011294887325450495
Position 10194: 0.010185414964094707
Position 1189: 0.00991826745187801
Position 2254: 0.006053031153336349
Position 1241: 0.006033047426404703
Position 11576: 0.006000071184043332
Position 9398: 0.005991904611673286
Position 12284: 0.00526588094860142
Position 11814: 0.004486239935517201
Position 4140: 0.0043317149855200306
Position 6708: 0.0029892249822880248
Position 3714: 0.002698614843942424
Position 4749: 0.0026122553665547353
Position 2064: 0.002308399219282512
Position 3571: 0.0021525492748016082
Position 11761: 0.0020833652939980666
Position 6727: 0.0016568599420994014
Position 3987: 0.001648221852744562
Position 1173: 0.001465143903872118
Position 7971: 0.001441373861051396
Position 6860: 0.0012944155124127211
Position 1123: 0.0009649324194423962
Position 2287: 0.000912714837571399
Position 2507: 0.0008860408813400917
Position 2597: 0.0007163923444310203
Position 4023: 0.0006815979468116977
Position 4162: 0.0006238790818369234
Position 783: 0.000611021436096853
Position 7611: 0.0005591923028138028
Position 7576: 0.0005153311140153985
Position 1214: 0.0005134371801796465
Position 4516: 0.00048028437064385993
Position 632: 0.0004558207622147021
Position 1120: 0.00045115793652236773
Position 5102: 0.00041846418130493646
Position 1283: 0.0004161658911290538
Position 1145: 0.0003991234884665282
Position 2111: 0.00037345831194709946
Position 4848: 0.0003688359498199915
Position 5628: 0.00035808051110573286
Position 665: 0.0003230953321371227
Position 5652: 0.00028121702668913533
Position 2158: 0.0002802145907261654
Position 5122: 0.0002778181738721417
Position 3886: 0.00019677367553483813
Position 4593: 0.00018929688438341533
Position 761: 0.0001668737741475681
Position 536: 0.0001590629410047656
Position 1107: 0.00015490088045148366
Position 4407: 0.00015345664679178422
Position 3481: 0.00014615520148875496
Position 3774: 0.00013301689352440802
Position 2622: 0.00013291425364121454
Position 241: 0.00013174919314447206
Position 4504: 0.00011624094291080568
Position 4680: 0.00011603870665355375
Position 1651: 0.00011077622244674888
Position 1550: 0.00010012563684648044
Position 689: 9.191545442832219e-05
Position 736: 8.56762301214362e-05
Position 2505: 7.858586235894995e-05
Position 1523: 7.208518015050654e-05
Position 5260: 6.716745745028775e-05
Position 442: 6.623366006018537e-05
Position 4188: 6.109648396445422e-05
Position 955: 5.750546700541636e-05
Position 3939: 5.436071561365361e-05
Position 916: 5.0247535156084664e-05
Position 2563: 5.012553268483098e-05
Position 2078: 4.647108286330643e-05
Position 2540: 4.643095004617779e-05
Position 3566: 4.59196396911709e-05
Position 1341: 4.531462707622803e-05
Position 3905: 4.41733614442592e-05
Position 1162: 3.822417632466814e-05
Position 1597: 3.454237656847157e-05
Position 3407: 3.4374492053254275e-05
Position 221: 3.2520708118312455e-05
Position 3797: 3.1194921919574176e-05
Position 2398: 2.4458013925513e-05
Position 598: 2.060002193039457e-05
Position 210: 2.0426965103306934e-05
Position 176: 1.4323648851291142e-05
