Gene = AL596220.1
index = 63
Annotated 5SS: [ 59 145]
Annotated 3SS: [  96 1757]
SMsplice 5SS: [126]
SMsplice 3SS: [554]
top_k =  500
Partition function (log Z): -13.016805020145625

Sorted 5' Splice Sites (High to Low Probability):
Position 126: 0.7157883073472564
Position 145: 0.09699174730390384
Position 469: 0.06703315733600908
Position 474: 0.03821184992750074
Position 780: 0.028225732141559632
Position 141: 0.020869078173144644
Position 137: 0.0190915860464036
Position 584: 0.017709770887878066
Position 832: 0.0121716803304822
Position 669: 0.0021721914179934254
Position 1158: 0.002130624015153138
Position 277: 0.000986745048584291
Position 811: 0.0009378014400103973
Position 1072: 0.0004819279212603346
Position 6: 0.0003048257564731781
Position 877: 0.00014625661110603618
Position 413: 1.0043266193739953e-06
Position 201: 5.787189329349856e-07
Position 494: 5.525618616235952e-07
Position 457: 3.759875578187479e-07
Position 696: 3.197611518288367e-07
Position 343: 2.697183223092386e-07
Position 332: 2.4797350600535693e-07
Position 322: 1.490270200973667e-07
Position 176: 1.401456494375789e-07
Position 206: 9.327549386092316e-08
Position 4: 7.006199618273289e-08
Position 68: 4.568373362060169e-08
Position 502: 3.584153910647431e-08
Position 526: 3.4708989765811993e-08
Position 149: 1.7929662755133658e-08
Position 164: 3.3295576502250894e-09
Position 181: 2.673981815706203e-09
Position 510: 1.2736183882158958e-09
Position 352: 7.145086240604705e-10
Position 159: 5.262037969567566e-10
Position 516: 4.837540981292478e-10
Position 186: 6.67900359329397e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 554: 0.33410933141316973
Position 493: 0.1962662701152289
Position 194: 0.1550985543070552
Position 379: 0.0716809229438619
Position 1024: 0.047747364792544926
Position 1320: 0.03845897711270968
Position 1389: 0.02568396151083983
Position 576: 0.021783887984929643
Position 335: 0.019287657295957397
Position 1302: 0.01902425366085169
Position 1417: 0.016820505753917712
Position 877: 0.010890000231218812
Position 199: 0.009794133226581255
Position 1178: 0.007961008100581096
Position 583: 0.0072411956405272725
Position 1324: 0.005825327122744208
Position 1157: 0.004946900321991691
Position 360: 0.0038550961922431256
Position 728: 0.0033841948664417895
Position 402: 0.002728025192310901
Position 341: 0.0024545233488617564
Position 998: 0.0019045796512596987
Position 701: 0.0015021196998126752
Position 705: 0.0013839815209578468
Position 427: 0.0010887469119348102
Position 312: 0.00095838545515845
Position 244: 0.0008364969180431271
Position 218: 0.0007919178231566474
Position 1152: 0.0007161115973229052
Position 687: 0.0006736417434585868
Position 1071: 0.0006265989767528079
Position 337: 0.0004882896545677186
Position 886: 0.0004540561768285317
Position 800: 0.00044865521588668565
Position 1055: 0.00044379067487293017
Position 280: 0.00042169800558632527
Position 624: 0.0003714542657015678
Position 277: 0.0003625147063133291
Position 629: 0.0003463985509913752
Position 174: 0.0003016326328918778
Position 413: 0.000280332674054447
Position 1192: 0.0002777560404858239
Position 1235: 0.0002572072033135242
Position 1483: 0.0002523185810003483
Position 1434: 0.00023410054022120612
Position 1534: 0.0002272766983818445
Position 769: 0.00021902467784306194
Position 910: 0.00021174688036363577
Position 1029: 0.00018416024685772155
Position 716: 0.0001786724260960852
Position 1264: 0.00017585636141834654
Position 672: 0.00017211638026256231
Position 1593: 0.00016471167871210152
Position 230: 0.00015588117490567064
Position 1635: 0.00015113085491770602
Position 755: 0.00013192080791014313
Position 831: 0.00012536527686306866
Position 1189: 0.0001245063920726108
Position 1590: 9.449663538765332e-05
Position 1518: 9.327860479417692e-05
Position 505: 8.780391737817885e-05
Position 1117: 8.330555450534674e-05
Position 473: 7.548146495365098e-05
Position 881: 7.138157237478787e-05
Position 669: 5.797912808336496e-05
Position 626: 1.8502888584892574e-06
Position 735: 1.0459873188455944e-06
Position 292: 7.239424870966569e-07
Position 237: 6.036409282476157e-07
Position 760: 4.76748544302088e-07
Position 447: 3.9244868384775953e-07
Position 386: 3.5518954041982496e-07
Position 220: 1.608559552800039e-07
Position 201: 1.387090519902121e-07
Position 1057: 1.295776251552016e-07
Position 206: 1.237599698352953e-07
Position 789: 1.1560199579179748e-07
Position 170: 4.922610222047006e-08
Position 451: 3.029546598096121e-08
Position 457: 2.5610590477347464e-08
Position 465: 1.8731604623266395e-08
Position 510: 6.425422352715109e-09
Position 149: 4.647506578344907e-09
Position 81: 1.6581844301826746e-09
