Gene = DCP2
index = 432
Annotated 5SS: [  251  9251 15513 16035 24501 24734 24939 27342 31307 34072]
Annotated 3SS: [ 9098 15384 15935 24347 24620 24830 27205 31201 34019 36584]
SMsplice 5SS: [  251  6126 15513 15852 16035 24501 24734 24939 31307]
SMsplice 3SS: [ 6011 15417 15677 15935 24347 24620 24830 31201 43608]
top_k =  500
Partition function (log Z): 7.329653416948345

Sorted 5' Splice Sites (High to Low Probability):
Position 24939: 0.9998665715005837
Position 16035: 0.9949012999552057
Position 24734: 0.9943048766400435
Position 251: 0.9934019281755644
Position 15513: 0.9580405416176648
Position 6126: 0.9512413071348351
Position 24501: 0.9341912729875153
Position 31307: 0.906294933659234
Position 6459: 0.7923030001164194
Position 15852: 0.6966590141890077
Position 27342: 0.45522701703773105
Position 702: 0.3352648711008824
Position 16438: 0.2784914677475133
Position 788: 0.268347318163689
Position 12521: 0.1945541031711831
Position 32932: 0.19324166285997194
Position 36657: 0.1021825920652464
Position 1030: 0.07627883589951233
Position 28916: 0.07527548165175578
Position 19927: 0.05966182245491077
Position 38511: 0.05746132859067021
Position 32950: 0.045793822641330154
Position 24524: 0.03855504537911606
Position 35245: 0.0341793270345145
Position 33440: 0.03148846703633681
Position 36184: 0.02930272757174862
Position 26114: 0.029196929368265317
Position 1070: 0.02829184639986044
Position 16832: 0.025108405779528355
Position 36801: 0.023945527998541122
Position 24535: 0.019961946334098344
Position 36308: 0.019227935228418272
Position 2384: 0.017965723388192592
Position 6205: 0.017249031934109392
Position 19167: 0.016879357959406316
Position 31824: 0.016486509979629197
Position 31887: 0.015948030635328937
Position 1819: 0.01587459200813622
Position 4436: 0.014028099051729359
Position 25311: 0.013972662390360808
Position 5662: 0.013101162319567029
Position 21927: 0.01149284170832304
Position 17110: 0.011182905030276875
Position 2749: 0.010975386974220507
Position 778: 0.00947865979317554
Position 26782: 0.00887379270935067
Position 1612: 0.008662248086712758
Position 675: 0.007788423153688388
Position 1874: 0.006290715758245601
Position 1093: 0.006024810107901023
Position 6130: 0.005335693695597688
Position 12482: 0.005278969341925603
Position 142: 0.005128863812239014
Position 1072: 0.004120295847137011
Position 5268: 0.0037908875007824122
Position 4552: 0.0036572578031571993
Position 12598: 0.0031293968893569384
Position 18518: 0.0025083104099896786
