Gene = NAT6
index = 914
Annotated 5SS: [204]
Annotated 3SS: [1888]
SMsplice 5SS: [596]
SMsplice 3SS: [1332]
top_k =  500
Partition function (log Z): -10.11462804714875

Sorted 5' Splice Sites (High to Low Probability):
Position 596: 0.6094229645845176
Position 631: 0.1846553139303433
Position 144: 0.10493656580665102
Position 1610: 0.07285171981671595
Position 235: 0.0710590933676317
Position 133: 0.06762864452411939
Position 724: 0.04370960595780962
Position 691: 0.019922643049136005
Position 1087: 0.01988826286646234
Position 2524: 0.017644046788051357
Position 1839: 0.015773510608784076
Position 469: 0.011241721858924109
Position 1277: 0.01042083115918606
Position 159: 0.0073239427016504296
Position 204: 0.005010508075023402
Position 1421: 0.0035260457063264142
Position 478: 0.002255923249951047
Position 2772: 0.001863262626801395
Position 1431: 0.0017653218639085803
Position 473: 0.0017203019137426176
Position 239: 0.001676859075036862
Position 208: 0.0014597261971907027
Position 252: 0.0012159429500310903
Position 296: 0.0010671201254718874
Position 821: 0.0010050517237842286
Position 2490: 0.0009492959942859905
Position 995: 0.000697316669331016
Position 566: 0.0006085544564019943
Position 303: 0.00047032972963959946
Position 583: 0.0004655692713368191
Position 841: 0.00044306620922552383
Position 1178: 0.0004047312407845112
Position 493: 0.00031316547764953165
Position 126: 0.00015528851975746377
Position 357: 9.851055154590517e-05
Position 622: 7.65776706445268e-05
Position 1484: 7.278226607874595e-05
Position 826: 5.843955370166139e-05
Position 1383: 5.0681117488140884e-05
Position 385: 4.948922667340573e-05
Position 265: 4.452284692904312e-05
Position 343: 2.189816092069192e-05
Position 257: 1.3638720669397851e-05
Position 29: 1.2875071822835346e-05
Position 113: 7.486483627612514e-06
Position 804: 1.412566639631926e-06
Position 8: 6.347581593886662e-07
Position 300: 4.0357896899787213e-07
Position 615: 2.0079731282307381e-07
Position 645: 3.3675858100183514e-08
Position 110: 1.4942940867870273e-08
Position 307: 4.0729280198316935e-10
Position 57: 3.876110262001563e-11
Position 52: 1.489690113976722e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 1332: 0.18193944186739106
Position 2721: 0.13518300714234158
Position 2595: 0.11932271617929022
Position 2617: 0.09825376846011058
Position 1574: 0.09087383210473873
Position 238: 0.0777085975124526
Position 911: 0.07124030521968099
Position 557: 0.06402951862721086
Position 1938: 0.05961387962767186
Position 723: 0.050953266524940255
Position 1720: 0.04308548283049611
Position 2852: 0.03374341648459075
Position 1743: 0.02765056801519221
Position 2489: 0.021871934295038576
Position 2301: 0.01972166567668416
Position 886: 0.018115260521805877
Position 1592: 0.016096612938079236
Position 396: 0.015122928194480788
Position 2298: 0.01398026290939151
Position 2557: 0.012399551287072274
Position 469: 0.012373532684502822
Position 1398: 0.011880663243915695
Position 1888: 0.010015187501249074
Position 314: 0.007834873739299636
Position 341: 0.007161025540098974
Position 1681: 0.0053456959685626495
Position 1609: 0.004635411304484595
Position 662: 0.0037584365705024296
Position 2348: 0.0030833113459819545
Position 1646: 0.002944197218781384
Position 1523: 0.0029241305622867936
Position 2950: 0.002901087120002987
Position 680: 0.002582047001260327
Position 1805: 0.0025074676673170343
Position 1495: 0.002340812055782426
Position 983: 0.002135670257367812
Position 1483: 0.0020615032057494627
Position 2009: 0.002029284235812217
Position 300: 0.001878079578391943
Position 837: 0.0017872228268272148
Position 1148: 0.001631611671991318
Position 1086: 0.0016189825014634892
Position 2730: 0.0015814165801065676
Position 373: 0.0011883536575389743
Position 2554: 0.0010975967065885992
Position 2198: 0.0010546728138842922
Position 2519: 0.000996961750794025
Position 764: 0.0009051104203973044
Position 2746: 0.0008896964368455794
Position 1917: 0.0008055539870691276
Position 2162: 0.0007807599817583196
Position 1855: 0.0007339725808049387
Position 1832: 0.0007227961271710332
Position 2096: 0.0006892428908998045
Position 2699: 0.0006806174354913035
Position 381: 0.0006579649563410502
Position 1652: 0.0006415478454794874
Position 2240: 0.0005847738362209997
Position 2247: 0.0004980864679804227
Position 1958: 0.00048328752322305467
Position 796: 0.00041892932861401004
Position 2043: 0.00040389755123932763
Position 2919: 0.00033854959112284756
Position 1544: 0.00027989832551587765
Position 528: 0.00025089705864360135
Position 809: 0.0002116125813035237
Position 564: 0.0001732732702077441
Position 265: 0.0001488566758231731
Position 580: 0.00010182114796242042
Position 1159: 8.511115401310741e-05
Position 1413: 5.8955287128513396e-05
Position 685: 5.81251125304957e-05
Position 490: 5.485628889670416e-05
Position 1172: 3.983458159659609e-05
Position 1343: 3.5338996935741106e-05
Position 930: 1.3668915350313808e-05
Position 457: 1.3657469287150684e-05
Position 720: 8.118372744036446e-06
Position 989: 5.9862161334171785e-06
Position 934: 5.516706482358613e-06
Position 522: 5.436732755860883e-06
Position 498: 4.874959850196879e-06
Position 426: 4.64379945559504e-06
Position 435: 4.368655813843963e-06
Position 343: 1.3408436242046328e-06
Position 595: 1.3212441871954355e-06
Position 399: 9.021416820225179e-07
Position 403: 7.385876249767832e-07
Position 357: 7.384787511349867e-07
Position 610: 6.768904517043859e-07
Position 432: 5.399807318839518e-07
Position 1042: 3.4649335180167445e-07
Position 208: 1.1894302724483037e-07
Position 582: 9.569709149113953e-08
Position 447: 8.727495109095048e-08
Position 415: 4.2231471513861336e-08
Position 348: 5.5330978734200445e-09
Position 325: 4.679411555704299e-09
Position 704: 3.4011362629401157e-10
Position 123: 1.304923927308383e-10
Position 126: 2.759681821175927e-11
Position 81: 8.827594498588464e-12
Position 187: 4.664659009782382e-12
Position 170: 1.9139862626266575e-12
Position 189: 1.310326094048587e-13
Position 194: 1.2698768190515595e-13
Position 156: 5.161997321944425e-14
Position 132: 4.0581074876096645e-14
Position 144: 6.3657955205130825e-15
Position 148: 2.5304759950401152e-17
Position 166: 9.363577106737246e-18
