Gene = RP11-15K19.2
index = 1160
Annotated 5SS: [  404 19103 24792 25447 36012 36423 66042]
Annotated 3SS: [18975 24338 25389 35884 36329 65901 67631]
SMsplice 5SS: [  404 19103 19335 25447 36012 36423 51814 54870 66042]
SMsplice 3SS: [18975 19223 25357 35884 36329 51704 54765 65901 67631]
top_k =  500
Partition function (log Z): -30.384891445516104

Sorted 5' Splice Sites (High to Low Probability):
Position 404: 0.9988044212080806
Position 19103: 0.9973206424134236
Position 19335: 0.9878779252323245
Position 8986: 0.9857777505572306
Position 25447: 0.9602158555905681
Position 7151: 0.40773026647826816
Position 7701: 0.3099501703698635
Position 6190: 0.13220274995261752
Position 1249: 0.055440473631639085
Position 5525: 0.02480210986355454
Position 7719: 0.01832739311806021
Position 2960: 0.014327903243787025
Position 8469: 0.012067083112602591
Position 2683: 0.011943355358918707
Position 20220: 0.0031932151482566926
Position 19329: 0.0006073709051733148
Position 408: 0.00045196702177431223
Position 222: 0.000397126831659591
Position 638: 0.00021308468367228265
Position 89: 7.796700643736707e-05
Position 973: 3.1421697868022244e-05
Position 49: 1.1653962768800317e-05
Position 9223: 5.442739404147511e-06
Position 727: 3.454454399837847e-06
Position 160: 2.5838606029548276e-06
Position 985: 1.8703844996105917e-06
Position 831: 1.6388236616569262e-06
Position 1641: 1.1730186806316336e-06
Position 235: 1.1248535635854974e-06
Position 1263: 6.977568355692271e-07
Position 878: 5.444529164429816e-07
Position 959: 5.24285150508407e-07
Position 2664: 4.96792043282817e-07
Position 980: 4.59671432615164e-07
Position 317: 3.3715171724420045e-07
Position 1717: 2.9014668672959e-07
Position 95: 2.183929607881128e-07
Position 394: 1.564312070774306e-07
Position 2798: 1.3040094200577852e-07
Position 362: 9.864749350330384e-08
Position 40: 6.45384785838371e-08
Position 2061: 5.9101863654267507e-08
Position 2992: 5.4126826683642584e-08
Position 1083: 5.2512181290650127e-08
Position 1302: 5.0814588643204735e-08
Position 3040: 4.690317071221667e-08
Position 823: 4.5002850842378105e-08
Position 1679: 4.139007828676532e-08
Position 712: 3.822235452023959e-08
Position 849: 2.7093779407917598e-08
Position 2104: 1.8789255275859515e-09
Position 2454: 6.21753709361788e-10
Position 1711: 5.43365282546317e-10
Position 1458: 3.693144913446022e-10
Position 2149: 3.4871554288063957e-10
Position 2087: 1.3196948920805412e-10
Position 805: 4.004393285553019e-11
Position 58: 1.3558137104353482e-11
Position 833: 7.848095470389076e-12
Position 947: 6.112390356526806e-12
Position 1025: 3.67723745037614e-12
Position 903: 3.5882265303314977e-12
Position 1079: 3.4734546027060157e-12
Position 209: 1.1277852112717534e-12
Position 692: 8.699699341599527e-14
Position 261: 3.53014381750152e-14
Position 182: 2.00085257102681e-14
Position 659: 7.253191521074298e-15
Position 271: 4.33088428607725e-18
Position 668: 4.301911476921365e-18

Sorted 3' Splice Sites (High to Low Probability):
Position 18975: 0.997466788111044
Position 8839: 0.9859122072267201
Position 25357: 0.9633026517415858
Position 19223: 0.7199834338675922
Position 35884: 0.6122178237062073
Position 7013: 0.28984589394284926
Position 19192: 0.27178559269795527
Position 7601: 0.15800143966759253
Position 7569: 0.15123997960967117
Position 7075: 0.0962826759839247
Position 30764: 0.06593972871349726
Position 6136: 0.06590918846429429
Position 27102: 0.06209901141903642
Position 29246: 0.0593598086614727
Position 25521: 0.05002051612942663
Position 1130: 0.04978259351769284
Position 25637: 0.046270300777266155
Position 6058: 0.04118498539485644
Position 25610: 0.028789926656000577
Position 6119: 0.020989342719223893
Position 29010: 0.017472277780551587
Position 7029: 0.014856804587516528
Position 8215: 0.012237477385934102
Position 24269: 0.012047589035292154
Position 2582: 0.011856440038700369
Position 5257: 0.010798603127761059
Position 27949: 0.010555850142216544
Position 19798: 0.010381227110083671
Position 2891: 0.009857816378973297
Position 7509: 0.008322434656673414
Position 5347: 0.007427644576657438
Position 7415: 0.007071368871759099
Position 22263: 0.004679400522183872
Position 6000: 0.0041219298283580496
Position 25586: 0.004066338321816464
Position 25649: 0.0034242732830762853
Position 5437: 0.0033569861642245608
Position 5355: 0.0032238806900779645
Position 1126: 0.002964427225139514
