Gene = IQUB
index = 717
Annotated 5SS: [  573 21005 23048 29747 30005 30352 36253 53154 63735 68116 71592 75568]
Annotated 3SS: [20603 22912 29584 29831 30195 36041 52977 63563 67938 71342 75381 80022]
SMsplice 5SS: [  573 29747 30005 30352 39627 40173 53154 63735 71592 75568]
SMsplice 3SS: [29584 29831 30195 39413 40031 52977 63563 71418 75381 80022]
top_k =  500
Partition function (log Z): -44.89025121511177

Sorted 5' Splice Sites (High to Low Probability):
Position 573: 0.6639613414480784
Position 637: 0.14083489226511509
Position 5298: 0.12782638327071402
Position 398: 0.09587306696649313
Position 585: 0.08854101396403481
Position 4704: 0.08198975013456025
Position 160: 0.04653242527418821
Position 8864: 0.044268703627416944
Position 11427: 0.04341740304181345
Position 4748: 0.03293528373176161
Position 632: 0.021634698833823195
Position 1310: 0.019534974952535485
Position 5864: 0.01806439323017045
Position 7653: 0.012466009646590304
Position 871: 0.010651186142146012
Position 10534: 0.010007789763056121
Position 5075: 0.005400109331511556
Position 4680: 0.005240024687272084
Position 10967: 0.0048484867555869835
Position 247: 0.0042157479567032615
Position 5495: 0.0019935121073116017
Position 4390: 0.0012580329018408
Position 4756: 0.0010020508340734674
Position 4660: 0.0009106707904716648
Position 2638: 0.0008504213992331424
Position 286: 0.000674728434690135
Position 6142: 0.0005632063145066127
Position 165: 0.0004113040643040324
Position 252: 0.0002239337673265939
Position 80: 0.00020396330541292557
Position 3842: 0.00015996021150047952
Position 35: 0.00014744812323661013
Position 1956: 0.00012699501704457926
Position 404: 5.995836376018943e-05
Position 249: 1.6097131625601127e-05
Position 387: 1.450779255277397e-05
Position 179: 7.076120928504405e-06
Position 264: 6.956308391378885e-06
Position 747: 6.4703086339341376e-06
Position 1108: 4.288937709395433e-06
Position 419: 1.5197871679496457e-06
Position 416: 1.4812989417637382e-06
Position 2291: 8.219016221980761e-07
Position 323: 5.623935562885858e-07
Position 1249: 4.70070747063594e-07
Position 167: 3.739779321900708e-07
Position 527: 2.443385594960563e-07
Position 402: 1.6620799577509842e-07
Position 577: 1.2163214088792864e-07
Position 409: 8.877696113164407e-08
Position 624: 6.194000264705583e-08
Position 579: 4.069621499892848e-08
Position 379: 2.117153122337412e-08
Position 442: 1.0548824891899976e-08
Position 489: 1.6657888566088282e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 20603: 0.3121527438258109
Position 11858: 0.24625883271112195
Position 5228: 0.14636721203146627
Position 12632: 0.1397418449702989
Position 4596: 0.12973141628796175
Position 8715: 0.08672520187009596
Position 5576: 0.08112325310088551
Position 503: 0.05915960868048649
Position 12657: 0.04883599408562758
Position 9797: 0.02520135443583907
Position 11308: 0.024392982632244126
Position 11304: 0.02353789843779623
Position 7420: 0.017252459705985164
Position 4913: 0.014410210000472816
Position 6058: 0.0133234447358101
Position 10387: 0.011998673589300655
Position 5392: 0.010923236263427049
Position 489: 0.008653819806588045
Position 10888: 0.007740538855775258
Position 2520: 0.007613069771454153
Position 1248: 0.007600702381392056
Position 5423: 0.006821696272961305
Position 4295: 0.006814022419220893
Position 6664: 0.006803094676949514
Position 416: 0.006235139769665686
Position 6024: 0.0038254502173607546
Position 2818: 0.0035205687325765784
Position 387: 0.0028359398112279117
Position 4615: 0.0027833826351890425
Position 4632: 0.0021338791687619593
Position 1245: 0.002124503571947425
Position 1105: 0.0019810092226305765
Position 2919: 0.0018937722752323672
Position 728: 0.0016955684570021249
Position 9932: 0.0016876189001712016
Position 284: 0.001643266214860781
Position 3725: 0.0014758724509769286
Position 4330: 0.0012013960600803723
Position 762: 0.0011673018766020413
Position 678: 0.0010179244358404637
Position 5603: 0.000741236559180841
Position 2589: 0.0007080705952849388
Position 5578: 0.00043836513903062124
Position 1927: 0.00043064235576909833
Position 3830: 0.00040427995207988694
Position 455: 0.0003922283799504804
Position 6072: 0.00033335039888624944
Position 5167: 0.00026385250298797665
Position 750: 0.00025537383720182955
Position 804: 0.00024348603943891145
Position 2539: 0.00021214612407603796
Position 3508: 0.000203583746165742
Position 397: 0.00019071982104152606
Position 4161: 0.0001488228955290693
Position 3082: 0.0001418544926557382
Position 568: 0.00014117935935616279
Position 732: 0.00012269819755997264
Position 5148: 0.00011181215817848941
Position 3931: 9.66420368169138e-05
Position 1891: 8.75320855026771e-05
Position 4179: 8.44430028686353e-05
Position 4018: 8.275448158455227e-05
Position 442: 7.846500157979478e-05
Position 3842: 7.140582932920915e-05
Position 1912: 6.621140527604663e-05
Position 2768: 5.810353674821173e-05
Position 1906: 4.5178768363922475e-05
Position 1614: 4.289510705473729e-05
Position 2522: 4.27971448045547e-05
Position 5800: 4.260178471677306e-05
Position 1300: 3.157233545222401e-05
Position 1147: 2.9329896625463085e-05
Position 1353: 2.8575678595135914e-05
Position 328: 2.517654169714091e-05
Position 621: 2.4808185106016605e-05
Position 459: 2.072493076474925e-05
Position 1032: 1.1141116699475237e-05
Position 519: 9.945448637541255e-06
Position 1746: 7.879578786338171e-06
