Gene = HES3
index = 648
Annotated 5SS: [ 50 255 438]
Annotated 3SS: [158 355 917]
SMsplice 5SS: [ 50 255 438]
SMsplice 3SS: [158 355 917]
top_k =  500
Partition function (log Z): 2.9757440695322765

Sorted 5' Splice Sites (High to Low Probability):
Position 255: 0.9952185127434582
Position 438: 0.9797171429137023
Position 50: 0.8192824313738802
Position 95: 0.017830112945674405
Position 616: 0.013943209015821016
Position 607: 0.01112271907730118
Position 1010: 0.010772084240168395
Position 697: 0.007623055293142032
Position 1078: 0.004750273166601744
Position 277: 0.002108113854119473
Position 57: 0.0014222126223351727
Position 281: 0.0006170762613006884
Position 1037: 0.0005870389779726615
Position 271: 0.00034779173583350667
Position 980: 0.00030518430131079924
Position 406: 0.00021661258568376923
Position 701: 0.00011377897392904075
Position 1102: 7.164619384142007e-05
Position 659: 6.867350945668e-05
Position 612: 6.513814107002902e-05
Position 394: 3.2210088701236445e-05
Position 677: 3.0511803206723984e-05
Position 727: 1.513500113896851e-05
Position 224: 1.4830190592729857e-05
Position 721: 1.3895249070738342e-05
Position 401: 1.2800681864873669e-05
Position 285: 2.72187250826581e-06
Position 694: 1.624969923566321e-06
Position 204: 9.288475945596525e-07
Position 1234: 9.274135110169217e-07
Position 105: 5.316695146159712e-07
Position 97: 8.748791675329643e-08
Position 474: 1.3982292575320333e-08
Position 122: 1.0049515899420693e-08
Position 206: 7.560944784355528e-09
Position 147: 2.2593507352142048e-09
Position 128: 1.6073686613191403e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 917: 0.9720999985378043
Position 355: 0.936836961995195
Position 158: 0.8080840565488947
Position 335: 0.029941503332607162
Position 143: 0.025942996166052463
Position 936: 0.016045109941414268
Position 322: 0.015546998021443846
Position 550: 0.012483141528125777
Position 525: 0.010069208936176877
Position 1191: 0.009424054354093398
Position 966: 0.007686132231834249
Position 555: 0.006100337176622059
Position 1228: 0.004333692572499909
Position 1212: 0.0039977848262611766
Position 117: 0.00154032629242485
Position 167: 0.0014753081432061148
Position 511: 0.000858412175473326
Position 1345: 0.0007848536561803633
Position 179: 0.0006396962603021426
Position 1232: 0.0006007410502843967
Position 500: 0.0003505420043228506
Position 185: 0.00028046895487485494
Position 364: 0.00021502430856742554
Position 1358: 0.00014541320898531833
Position 1004: 0.00012557883881990746
Position 700: 0.00010504121263110391
Position 218: 6.43811877782336e-05
Position 988: 5.7195271105889423e-05
Position 1369: 5.540713015053973e-05
Position 112: 5.235341166797089e-05
Position 1087: 4.9950665107551196e-05
Position 606: 4.721917011596492e-05
Position 1009: 4.211401141831204e-05
Position 633: 2.7046141818302437e-05
Position 513: 2.156940784329715e-05
Position 941: 1.8456460846062575e-05
Position 128: 1.6507042211408952e-05
Position 573: 1.4525571680511065e-05
Position 612: 1.4216496280895322e-05
Position 379: 1.4174584969883092e-05
Position 483: 1.2209957215142332e-05
Position 1379: 1.2114400785407401e-05
Position 215: 1.0114999803394362e-05
Position 120: 9.414016358572556e-06
Position 984: 7.510168022445757e-06
Position 577: 6.400603293589233e-06
Position 489: 5.176424123853942e-06
Position 1045: 5.167774810706171e-06
Position 1293: 4.773908701784315e-06
Position 1059: 4.061455588506705e-06
Position 1317: 4.026323529750308e-06
Position 659: 2.7494492478794484e-06
Position 602: 2.6236275837804794e-06
Position 376: 2.445291606979132e-06
Position 1047: 2.203283125510655e-06
Position 718: 1.6388872251159148e-06
Position 1090: 1.3208278199860066e-06
Position 641: 1.3015807225332463e-06
Position 1071: 1.292319183077168e-06
Position 437: 7.818386502374335e-07
Position 1017: 6.94781913184999e-07
Position 443: 6.061979089759382e-07
Position 590: 3.720620644191158e-07
Position 394: 2.916828270618841e-07
Position 254: 2.3228829313539467e-07
Position 485: 1.8223054511587416e-07
Position 424: 1.5890816900281867e-07
Position 406: 1.412287764238527e-07
Position 588: 1.3487357895561698e-07
Position 469: 8.948045168754621e-08
Position 399: 8.133204457649893e-08
Position 656: 6.719425134187263e-08
Position 224: 5.5452874223675454e-08
Position 417: 5.372497906225279e-08
Position 649: 4.08819444531696e-08
Position 236: 1.8813855106414343e-08
Position 414: 6.568849204120762e-11
Position 265: 3.284895274762415e-11
Position 259: 1.648418038099197e-11
