Gene = NSMF
index = 965
Annotated 5SS: [ 303  847 1928 2924 4096 4944 5604 6279 6599 6782 6970 9159 9412 9736]
Annotated 3SS: [ 784 1432 2847 4026 4890 5513 6153 6514 6747 6898 9078 9308 9659 9842]
SMsplice 5SS: [ 303  847 2924 3889 4944 5604 6279 6599 6782 6970 9412 9736]
SMsplice 3SS: [ 784 2847 3777 4890 5513 6153 6514 6747 6898 9308 9659 9842]
top_k =  500
Partition function (log Z): 22.53311303557128

Sorted 5' Splice Sites (High to Low Probability):
Position 2924: 0.9868988104290544
Position 9412: 0.9845160938377071
Position 9736: 0.9677880102131832
Position 303: 0.9527567995843972
Position 6279: 0.938377780372566
Position 5604: 0.933150698929147
Position 6782: 0.9048262387232108
Position 847: 0.9040238769002383
Position 3889: 0.8920488693292848
Position 6599: 0.8638097944090591
Position 6970: 0.8335284415003931
Position 4944: 0.645059522445219
Position 9937: 0.2471736876687636
Position 3706: 0.20207616735149253
Position 1928: 0.1944444056819279
Position 9159: 0.09218426701247093
Position 2660: 0.0802305099481764
Position 4096: 0.07667014512898626
Position 4613: 0.059812528158151426
Position 4589: 0.05707441276951461
Position 153: 0.053778158644702784
Position 5608: 0.05161595115180648
Position 7070: 0.051460727880223475
Position 6273: 0.03620851167057837
Position 3590: 0.02770838947701553
Position 5370: 0.026178217468516025
Position 6840: 0.02486263604362875
Position 582: 0.0241677957005852
Position 6674: 0.022322772682688664
Position 9171: 0.01933832813298963
Position 4931: 0.018699448075482288
Position 2459: 0.01815519814295747
Position 4136: 0.01687786240832681
Position 638: 0.0167398029168258
Position 6026: 0.01652963022370321
Position 4965: 0.013317414908301937
Position 7012: 0.012066506842975699
Position 1217: 0.011509737299265037
Position 6437: 0.009745642455642802
Position 7155: 0.009317648328968427
Position 1935: 0.008925637673411218
Position 4954: 0.007631343557093518
Position 9115: 0.00488392229543001
Position 7076: 0.00486087039123304
Position 3611: 0.004453922080107004
Position 3574: 0.0041176011525517016
Position 9555: 0.004106565562742263
Position 2949: 0.004023229087419475
Position 6031: 0.0037107344480653073
Position 7046: 0.003506239708495853
Position 6530: 0.003386742643401705
Position 48: 0.0030356702177054364
Position 3622: 0.0030188331580438075
Position 7098: 0.0027020285314039738
Position 928: 0.00267921568414294
