Gene = CLDND1
index = 378
Annotated 5SS: [ 195 1911 4159 5992]
Annotated 3SS: [1600 4047 5853 6163]
SMsplice 5SS: [ 195 5992]
SMsplice 3SS: [5895 6300]
top_k =  500
Partition function (log Z): -7.056524906216498

Sorted 5' Splice Sites (High to Low Probability):
Position 5992: 0.9369371974229245
Position 195: 0.8839707426680773
Position 4159: 0.5433905210091309
Position 502: 0.17070746222385969
Position 4507: 0.07439803439928032
Position 1391: 0.07377678347441635
Position 1911: 0.05557333177741885
Position 6928: 0.04595482068981365
Position 5821: 0.04192703785517553
Position 114: 0.03125057667240585
Position 1264: 0.028359358347613658
Position 1714: 0.02780907654144364
Position 2433: 0.027230243275732258
Position 6184: 0.025344319799736708
Position 3915: 0.024442866295997456
Position 6251: 0.01422771529889523
Position 3911: 0.013810932818290725
Position 356: 0.009842056837026021
Position 7326: 0.006510817668537071
Position 7069: 0.003983894382625313
Position 3530: 0.0037075819032675555
Position 3504: 0.0036915679822448204
Position 6244: 0.0032730766509009184
Position 6164: 0.0029099528848427806
Position 256: 0.0017612347588228717
Position 6687: 0.0017397130330425062
Position 199: 0.0009404927652785901
Position 1347: 0.0007439385157111349
Position 1310: 0.0006446438535529534
Position 1395: 0.000611019180430786
Position 1513: 0.0005997373222572362
Position 3512: 0.0004773998297756386
Position 3484: 0.00042882549399953103
Position 846: 0.00041891201536703345
Position 3124: 0.00041103858629899846
Position 2087: 0.0003852199253434405
Position 5996: 0.0003673126240188649
Position 3009: 0.0003138507886318473
Position 3521: 0.0002923501613867778
Position 427: 0.0002539139519323405
Position 139: 0.00022663587449193697
Position 3332: 0.00019194459224865714
Position 3286: 0.00018795670413411812
Position 674: 0.00017382598957681669
Position 300: 0.00015031277169069788
Position 7365: 0.00014955839962821485
Position 1491: 0.00012578536859135064
Position 3632: 0.00012340655912490054
Position 6726: 0.00011889530833222533
Position 286: 0.0001163115699884733
Position 441: 0.00010803885095773876
Position 1888: 0.00010709922292569484
Position 1998: 8.950664665201275e-05
Position 166: 8.263799282933306e-05
Position 1243: 6.8427471466057e-05
Position 1410: 4.8782751293976224e-05
Position 2253: 4.485332166859082e-05
Position 2309: 4.277124023338573e-05
Position 667: 4.1777136670712626e-05
Position 1255: 4.156842507648004e-05
Position 662: 3.559935909734814e-05
Position 228: 3.426015625510717e-05
Position 144: 2.9328640222954124e-05
Position 1339: 2.722876640270207e-05
Position 351: 2.3709606749733663e-05
