Gene = S100A8
index = 1221
Annotated 5SS: [120 582]
Annotated 3SS: [418 732]
SMsplice 5SS: [120 582]
SMsplice 3SS: [418 667]
top_k =  500
Partition function (log Z): -6.337979479544348

Sorted 5' Splice Sites (High to Low Probability):
Position 120: 0.8366481162003659
Position 582: 0.8287863574552309
Position 173: 0.09398101386216798
Position 246: 0.014934494269432304
Position 65: 0.012956690875082081
Position 116: 0.0062716293166032245
Position 494: 0.005674942823021716
Position 40: 0.005103476229994296
Position 572: 0.00504766038503307
Position 419: 0.004602911995287027
Position 96: 0.002455711617552189
Position 72: 0.0019265069296648808
Position 597: 0.001876792479894774
Position 165: 0.0014863070353204858
Position 563: 0.001224258058194893
Position 405: 0.0008073142739219438
Position 814: 0.000740957147965854
Position 294: 0.0005929965112112254
Position 197: 0.00048311454849520074
Position 195: 0.0004426307320554836
Position 428: 0.00036220786196974105
Position 299: 0.0001280365318932446
Position 133: 6.887442473784844e-05
Position 782: 6.788553356191015e-05
Position 356: 6.399789008643977e-05
Position 217: 3.899384169965275e-05
Position 170: 2.0442813185921532e-05
Position 199: 1.9358666685801532e-05
Position 740: 1.7690239228619036e-05
Position 244: 1.4441311553507198e-05
Position 565: 1.4292432707001506e-05
Position 182: 8.361871198405504e-06
Position 787: 5.816890069589719e-06
Position 753: 5.7907068918218684e-06
Position 620: 5.2841515104090795e-06
Position 311: 4.912827524021436e-06
Position 432: 4.327209987226495e-06
Position 215: 4.303460691244028e-06
Position 201: 1.8452922741333563e-06
Position 209: 4.413265337322412e-07
Position 645: 7.053686103769458e-10
Position 599: 6.918298775278431e-10
Position 483: 4.9898387549854764e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 418: 0.8943962909445573
Position 667: 0.7421142817538714
Position 732: 0.12350670354429116
Position 275: 0.024201142600951693
Position 693: 0.008755151726950294
Position 401: 0.007562973240820419
Position 494: 0.005711692585356602
Position 787: 0.004174699531188453
Position 920: 0.0033833931460108633
Position 532: 0.0020246810653136694
Position 404: 0.0018232907535823285
Position 822: 0.001452837354192521
Position 738: 0.0014281483247739596
Position 371: 0.0009441208291664106
Position 277: 0.0008814303969354876
Position 462: 0.000839732201037068
Position 458: 0.0007529743996796846
Position 509: 0.0006713406831133407
Position 760: 0.0003882707899480991
Position 316: 0.0003649240877858457
Position 428: 0.00022331285737853127
Position 642: 0.00020922195674625313
Position 452: 0.00020430886489863928
Position 798: 0.00019826587369026967
Position 141: 0.00015781015714733687
Position 311: 0.00013108186977711062
Position 309: 0.0001301758692876329
Position 283: 8.742942611007117e-05
Position 161: 6.432784075350926e-05
Position 745: 4.525415592779456e-05
Position 891: 1.743050989573419e-05
Position 835: 1.31118644417931e-05
Position 580: 8.38073742706091e-06
Position 116: 7.40570018434632e-06
Position 893: 7.272249395228722e-06
Position 801: 5.386015106883365e-06
Position 163: 2.6477583720211327e-06
Position 848: 2.612514858175977e-06
Position 873: 1.604377079381906e-06
Position 762: 1.52155393344411e-06
Position 321: 1.3248069175333578e-06
Position 856: 9.307544632053673e-07
Position 555: 7.438380537442439e-07
Position 158: 5.919440825006555e-07
Position 572: 4.0152158643619936e-07
Position 327: 3.5829926439194083e-07
Position 545: 7.321488981688643e-08
Position 182: 5.628773388994029e-08
Position 177: 3.912899534062547e-08
Position 106: 2.0633502781804682e-08
Position 124: 6.936155168312846e-09
