Gene = HGD
index = 650
Annotated 5SS: [  475  6780  7671 12145 29980 31798 34695 35599 36305 38253 40983 44117
 49425]
Annotated 3SS: [ 6707  7581 12038 29919 31705 34659 35518 36204 38127 40877 43989 49242
 54041]
SMsplice 5SS: [  475  7671 12145 31798 32221 34695 34998 35599 36305 38253 40983 44117
 49425]
SMsplice 3SS: [ 7581 12038 31705 32143 34659 34810 35518 36204 38127 40877 43989 49242
 53307]
top_k =  500
Partition function (log Z): -22.70705020864748

Sorted 5' Splice Sites (High to Low Probability):
Position 12145: 0.9946959853553435
Position 7671: 0.9503367418803962
Position 475: 0.8185665428146516
Position 4318: 0.5547737049351004
Position 7862: 0.4794260973794755
Position 6780: 0.4746799122582135
Position 11731: 0.32124644441841704
Position 4668: 0.2869629572592416
Position 3387: 0.22658343162971023
Position 13955: 0.1931948092350744
Position 963: 0.11077268353892006
Position 8081: 0.10337017741007593
Position 4779: 0.09793214804764785
Position 9079: 0.0913250920718114
Position 184: 0.08409650536420853
Position 12887: 0.0827911937728755
Position 654: 0.05832552493488673
Position 2368: 0.04434508882440179
Position 8636: 0.044296373527692855
Position 6069: 0.03926281368028657
Position 11146: 0.039101347516966235
Position 13713: 0.0369257299065997
Position 3434: 0.033790570431437024
Position 1747: 0.02884488162954877
Position 8337: 0.028533474856920597
Position 5318: 0.022152368592630454
Position 7709: 0.018928930935064626
Position 14676: 0.01704760403597869
Position 14667: 0.016886895373903064
Position 12643: 0.01658223955004944
Position 8514: 0.015251937958563697
Position 3481: 0.013295668289661944
Position 8716: 0.011726203400116686
Position 11962: 0.011438902337335825
Position 10298: 0.010580974620022613
Position 3765: 0.010066167676428815
Position 1140: 0.008594661727575047
Position 254: 0.008425403133498944
Position 10353: 0.008352432544308064
Position 7705: 0.00805923907185224
Position 547: 0.007772498371733802
Position 2204: 0.00656919150775735
Position 13238: 0.00638602209415466
Position 5370: 0.005114213929949783
Position 4206: 0.004977800147103334
Position 13693: 0.003717090178722365
Position 1484: 0.0031790836772896186
Position 4097: 0.002948486773756252
Position 8785: 0.0026816922165338263
Position 247: 0.0024735939555149663
Position 3364: 0.0019658577155096876
Position 5489: 0.001616476156581846
Position 3929: 0.0016090243019271579
Position 2432: 0.0013881088280380675
Position 13391: 0.001208561309169554
Position 12604: 0.001164605216319488
Position 1335: 0.0010850707568199674
Position 12668: 0.0010784909538635976
Position 4895: 0.0009122277827032525
Position 8696: 0.0008409448665550234
Position 4672: 0.0007906383197355186
Position 3174: 0.0005937749374794762
Position 969: 0.0005793227438339062
Position 844: 0.0004749424681856005
Position 2840: 0.00044159858409211167
Position 226: 0.00022553693684838525
Position 8302: 0.0001770475519850495
Position 8312: 0.00017111535237421957
Position 167: 0.00010010735803883164
Position 13266: 9.865053379749e-05
Position 2015: 4.413110655025575e-05
Position 285: 3.122747304024111e-05
Position 377: 2.4924330504162782e-05
Position 8107: 9.866178533184352e-06
Position 685: 8.82530066688561e-06
Position 494: 7.851114165818648e-06
Position 1434: 6.203061065323431e-06
Position 581: 6.183635845004395e-06
Position 988: 6.142771470840908e-06
Position 529: 4.3470101008921415e-06
Position 424: 3.732029585630514e-06
Position 468: 2.943144291380154e-06
Position 1379: 2.116341736905958e-06
Position 595: 2.0908809092702656e-06
Position 555: 2.002886621495398e-06
Position 291: 1.6467342815860625e-06
Position 399: 1.5426963068821528e-06
Position 434: 1.4521328536514902e-06
Position 616: 1.3503576392537173e-06
Position 374: 1.2827036494822146e-06
Position 620: 1.0773822630005698e-06
Position 41: 1.0712466474540822e-06
Position 614: 7.358112327592513e-07
Position 343: 7.00734412888666e-07
Position 95: 6.413237240602155e-07
