Gene = CRCP
index = 408
Annotated 5SS: [  366 13136 16238 19770 30896]
Annotated 3SS: [13098 16138 19674 30837 37602]
SMsplice 5SS: [  366 16238 19770 30896 34015]
SMsplice 3SS: [16138 19674 30837 33871 37602]
top_k =  500
Partition function (log Z): -26.25071905952106

Sorted 5' Splice Sites (High to Low Probability):
Position 366: 0.8487416729127216
Position 16238: 0.30055362331627156
Position 13136: 0.18378034413997468
Position 463: 0.07374979763837047
Position 582: 0.018047287036521444
Position 3259: 0.016654907674771863
Position 6183: 0.01572714797386319
Position 4669: 0.01487477907584022
Position 1088: 0.01185185241448205
Position 746: 0.010430443136287947
Position 3720: 0.007845234080317363
Position 310: 0.007222256095802202
Position 858: 0.006566843309020648
Position 471: 0.0055766909259362596
Position 6: 0.005354529650956991
Position 64: 0.004647323154820812
Position 206: 0.004500612347152063
Position 2821: 0.0037927686243433996
Position 1474: 0.0037036080136612845
Position 315: 0.0033846553961217997
Position 6344: 0.0028471170929105995
Position 776: 0.0027099026574922474
Position 961: 0.0025843438942755067
Position 1084: 0.002084878694981868
Position 934: 0.0019153642343778935
Position 411: 0.001611789175596712
Position 2303: 0.001070292236713863
Position 7055: 0.0007458744490677506
Position 5920: 0.0007405991557175214
Position 6117: 0.0006544850084034535
Position 4273: 0.0005524786580354802
Position 4649: 0.0005329952941567359
Position 1070: 0.0005200619208744692
Position 942: 0.0004461495298418805
Position 4574: 0.00035955035608951696
Position 3111: 0.00034395848900208774
Position 5091: 0.00032273807997336814
Position 199: 0.0002964679140614774
Position 1056: 0.00023622399716728476
Position 691: 0.00020885227743919395
Position 604: 0.00019041940873861104
Position 281: 0.00011863012912768015
Position 668: 0.00011076990297532022
Position 849: 0.00010852764619283795
Position 938: 8.391372917858932e-05
Position 514: 7.569053925210632e-05
Position 308: 5.203691103098162e-05
Position 622: 5.08784396470149e-05
Position 102: 5.944733582831824e-06
Position 602: 2.1285041427276708e-06
Position 285: 1.9445996024727084e-06
Position 493: 1.4823971337320604e-06
Position 136: 1.4655020112940587e-06
Position 750: 1.3678904681010265e-06
Position 303: 1.3345072833507686e-06
Position 1869: 1.0245015694727966e-06
Position 45: 9.891504006730565e-07
Position 796: 5.939414499094582e-07
Position 1131: 5.111655692203581e-07
Position 662: 5.092424816733202e-07
Position 577: 4.302706793449517e-07
Position 1023: 3.5305665716171596e-07
Position 944: 3.5140193215874637e-07
Position 1172: 3.0198499269603324e-07
Position 729: 2.6601567574977136e-07
Position 1165: 2.641125503319045e-07
Position 676: 1.7244761661054582e-07
Position 511: 5.566430230482917e-08
Position 443: 4.4515749716073894e-08
Position 370: 4.191172969073245e-08
Position 322: 7.802247545506422e-09
Position 120: 2.6129841962431045e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 16138: 0.4697899560798915
Position 16394: 0.27696122483369995
Position 13098: 0.23108412453830335
Position 6489: 0.1256295942200712
Position 1249: 0.07430049687622206
Position 15521: 0.05939641726242281
Position 17182: 0.05840594868594486
Position 6116: 0.018928518298658884
Position 6514: 0.017501305025359157
Position 4438: 0.01573970383595628
Position 4390: 0.015510434343754542
Position 3167: 0.01531258066682846
Position 10327: 0.014133074672748743
Position 12606: 0.013464674159822108
Position 11940: 0.013038418684521817
Position 5303: 0.012391106255528521
Position 6875: 0.012365575083671611
Position 11439: 0.009820829332578478
Position 7215: 0.009811585177704746
Position 9973: 0.007842630208832097
Position 5992: 0.006872913838623084
Position 749: 0.006642105918915586
Position 2934: 0.006456535671507482
Position 5785: 0.006231833052349048
Position 3606: 0.005608305332632154
Position 5961: 0.005252363668681939
Position 8137: 0.004863262077925791
Position 3144: 0.0045941211763092455
Position 4232: 0.004199036878023555
Position 652: 0.003078060715697442
Position 2601: 0.0027194515435188748
Position 2022: 0.0026146962925095514
Position 8370: 0.0023308681771601943
Position 5036: 0.0018982877335965475
Position 4559: 0.0017924658680303076
Position 3258: 0.0016757470880157698
Position 1276: 0.0016189424535769427
Position 8075: 0.0015816589592132118
Position 954: 0.001525146884516282
Position 979: 0.0015083475461539358
Position 2598: 0.0014869149323145918
Position 4464: 0.0013073622555024702
Position 5064: 0.0012769143609317171
Position 3468: 0.0012616159022374419
Position 7834: 0.001094144248575346
Position 3383: 0.0010808608754795212
Position 3419: 0.0009985498269606183
Position 4091: 0.0009637947744797517
Position 7880: 0.0009389748014819302
Position 2171: 0.0009359165614528076
Position 6255: 0.0008279345980651409
Position 4959: 0.0008154737632001185
Position 2677: 0.0007502452192410958
Position 668: 0.000691273874590937
Position 180: 0.0006592173755543048
Position 5187: 0.0006300515854825613
Position 1229: 0.0006227465495547198
Position 710: 0.0005836301123652667
Position 793: 0.0005329187106626937
Position 4802: 0.0005188641794079158
Position 3237: 0.00048672571906232474
Position 3042: 0.0004513663735597893
Position 333: 0.0004360039745837398
Position 1223: 0.0004250819212961215
Position 3758: 0.00042173455964992465
Position 1985: 0.0003997463568888576
Position 4963: 0.00029911068969488616
Position 229: 0.00026612863210515167
Position 3684: 0.0002645130486647957
Position 746: 0.00026164933684488757
Position 2820: 0.00019811052434904933
Position 3853: 0.00019144720155533907
Position 5012: 0.00019090556603822218
Position 1296: 0.00017976560233434513
Position 3286: 0.0001542971190174846
Position 2863: 0.00014210757418654687
Position 2903: 0.00013957502196957597
Position 4213: 0.0001277186118134909
Position 117: 0.00010142177519793678
Position 2731: 9.88583778770903e-05
Position 2978: 9.385464924692194e-05
Position 2560: 9.362628650823669e-05
Position 1087: 9.05324256858678e-05
Position 713: 8.388596366091693e-05
Position 2055: 8.146989927435382e-05
Position 799: 8.084886330660563e-05
Position 403: 7.51469501951208e-05
Position 1632: 6.170348295251766e-05
Position 1457: 4.922031628482463e-05
Position 1131: 4.8706622256167015e-05
Position 400: 3.122145049307534e-05
Position 849: 2.7435669323440633e-05
Position 501: 1.4473096112542806e-05
Position 480: 1.1855804318092436e-05
Position 959: 8.93508686290277e-06
Position 120: 7.210539338770924e-06
Position 769: 6.929668714557945e-06
Position 475: 6.247562982685884e-06
Position 337: 4.683152016395146e-06
Position 2221: 4.209676752146109e-06
Position 890: 3.678628634521248e-06
Position 215: 3.279160620769441e-06
Position 149: 3.19424558604128e-06
Position 1035: 2.4593726764303534e-06
Position 192: 1.8889897481790671e-06
Position 686: 9.902426488028384e-08
Position 779: 3.81340549887238e-08
Position 755: 2.7190950500793098e-08
Position 594: 2.6108126952497147e-08
Position 142: 1.9403132142649293e-08
Position 760: 1.030829590196602e-08
Position 424: 6.146323488562435e-09
Position 296: 2.840223712531879e-09
Position 471: 1.142841891354602e-09
Position 300: 7.835014914449929e-10
Position 426: 5.714862706036973e-10
Position 364: 5.064270276518899e-10
Position 440: 2.6546416150672024e-10
Position 433: 2.272268745688262e-10
Position 264: 1.616156791397307e-10
Position 370: 1.2574270512121171e-10
Position 198: 1.0439520539435276e-10
Position 247: 9.935525291927751e-11
