Gene = URGCP-MRPS24
index = 1536
Annotated 5SS: [   28 19175 24683 24931 37282 37627]
Annotated 3SS: [19103 24631 24891 37212 37514 39606]
SMsplice 5SS: [   28  5729 19175 24734 37133 37282 37627]
SMsplice 3SS: [ 5662 19103 24631 36978 37212 37514 39606]
top_k =  500
Partition function (log Z): -22.6400631843956

Sorted 5' Splice Sites (High to Low Probability):
Position 5729: 0.8886239887790869
Position 28: 0.6135828271082122
Position 279: 0.27252984896746985
Position 1218: 0.2116055381857585
Position 4041: 0.10337222128594664
Position 4045: 0.0672272370381064
Position 969: 0.059032835636656115
Position 440: 0.049119429794277955
Position 5927: 0.04221984994747204
Position 2463: 0.041229091962287884
Position 6528: 0.03792530368962803
Position 11040: 0.022584799621696183
Position 322: 0.018891889844112074
Position 8425: 0.017387222681108726
Position 4226: 0.013247219087868157
Position 8575: 0.012276598262285028
Position 5733: 0.011749494499877522
Position 5154: 0.011150241135899136
Position 8446: 0.008047584807404976
Position 1308: 0.007639204215733894
Position 9142: 0.007426894844655594
Position 1272: 0.006347008507255223
Position 11174: 0.0053808500900194515
Position 4250: 0.004433647387704232
Position 8801: 0.003671474074107745
Position 116: 0.002401169316857375
Position 11176: 0.0018824503827618157
Position 5704: 0.0010348421622320195
Position 374: 0.0009644957547355592
Position 983: 0.0004968702444601953
Position 273: 0.00046374271945726547
Position 585: 0.00037409353664761056
Position 858: 0.00025412377156883994
Position 617: 0.00019736926686524472
Position 1748: 0.00016223283886251821
Position 6043: 0.00012801621321606685
Position 1472: 0.00012464540524266085
Position 2899: 0.00010379367226087034
Position 1820: 9.988980295636896e-05
Position 510: 8.704574412699912e-05
Position 1934: 8.303725419392443e-05
Position 751: 7.668143067752377e-05
Position 1068: 7.64401093434356e-05
Position 521: 4.060542581303434e-05
Position 380: 4.027916522582802e-05
Position 989: 3.7256414274161285e-05
Position 971: 3.478207226867926e-05
Position 703: 2.8620868377492713e-05
Position 1003: 2.3486246914837347e-05
Position 219: 2.3464523789624898e-05
Position 707: 2.1651563452135213e-05
Position 255: 1.0839816000065157e-05
Position 456: 8.36022796253425e-06
Position 975: 5.137470418040283e-06
Position 668: 4.840679941037613e-06
Position 794: 2.5301673942731314e-07
Position 32: 3.5717904714269465e-08
Position 473: 3.372925258386789e-08
Position 490: 2.234602246569698e-08
Position 1081: 2.0864947215561714e-08
Position 448: 1.9766597243097766e-08
Position 19: 4.5307896699349513e-10
Position 480: 4.550573646528366e-11
Position 502: 1.1816375812956777e-14
Position 499: 9.99258196247505e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 5662: 0.8933549872425616
Position 24631: 0.713616017694376
Position 1137: 0.20513487527543486
Position 3835: 0.13420726694979943
Position 10921: 0.09131981177400407
Position 11465: 0.07293783888427714
Position 8362: 0.06354832490772645
Position 6451: 0.04262638138891687
Position 9393: 0.034246151664182656
Position 5831: 0.029173576480623672
Position 6858: 0.0265169691688591
Position 2361: 0.01666253795879699
Position 3963: 0.01612318603465901
Position 7851: 0.01556769469357627
Position 3999: 0.015329570037484573
Position 1043: 0.014463666073926155
Position 2274: 0.011311603633458414
Position 10141: 0.010885401471500269
Position 681: 0.010388345898097177
Position 4093: 0.010008557553917451
Position 5683: 0.00910639230336825
Position 5644: 0.008663363343868857
Position 5043: 0.008223067053008128
Position 9026: 0.008172756296148675
Position 8644: 0.007869473985644065
Position 2292: 0.006108164360858355
Position 10013: 0.006076229064973504
