Gene = RGSL1
index = 1137
Annotated 5SS: [    33   3895   8248   9988  22412  24397  38202  39057  42984  71964
  77627  80216  80765  82646  90276  98310  98679 101064 103396 104548
 106077]
Annotated 3SS: [  3811   8172   9857  22249  23428  38138  38833  42875  71857  77432
  80097  80643  82515  90100  98170  98553 100953 103308 104480 105877
 110132]
SMsplice 5SS: [    33  22387  27782  38202  39057  42984  65636  80216  80823  82646
  90276  98310  98679 100804 101064 103396 105720 106077]
SMsplice 3SS: [ 22249  27554  38018  38833  42875  65491  80097  80643  82515  90100
  98170  98553 100714 100990 103308 105592 105877 110132]
top_k =  500
Partition function (log Z): -53.4313703075439

Sorted 5' Splice Sites (High to Low Probability):
Position 22387: 0.7216232154731678
Position 8248: 0.6487445188261074
Position 3409: 0.6332456234123685
Position 33: 0.5955042639280582
Position 3895: 0.5719233204859203
Position 431: 0.5310765802364754
Position 9988: 0.47932820003384996
Position 316: 0.059614781296654096
Position 1222: 0.02139125933974539
Position 8268: 0.021377964801590564
Position 1619: 0.01952314527286249
Position 10611: 0.01944186128426185
Position 860: 0.0026711940972623553
Position 1694: 0.0024686390481792413
Position 10219: 0.0022670397344069122
Position 3386: 0.001522871525170446
Position 10604: 0.001416311644451629
Position 3359: 0.0012398583233891316
Position 566: 0.0011994121691589637
Position 942: 0.0011717791783169593
Position 5102: 0.0008183696115869885
Position 10912: 0.00058995654278486
Position 5119: 0.0004707060737807939
Position 139: 0.00027458615504020697
Position 8711: 0.00019882074623384023
Position 10589: 0.00017999013760355075
Position 3600: 0.0001717895338019616
Position 323: 0.00010894338897482249
Position 273: 8.086203839186769e-05
Position 105: 7.805651473643918e-05
Position 820: 7.759626147162169e-05
Position 10159: 3.39580383187829e-05
Position 229: 2.5281922308190915e-05
Position 1395: 2.5278505469887176e-05
Position 68: 2.4310910682584132e-05
Position 52: 1.796562210414433e-05
Position 788: 1.3407958809716007e-05
Position 37: 1.1755121103923366e-05
Position 483: 1.145702574759905e-05
Position 280: 4.824879879519285e-06
