Gene = MSMP
index = 888
Annotated 5SS: [270 610]
Annotated 3SS: [500 988]
SMsplice 5SS: [ 270  610 1026]
SMsplice 3SS: [ 435  988 1165]
top_k =  500
Partition function (log Z): -5.8979584385845545

Sorted 5' Splice Sites (High to Low Probability):
Position 270: 0.9373005197287657
Position 1026: 0.576721130233336
Position 610: 0.5661567683108383
Position 537: 0.1559416158285305
Position 846: 0.01318764486987559
Position 693: 0.009636515060491702
Position 116: 0.004823716090115284
Position 410: 0.00461241216550109
Position 280: 0.003432052319004599
Position 275: 0.002606148063546256
Position 1062: 0.0014461809144941421
Position 788: 0.0008277708176548332
Position 1019: 0.0005335125819121088
Position 1021: 0.000428144812680939
Position 10: 0.00039376143066681814
Position 209: 0.0003046964150751346
Position 850: 0.00019866223712257033
Position 250: 0.00015418538082296451
Position 910: 0.00015024005378572376
Position 92: 0.0001300241606336151
Position 287: 9.700206413456222e-05
Position 1030: 6.106774992644296e-05
Position 593: 5.3083417665502396e-05
Position 72: 3.642557152517658e-05
Position 614: 2.5313348665968526e-05
Position 652: 2.0963023575528664e-05
Position 752: 2.0957262237196208e-05
Position 129: 2.023500443435774e-05
Position 561: 1.4402320556159801e-05
Position 674: 1.14561563207549e-05
Position 688: 6.086505038362932e-06
Position 750: 5.4864024249216455e-06
Position 423: 5.4075225758771625e-06
Position 80: 2.748271522916499e-06
Position 1052: 1.988664711793079e-06
Position 794: 1.0909355672768611e-06
Position 603: 1.0046041548059829e-06
Position 989: 7.950137580184895e-07
Position 214: 7.924798214769549e-07
Position 376: 7.872385469584694e-07
Position 861: 7.286330790933053e-07
Position 239: 6.715339854997956e-07
Position 587: 5.712555943543658e-07
Position 541: 4.4357940518527037e-07
Position 926: 4.023110706999103e-07
Position 8: 3.2173003091539545e-07
Position 414: 2.9075851407827124e-07
Position 349: 2.3262672123794395e-07
Position 576: 2.1850612769824366e-07
Position 347: 7.834645211307348e-08

Sorted 3' Splice Sites (High to Low Probability):
Position 988: 0.9353353569668578
Position 1165: 0.5872815536147824
Position 435: 0.47719599819762853
Position 500: 0.2134087274874114
Position 1220: 0.02705169714262814
Position 462: 0.007239557806951139
Position 384: 0.006971512120592083
Position 362: 0.006482475826368078
Position 1095: 0.0034060374568791675
Position 373: 0.0029041289824163694
Position 229: 0.0021852366760824336
Position 1273: 0.0014742189776293052
Position 697: 0.0013991529811930323
Position 556: 0.0012499447267685126
Position 706: 0.001165853132338445
Position 440: 0.001102283904594421
Position 849: 0.0005137289091643443
Position 338: 0.0004113416698725326
Position 1113: 0.00031124610678949727
Position 623: 0.0003011140616194016
Position 541: 0.00024002628071887217
Position 995: 0.00019720174834557405
Position 1101: 0.00017398497543597117
Position 834: 0.00013790423679502995
Position 410: 0.00012177752548784366
Position 933: 0.00011666810091577097
Position 443: 0.00010995994803286306
Position 737: 0.00010849371735190984
Position 670: 0.00010016235847791335
Position 681: 9.42544983218308e-05
Position 236: 6.965488938659919e-05
Position 856: 6.945809180191199e-05
Position 517: 6.426643313804927e-05
Position 941: 5.360041335753671e-05
Position 1125: 5.0882680828965896e-05
Position 709: 4.422845138440514e-05
Position 750: 4.215950861254256e-05
Position 1232: 2.7983308830641225e-05
Position 614: 1.607616599001389e-05
Position 888: 1.3277274418498276e-05
Position 652: 1.3203972335504922e-05
Position 389: 1.311647918383996e-05
Position 1235: 1.2416348144779611e-05
Position 185: 1.2234262489997217e-05
Position 782: 1.1313407944604368e-05
Position 720: 1.108121588870457e-05
Position 763: 6.890605316177135e-06
Position 711: 6.504420092291029e-06
Position 1034: 6.267520142328197e-06
Position 945: 5.988448841168496e-06
Position 674: 5.882736298043996e-06
Position 660: 5.464242052268521e-06
Position 758: 4.655945361169294e-06
Position 169: 4.1268133145030205e-06
Position 445: 2.391259166243987e-06
Position 770: 2.2461531367017783e-06
Position 246: 2.0930749642047073e-06
Position 861: 1.6007148463611444e-06
Position 1025: 1.4401469236023796e-06
Position 875: 1.1388031276391018e-06
Position 137: 1.102144035519978e-06
Position 239: 9.807579224212698e-07
Position 631: 7.075763493242574e-07
Position 188: 1.861171142053031e-07
Position 263: 1.381427362535338e-07
Position 150: 1.2814595820088098e-07
Position 250: 7.1532992669195e-08
Position 175: 7.102401622964775e-08
Position 269: 6.457370362584577e-08
Position 134: 1.8503784533336005e-08
Position 308: 1.2529985592302225e-08
Position 305: 7.828055915001802e-09
Position 319: 4.671794821629624e-09
Position 77: 2.659728868352179e-09
Position 103: 2.4689931348416666e-09
Position 90: 2.1124319936223532e-09
Position 291: 1.9636667662016565e-09
Position 275: 1.892742843209605e-09
Position 72: 1.8291915611884915e-09
Position 105: 8.850528940542602e-10
Position 299: 5.392645541779654e-10
Position 114: 4.607197263716576e-10
Position 95: 4.136743952846838e-10
Position 285: 4.0610066774170404e-10
Position 312: 3.3360469001657636e-10
Position 85: 2.0711874236377805e-10
Position 111: 1.7441162888809652e-10
Position 323: 1.1317231341037227e-10
Position 302: 8.92177021291542e-11
Position 122: 7.933653279862535e-11
Position 92: 7.870517058328443e-11
Position 80: 6.731159465988986e-11
Position 124: 6.43243335181007e-11
Position 100: 1.1526099652459919e-14
