Gene = UGCG
index = 1528
Annotated 5SS: [  548 17981 26186 28113 29731 32913 34592 35594]
Annotated 3SS: [17838 26082 28010 29617 32733 34504 35403 36060]
SMsplice 5SS: [  548 17981 26186 28113 29731 32913 34592 35594]
SMsplice 3SS: [17838 26082 28010 29617 32733 34504 35403 36060]
top_k =  500
Partition function (log Z): -7.931612711498443

Sorted 5' Splice Sites (High to Low Probability):
Position 17981: 0.9999999588479905
Position 28113: 0.9999908917455623
Position 32913: 0.9960281846854884
Position 34592: 0.930726594398382
Position 29731: 0.9232398047566991
Position 35594: 0.7258311264161054
Position 3376: 0.5819750476877137
Position 548: 0.5144097316488653
Position 494: 0.37469306118478857
Position 33330: 0.37378944756296795
Position 3239: 0.3300176445024875
Position 36203: 0.253502145286367
Position 35205: 0.15613600396884159
Position 35837: 0.04826878433578902
Position 117: 0.04723437876782994
Position 35120: 0.0422528727723916
Position 137: 0.024100100207578454
Position 35528: 0.021243715853788325
Position 35707: 0.016151172526960696
Position 37195: 0.01430100830898501
Position 35616: 0.012457777845953926
Position 1366: 0.012272277730371131
Position 433: 0.008353821065142193
Position 36226: 0.006478644119551219
Position 35448: 0.004879339536671919
Position 132: 0.00416658797662263
Position 552: 0.003943641594956284
Position 510: 0.00351634792463603
Position 34648: 0.0032042175080344596
Position 36270: 0.0028864903413331634
Position 37540: 0.00248234767992302
Position 36248: 0.002387543901715079
Position 32734: 0.002275734359402956
Position 36179: 0.0021988778741993727
Position 36332: 0.001859223010937947
Position 821: 0.001688259582039736
Position 37895: 0.0013207597298720065
Position 35703: 0.001155182491463955
Position 35080: 0.0011285035256844269
Position 1817: 0.0011084426811431153
Position 33419: 0.001011384856989253
Position 879: 0.0007320086112387318
Position 1270: 0.0006959448666626855
Position 1859: 0.0006925779439089383
Position 1027: 0.0006650378450374585
Position 754: 0.0006074609756737286
Position 584: 0.0005902393793019491
Position 855: 0.0005306637921724432
Position 2536: 1.367407353843699e-07
Position 2320: 8.079828589245192e-08
Position 1343: 6.763958554452763e-09
Position 1444: 3.8079850794343795e-09
Position 2544: 3.4003902293079237e-09
Position 2852: 3.0195177120459906e-09
Position 2519: 1.6137679164239174e-09
Position 2269: 1.4707095894184726e-09
Position 1426: 1.435971989856786e-09
Position 1579: 1.202124746525888e-09
Position 4005: 1.0779370353740352e-09
Position 3574: 5.597366364361098e-10
Position 3614: 6.597019836353359e-11
Position 49: 4.377921687425528e-11
Position 931: 4.101454053571112e-11
Position 67: 3.4887601798382306e-11
Position 832: 2.058292924476829e-11
Position 39: 1.7667962721778052e-11
Position 186: 6.189975323643601e-12
Position 401: 4.229595197736984e-12
Position 3669: 3.86513751048502e-12
Position 303: 3.6291039923389495e-12
Position 3332: 2.860583582361622e-12
Position 3156: 2.4439781125197647e-12
Position 3680: 2.133736469613584e-12
Position 21: 1.4905152589169772e-12
Position 3282: 1.1660541860080237e-12
Position 3350: 7.540800597325271e-13
Position 618: 5.991198327781336e-13
Position 738: 4.925392314482211e-13
Position 3565: 4.794611753419016e-13
Position 716: 4.326776392793395e-13
Position 809: 4.0817031418301896e-13
Position 669: 2.10537043317314e-13
Position 653: 6.274910493767219e-14
Position 886: 3.5882631530431594e-14
Position 884: 3.394598398171279e-14
Position 922: 3.380484130734516e-14
Position 515: 3.147152205056389e-14
Position 719: 1.2893906981687438e-14
Position 407: 9.149932960500392e-15
Position 677: 7.567449832508229e-15
Position 405: 4.446640770775665e-17
Position 379: 1.921875704810932e-17
