Gene = NAIF1
index = 909
Annotated 5SS: [731]
Annotated 3SS: [3420]
SMsplice 5SS: [731]
SMsplice 3SS: [5494]
top_k =  500
Partition function (log Z): -8.663462280679992

Sorted 5' Splice Sites (High to Low Probability):
Position 731: 0.47714042000345896
Position 131: 0.176521141349107
Position 475: 0.16538522841522435
Position 454: 0.15410691066181204
Position 497: 0.13842442238628905
Position 127: 0.13059801568531965
Position 3948: 0.12700520066868798
Position 1175: 0.0398414996369107
Position 334: 0.030561531741246564
Position 1607: 0.02142961211642728
Position 1714: 0.01770688769806414
Position 313: 0.012336929119960835
Position 1124: 0.007977900085918773
Position 466: 0.006099914455412268
Position 2537: 0.005760217346072171
Position 120: 0.0045858158848938345
Position 1033: 0.004341916231181089
Position 2054: 0.003826644489954628
Position 5564: 0.003752643732067684
Position 353: 0.0031567122381486955
Position 4700: 0.0024787665452270435
Position 1956: 0.0019614445087559017
Position 3890: 0.0018512286490281486
Position 1820: 0.001785223176438331
Position 32: 0.0017191280940189175
Position 3855: 0.0016969717122710412
Position 3013: 0.001110389641449721
Position 3771: 0.0010698352592687186
Position 3952: 0.0008161878421264053
Position 1974: 0.0008020532579131269
Position 5725: 0.0007097241457345571
Position 421: 0.00022859727024879563
Position 268: 4.884791678546774e-05
Position 59: 4.5459212496166984e-05
Position 826: 3.495687846215124e-05
Position 715: 3.223471884699657e-05
Position 71: 2.8925784281389945e-05
Position 805: 2.8393986668280137e-05
Position 611: 2.71477937697407e-05
Position 86: 1.8657443841998332e-05
Position 1739: 1.2846612918925268e-05
Position 3542: 5.6976894629899534e-06
Position 916: 1.3874956536381788e-06
Position 382: 1.013980378223307e-06
Position 280: 1.5667984783474646e-13
Position 226: 4.27663829706562e-15

Sorted 3' Splice Sites (High to Low Probability):
Position 5494: 0.5787561592264134
Position 5532: 0.11658412574114338
Position 3812: 0.11383231433136534
Position 5686: 0.11099307054527766
Position 259: 0.07165231988518372
Position 3325: 0.06955419292502392
Position 1044: 0.05288671734352766
Position 232: 0.047968513822808805
Position 202: 0.045968002913687536
Position 3504: 0.03503370728946793
Position 407: 0.031318402968608196
Position 4618: 0.031161425849119087
Position 574: 0.02937552020654585
Position 1521: 0.023550049933820073
Position 1558: 0.01725969161885393
Position 647: 0.017183871446786535
Position 633: 0.010421578722450536
Position 1871: 0.009977954690374321
Position 2378: 0.00942805408806356
Position 703: 0.00858610913528342
Position 656: 0.008406524421076434
Position 4583: 0.007657410978073166
Position 3420: 0.007187637509624773
Position 3854: 0.006978323013226341
Position 237: 0.0066883042949813735
Position 586: 0.006671790635853116
Position 664: 0.006151712900091193
Position 3770: 0.006021770371547005
Position 580: 0.005933510848278482
Position 912: 0.00569383585162516
Position 4456: 0.005591337800658573
Position 3361: 0.004631892518289758
Position 547: 0.004312937201177017
Position 5572: 0.004224441472541848
Position 1760: 0.003983595079459054
Position 2896: 0.0035406018474145973
Position 1154: 0.0034465906080295163
Position 3380: 0.0027573348305538585
Position 1446: 0.0016242060466636996
Position 273: 0.0016166548726954542
Position 4781: 0.0014397615557225144
Position 1056: 0.0013528153359854468
Position 267: 0.0010904566005250865
Position 1174: 0.001017145323865289
Position 2353: 0.0008321117741173519
Position 5445: 0.0007920014406256881
Position 5910: 0.0007097241457345568
Position 1738: 0.0006586794971570614
Position 4860: 0.0005904637190854303
Position 869: 0.0005630710160342981
Position 4406: 0.0005543291552992629
Position 1070: 0.0004785663355969284
Position 3330: 0.0002847681527741691
Position 3429: 0.00021938042142846556
Position 3506: 0.00021893440706429595
Position 242: 0.00021435002282962071
Position 294: 0.0001736766912895754
Position 204: 0.00017138667948355668
Position 246: 0.00017054443604256288
Position 351: 0.00015253401940551462
Position 2902: 0.00013646731429315545
Position 216: 0.0001233662634119593
Position 380: 0.00011585611935951263
Position 209: 8.679950109942092e-05
Position 261: 5.1263815687377824e-05
Position 1938: 3.823654518856191e-05
Position 1491: 2.8587973518771648e-05
Position 944: 2.4121829232254858e-05
Position 409: 2.2418802270312013e-05
Position 557: 2.117596201470694e-05
Position 729: 2.03382461285081e-05
Position 1697: 1.5424626161306064e-05
Position 377: 1.0239940779300565e-05
Position 288: 9.63001404356217e-06
Position 474: 8.397777857894659e-06
Position 353: 7.408763079345832e-06
Position 1073: 6.9679689380550375e-06
Position 522: 6.421548667769645e-06
Position 709: 5.844158398483825e-06
Position 519: 5.70822495589283e-06
Position 846: 5.543275318937771e-06
Position 300: 4.395610868719351e-06
Position 214: 4.36143171104356e-06
Position 303: 3.941239280202836e-06
Position 864: 3.0004630370864045e-06
Position 447: 2.9758378842325878e-06
Position 465: 2.1676404455253996e-06
Position 1481: 1.7056144586484786e-06
Position 123: 1.6884800422995247e-06
Position 411: 9.518459886106479e-07
Position 453: 8.526580958100697e-07
Position 285: 6.031370409835522e-07
Position 426: 5.252397463852973e-07
Position 429: 1.9231173134927797e-07
Position 752: 1.704390925936044e-07
Position 492: 2.717705948452596e-08
Position 804: 7.222576528482273e-09
Position 104: 8.172494504352872e-10
Position 100: 6.341789163219679e-10
Position 179: 4.865987627365985e-10
Position 142: 5.1497221344944295e-11
Position 152: 1.5025125818714948e-11
Position 155: 1.1306710216231201e-11
Position 157: 5.8074539297205114e-12
Position 160: 2.442829820645241e-12
Position 148: 1.863359203996452e-12
Position 135: 1.198613929149068e-12
