Gene = XRCC2
index = 1578
Annotated 5SS: [  125 15465]
Annotated 3SS: [15382 26801]
SMsplice 5SS: [  125  4870  7945 15465]
SMsplice 3SS: [ 4761  7740 15382 26801]
top_k =  500
Partition function (log Z): -16.15011981405526

Sorted 5' Splice Sites (High to Low Probability):
Position 15465: 0.9147096449468903
Position 4870: 0.9064997202350229
Position 7945: 0.8131643895784336
Position 125: 0.6072176591648029
Position 19447: 0.2796525306237722
Position 14820: 0.2727983147747813
Position 6457: 0.23633395323311454
Position 14783: 0.23554071457651396
Position 747: 0.12004174945633028
Position 342: 0.09597853153957049
Position 173: 0.0707749251595758
Position 7876: 0.04992777392823765
Position 17765: 0.04880751622891416
Position 6027: 0.040737454872444664
Position 12936: 0.03355572822447926
Position 11633: 0.03349891200571127
Position 420: 0.031838655790156226
Position 310: 0.02960865098436594
Position 5237: 0.02502286542219303
Position 4864: 0.019151577898146654
Position 787: 0.016841502331704384
Position 3652: 0.015230877104628553
Position 17450: 0.01450205516082188
Position 1153: 0.014158724639475965
Position 53: 0.01227141949401284
Position 651: 0.01214227960719185
Position 13831: 0.011953068354718691
Position 553: 0.011865729752453655
Position 146: 0.011660251580844414
Position 139: 0.011171530593509456
Position 29: 0.009424860773139703
Position 802: 0.00917388731332199
Position 1051: 0.008192822363596993
Position 17515: 0.008188398600051354
Position 361: 0.008059263055284682
Position 1074: 0.005901346299321784
Position 7047: 0.005816595990378851
Position 1810: 0.0051923922046801085
Position 4648: 0.004947361747403285
Position 17080: 0.004581252661348681
Position 6959: 0.003735017164490081
Position 5080: 0.0031750624529152845
Position 4630: 0.0030432013955456394
Position 4548: 0.0030064532538316706
Position 7669: 0.0028991854674362207
Position 3698: 0.002634504249230325
Position 6841: 0.002498806610643211
Position 4909: 0.0020115251509620308
Position 6881: 0.001686015085857276
Position 90: 7.896070021699175e-05
Position 442: 6.858715339809911e-05
Position 436: 5.750567241704561e-05
Position 8670: 5.4132491632550835e-05
Position 25: 5.2522107419519477e-05
Position 568: 5.1100951256693426e-05
Position 950: 3.3735398389240184e-05
Position 718: 2.5414588232349766e-05
Position 8402: 1.8437590432186724e-05
Position 38: 1.8413809424386178e-05
Position 733: 1.795734153281408e-05
Position 58: 1.6673104020186695e-05
Position 370: 1.0906394204133356e-05
Position 1001: 1.009601575745357e-05
Position 42: 7.908334855009373e-06
Position 906: 7.0704314083311675e-06
Position 88: 5.079011692212466e-06
Position 516: 4.92242352956128e-06
Position 556: 4.507971203809199e-06
Position 702: 4.447805637498526e-06
Position 584: 3.437990633872582e-06
Position 332: 2.8070922906399694e-06
Position 675: 1.3032165650494239e-06
Position 112: 6.760301509989946e-07
Position 16: 6.500750427234787e-07
Position 8400: 2.9732517149377493e-07
Position 93: 4.048579457171347e-08
Position 480: 1.8753449047934663e-08
Position 558: 4.431778118309721e-09
Position 11: 3.839728692281423e-09

Sorted 3' Splice Sites (High to Low Probability):
Position 4761: 0.9172077945472187
Position 15382: 0.9152278757935303
Position 7740: 0.6784963537741504
Position 14717: 0.45938201023563013
Position 19281: 0.30350255552887173
Position 19966: 0.2474677745767735
Position 23414: 0.21570345618600217
