Gene = SSBP1
index = 1337
Annotated 5SS: [  90  870 3909 5381 5669 7264]
Annotated 3SS: [  802  3847  5239  5580  7174 11989]
SMsplice 5SS: [ 273  870 3775 3909 5381 5669 7264 7628]
SMsplice 3SS: [  802  3661  3847  5239  5580  7174  7525 11594]
top_k =  500
Partition function (log Z): 5.4060562698629555

Sorted 5' Splice Sites (High to Low Probability):
Position 5669: 0.9919047628816665
Position 3909: 0.9550105377362686
Position 3775: 0.937260981912764
Position 7264: 0.9053010251494165
Position 5381: 0.8252345594129396
Position 7628: 0.7576585260924185
Position 870: 0.5852631185293565
Position 273: 0.48482637958633823
Position 90: 0.46958666991991793
Position 2194: 0.37995011400643547
Position 3472: 0.20007276466446808
Position 678: 0.14526427434486497
Position 5031: 0.10965467674154956
Position 3478: 0.08106682951091186
Position 5148: 0.07085692009870312
Position 622: 0.05464210866228712
Position 6440: 0.04657373257341935
Position 1560: 0.040118585108443953
Position 3139: 0.03230086302535672
Position 624: 0.0284258276818053
Position 10873: 0.02839503103484442
Position 7667: 0.027748429664126207
Position 3981: 0.02520672597131186
Position 6234: 0.022370428002528142
Position 742: 0.019272719759495544
Position 3765: 0.018864504535574218
Position 9905: 0.01834814448378634
Position 1029: 0.014604733305934037
Position 3002: 0.014571212722134892
Position 11841: 0.011793844786447415
Position 8122: 0.011235985219581206
Position 379: 0.010528100169454225
Position 7660: 0.00927455312986921
Position 6201: 0.008269481213694202
Position 6188: 0.007385723509158645
Position 11186: 0.0069268483254944805
Position 255: 0.006669027870683261
Position 824: 0.006390728281076066
Position 183: 0.006100582518846422
Position 77: 0.005781900011331615
Position 7843: 0.005418072924707254
Position 5797: 0.004387543382758289
Position 2701: 0.003632894418474795
Position 1077: 0.0035951862712599097
Position 361: 0.003590714382800308
Position 2523: 0.003227047830107654
Position 2213: 0.0028770826852840153
Position 299: 0.0027379604915156053
Position 4186: 0.002620518992514693
Position 1065: 0.0025909129808573076
Position 6484: 0.002543152982849134
Position 4294: 0.002463674902305441
Position 161: 0.0019600266323128376
Position 1861: 0.0017466952721128682
Position 3779: 0.001606283912262902
Position 400: 0.0013561994808185397
Position 5296: 0.0011774663713283978
Position 5207: 0.0011561568288100592
Position 173: 0.0010808643251692673
Position 767: 0.0009959231726264957
Position 4834: 0.0008001887631263343
Position 6609: 0.0007208521646945024
Position 2736: 0.0007156008614330988
Position 3097: 0.0005092046426231191
Position 674: 0.0004888914378000939
Position 372: 0.0004883177699068172
Position 2718: 0.0004750508740025836
Position 165: 0.00038795061615717966
Position 5269: 0.0003652629353766229
Position 2527: 0.00034856193846848684
Position 7936: 0.0003468527941731907
Position 7048: 0.00029982083348272664
Position 1835: 0.0002654205691297724
Position 280: 0.00024269826754756986
Position 2692: 0.00017831681743678564
Position 187: 0.00016789352771088005
Position 724: 0.00016140202404862894
Position 5385: 0.00014181833169599903
Position 4958: 0.00011505909035000109
Position 336: 0.00010466448119410018
Position 3506: 9.87573252402547e-05
Position 320: 9.231086123739931e-05
Position 595: 9.198788877998356e-05
Position 37: 8.812333773388697e-05
Position 10403: 8.529110158768907e-05
Position 579: 7.274928094604347e-05
Position 452: 6.666391264243769e-05
Position 7233: 6.338495335580455e-05
Position 247: 5.559444199405786e-05
Position 123: 4.863593557305291e-05
Position 134: 4.4777667032203643e-05
Position 7601: 4.3158982871520916e-05
Position 512: 3.879999424641807e-05
Position 664: 3.1236231590332784e-05
Position 223: 2.5061590864991682e-05
Position 544: 1.8884281117397004e-05
Position 48: 1.7528030802477518e-05
Position 467: 1.2786811637727192e-05
Position 85: 1.2426159925842913e-05
Position 258: 9.585644699221045e-06
Position 900: 8.856038943010105e-06
Position 209: 7.140264929482037e-06
Position 1059: 5.6602424548986305e-06
Position 151: 3.985945862245393e-06
Position 3947: 1.9318774183412777e-06
Position 880: 1.6992805296331173e-06
Position 131: 1.6545488513644826e-06
Position 1104: 1.5701519735161545e-06
Position 189: 1.2267083266925942e-06
Position 136: 7.694531270454454e-07
Position 3928: 5.839367844623445e-07
Position 392: 4.587088338057078e-07
Position 3863: 4.5167421718529896e-07
Position 3913: 3.5412944122420723e-07
Position 6063: 2.744576987939654e-07
Position 175: 1.5854303867782038e-07
Position 138: 5.967680271809641e-08
Position 181: 2.3403076287221288e-08
Position 60: 2.4297976954124705e-09
Position 206: 1.5916891122323902e-10
Position 30: 9.605045358571657e-12
Position 282: 5.1571856180664886e-12
Position 237: 7.294853486877535e-13
Position 301: 1.7831791974831923e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 3847: 0.9773335074847999
Position 5580: 0.9498205239675656
Position 3661: 0.828707609900896
Position 7174: 0.8279902359840436
Position 5239: 0.6686861180439365
Position 802: 0.6089078375796234
Position 3427: 0.38796757623424427
Position 7525: 0.3717849859807353
Position 2078: 0.3148690798617718
Position 7575: 0.22696467940954473
Position 11594: 0.1885815452331837
Position 7471: 0.1820329599445594
Position 11989: 0.1607325587441336
Position 8044: 0.1305394385507869
Position 5295: 0.12847867151493853
Position 4923: 0.11033915457544707
Position 10494: 0.09665047191346786
Position 9093: 0.09497566649465669
Position 10555: 0.08557138521931763
Position 206: 0.06555306540939823
Position 499: 0.06254673838314205
Position 9780: 0.05893449241593157
Position 254: 0.05846859354032926
Position 5000: 0.05325715071921714
Position 11060: 0.05145662494680441
Position 5506: 0.04601214255125689
Position 5069: 0.04408931096738444
Position 6985: 0.042272246168254264
Position 10359: 0.03904083806497414
Position 10952: 0.036927149339940665
Position 11713: 0.036442487704188974
Position 1993: 0.032140093584148856
Position 186: 0.026339058623391944
Position 6293: 0.023270653780333467
Position 10098: 0.023176884797309626
Position 2024: 0.02116905448881873
Position 237: 0.02003351829462066
Position 3747: 0.018063637752590324
Position 1430: 0.017652822223775472
Position 6361: 0.01752560385684093
Position 2988: 0.016911360107492328
Position 6072: 0.01613466449825312
Position 11185: 0.015400308030645706
Position 7194: 0.01413696569912605
Position 6075: 0.013504969665681639
Position 7744: 0.013056625354837143
Position 1365: 0.012201139104011403
Position 7582: 0.011848977819164986
Position 2054: 0.011057023315627445
Position 2763: 0.010384426009262662
Position 7129: 0.009635102389914022
Position 11640: 0.009170679262019045
Position 6153: 0.009100910971175725
Position 2607: 0.008823684745883567
Position 7724: 0.008782741502366631
Position 7500: 0.008681185208095459
Position 7019: 0.007139266114816029
Position 9089: 0.007054644204929555
Position 3556: 0.006727818477096713
Position 7102: 0.005606986508650141
Position 2872: 0.005252497681428573
Position 3048: 0.004683533822096321
Position 452: 0.0041207208449423795
Position 2766: 0.004083591969885049
Position 6221: 0.0037867046028908892
Position 1479: 0.0033675020083722717
Position 529: 0.003320246216631027
Position 11562: 0.0033084136203719514
Position 1199: 0.003196486640653649
Position 7884: 0.0023724515635232977
Position 2095: 0.0023498142303293103
Position 3052: 0.0022440490254134965
Position 4021: 0.0022346764379288574
Position 4039: 0.0022293113591589564
Position 8040: 0.0020805302298086445
Position 1344: 0.002073278263724961
Position 10985: 0.002059125712123588
Position 8064: 0.0017575836828180463
Position 6325: 0.0016642851700113758
Position 7720: 0.0015850422838552748
Position 8661: 0.001543632496994895
Position 533: 0.0014484674598974126
Position 2331: 0.0012826990226025405
Position 1723: 0.0012699578136464893
Position 2350: 0.001265528642304886
Position 4929: 0.0012410361754265486
Position 5332: 0.0011971322204720619
Position 5034: 0.0011821655643258632
Position 1439: 0.0011645544064576097
Position 6176: 0.0009591566785056826
Position 449: 0.0009120595782718578
Position 479: 0.0007816546791947475
Position 1909: 0.0007694573658899164
Position 1726: 0.000742158027596151
Position 9886: 0.000733808740067478
Position 952: 0.0006534975340789273
Position 585: 0.0006505547984320436
Position 7344: 0.0005813256042856671
Position 6125: 0.0005810310626779825
Position 2373: 0.000568120689061702
Position 764: 0.0005368449909729592
Position 6077: 0.0005164043543654346
Position 2081: 0.00047203590033885234
Position 2397: 0.00044855805033918063
Position 613: 0.00042349451079348786
Position 7203: 0.0004210709515654049
Position 8115: 0.00040620944375817104
Position 7935: 0.00038146113576394163
Position 589: 0.0003602655370305551
Position 4907: 0.00034855231469255394
Position 6249: 0.0003375675716466265
Position 558: 0.00031847711693927397
Position 7539: 0.00031218584170826893
Position 3859: 0.00030171163678375433
Position 1275: 0.00029770768347294575
Position 4578: 0.00028556876719623757
Position 503: 0.0002852637924381905
Position 6944: 0.000263583702853832
Position 7477: 0.00026122736806770164
Position 378: 0.00024521491170286744
Position 512: 0.00023831317424111826
Position 4233: 0.0002340556668532333
Position 4200: 0.00023095232860127432
Position 278: 0.00021280495772215208
Position 808: 0.00019701373530215592
Position 6246: 0.0001890375729654294
Position 6224: 0.00018865591797559493
Position 4715: 0.00018463636801990894
Position 1387: 0.00016509477797562515
Position 621: 0.00016003116694266093
Position 4450: 0.00015556226976069128
Position 4105: 0.00015518132672556357
Position 420: 0.00015491444872538592
Position 5116: 0.00013817892422768953
Position 457: 0.0001234802138822052
Position 438: 0.00011911805742508261
Position 591: 0.00010833214830336425
Position 766: 0.00010201221528068099
Position 7592: 0.00010050788237724118
Position 526: 0.00010032456915198712
Position 357: 9.933895694342183e-05
Position 6555: 9.812961330168574e-05
Position 476: 9.439791326397255e-05
Position 644: 9.063565438098662e-05
Position 7320: 9.01329058743063e-05
Position 172: 8.938174909634962e-05
Position 3975: 8.850384917476438e-05
Position 5611: 7.961539194030247e-05
Position 4718: 7.432396239501535e-05
Position 5794: 6.815623253961269e-05
Position 869: 5.291828102960043e-05
Position 351: 4.844642345657215e-05
Position 7422: 4.2218751782871945e-05
Position 372: 4.018274811685742e-05
Position 5476: 3.935176658916161e-05
Position 4795: 3.475099587905803e-05
Position 544: 3.4684902950451024e-05
Position 4652: 3.405489895574748e-05
Position 4554: 3.129150091967534e-05
Position 724: 2.6930374170662164e-05
Position 6879: 2.577698208875217e-05
Position 7596: 2.077463261522622e-05
Position 385: 1.720023924873048e-05
Position 467: 1.685269279798512e-05
Position 661: 1.562084332408647e-05
Position 2437: 1.0703364267831274e-05
Position 669: 7.508917027377223e-06
Position 5740: 6.511820420798195e-06
Position 640: 6.405569267888624e-06
Position 5455: 6.386106686262803e-06
Position 7374: 3.7649789625829027e-06
Position 216: 3.4573448422762223e-06
Position 5998: 3.137918167573963e-06
Position 5631: 1.8102213047553984e-06
Position 5415: 1.3999766682781637e-06
Position 5927: 1.3404590003596634e-06
Position 6095: 1.2679745661463254e-06
Position 2181: 6.379447946650823e-07
Position 5743: 3.858791431150721e-07
Position 3906: 3.4185107817375954e-07
Position 5750: 2.9153782706608284e-07
Position 5666: 1.9998239899159477e-07
Position 312: 1.996257305718435e-07
Position 648: 5.8650426773721064e-08
Position 1006: 5.474669431769552e-08
Position 5933: 3.3357275095288914e-08
Position 5896: 2.875551342496912e-08
Position 5878: 1.90427364372748e-08
Position 5857: 1.2229219506630442e-08
Position 4257: 9.768686957398743e-09
Position 5901: 9.471706988040923e-09
