Gene = RRP9
index = 1213
Annotated 5SS: [ 161  533 3847 4273 4397 4750 5511 5685 6350 6600 6745 7311 7470 8234]
Annotated 3SS: [ 449 3736 4204 4354 4622 5385 5591 6248 6464 6681 7164 7389 8159 8341]
SMsplice 5SS: [ 161 3847 4273 4485 4750 5500 5685 6350 6600 6745 7311]
SMsplice 3SS: [3736 4204 4354 4622 5385 5591 6248 6464 6681 7164 7651]
top_k =  500
Partition function (log Z): 26.631926988140215

Sorted 5' Splice Sites (High to Low Probability):
Position 3847: 0.9916923143689806
Position 7311: 0.9787910850684526
Position 5685: 0.9777944282754477
Position 4273: 0.9762553379109856
Position 6745: 0.9440177621586736
Position 6350: 0.9050679230268082
Position 161: 0.8550834601484382
Position 4485: 0.8339438200332487
Position 5511: 0.6675819855704369
Position 533: 0.6206966481625239
Position 4750: 0.5760006268486381
Position 6600: 0.5290948314833176
Position 7470: 0.5022874213165162
Position 4754: 0.3760481926317903
Position 6547: 0.31731400467990817
Position 3333: 0.2858387638662
Position 5521: 0.26781505201325584
Position 8259: 0.21914209992242598
Position 4397: 0.13008309024380338
Position 6605: 0.12022767362692569
Position 4999: 0.1012145059812979
Position 8234: 0.10004401014806218
Position 6370: 0.08045125499673168
Position 7474: 0.0772541209673798
Position 1631: 0.06657515931244644
Position 2003: 0.05994603918935665
Position 3090: 0.05807369138195604
Position 96: 0.04976411559641303
Position 3658: 0.046774383643926006
Position 8160: 0.033119034290804476
Position 2374: 0.030408858213591076
Position 5504: 0.030363190941417453
Position 7767: 0.029769511304818412
Position 962: 0.026045763119821815
Position 5265: 0.025777717121933316
Position 3019: 0.024374597833033525
Position 596: 0.021874282966562707
Position 7853: 0.02121631672633785
Position 2932: 0.020144600594084006
Position 2771: 0.015095174365617182
Position 3077: 0.013319997862291674
Position 3181: 0.012147291187125146
Position 3044: 0.011297637456786544
Position 7793: 0.010072057203495117
Position 6752: 0.009902094813930151
Position 35: 0.009471075939528367
Position 1090: 0.008867703645875904
Position 3361: 0.007563743432546774
Position 1492: 0.006049455762634323
Position 3529: 0.005357963559080647
Position 188: 0.004899603558581556
Position 8038: 0.004511799341491619
Position 6551: 0.004396831458989834
Position 5681: 0.0037650249944181195
Position 4425: 0.0036770412574643556
Position 6312: 0.0030425571489933927
Position 1051: 0.0030337503813835337
Position 4766: 0.003000424708470678
Position 2629: 0.0027343305318730253
Position 4867: 0.0025619856043623324
Position 6381: 0.002240104911428563
Position 65: 0.0022196423796611697
Position 8217: 0.002132255110563632
Position 3953: 0.001985186960445525
Position 5278: 0.001960349636221359
Position 4410: 0.001927163322301641
Position 7542: 0.001923130419341365
Position 5703: 0.001723692841064168
Position 1268: 0.0016700328820295842
Position 3433: 0.001587167814227821
Position 4246: 0.0015205456943930293
Position 2131: 0.0015070727718501469
Position 3968: 0.001324237063086382
Position 938: 0.001170671329523233
Position 6996: 0.001042882967236077
Position 6383: 0.0009920085986120284
Position 6850: 0.0009716314710657978
Position 7740: 0.0009373589896054773
Position 5557: 0.0009217714416866215
Position 4804: 0.0008562429941795599
Position 7071: 0.0007710714950322882
Position 6411: 0.0007165151128419928
Position 4480: 0.00071415422427854
