Gene = PHYHD1
index = 1024
Annotated 5SS: [  774  1153  1462  6302 12963 13164 15609 15751 16884 19603 19821 20677]
Annotated 3SS: [ 1034  1387  6142 12886 13115 15552 15687 16861 19473 19703 20549 20772]
SMsplice 5SS: [ 1153  1462 13001 13164 15609 15751 16884 19821 20677]
SMsplice 3SS: [ 1387 12886 13115 15552 15687 16861 19703 20549 20772]
top_k =  500
Partition function (log Z): 3.847098114728809

Sorted 5' Splice Sites (High to Low Probability):
Position 1462: 0.9977224177728149
Position 20677: 0.9134313547880927
Position 19821: 0.8985701468867427
Position 15751: 0.8843833627953283
Position 13164: 0.8826671432640992
Position 15609: 0.8638090774022259
Position 16884: 0.7391849026414397
Position 1153: 0.6553311184772739
Position 13001: 0.5345439314933768
Position 6302: 0.3546496743087643
Position 14163: 0.2681105335378449
Position 19603: 0.23030203782439324
Position 13007: 0.2091784470670412
Position 12963: 0.19075907204868836
Position 14396: 0.15687712855158603
Position 15449: 0.1399691922370211
Position 17050: 0.13745590302204563
Position 774: 0.12619090685978865
Position 186: 0.09224026946882682
Position 20855: 0.07430974230649419
Position 547: 0.07156204928128515
Position 17199: 0.06680981704121394
Position 15467: 0.06504678875226247
Position 13349: 0.06063286932283624
Position 264: 0.05381944361019799
Position 707: 0.049041635254514444
Position 757: 0.04706756947164409
Position 20104: 0.037610575279703365
Position 17670: 0.03754333484872243
Position 20689: 0.036427337760594786
Position 1660: 0.03428584692032753
Position 15303: 0.029072249949750474
Position 4307: 0.028840796756345908
Position 13262: 0.02775218406849392
Position 778: 0.026805916044694903
Position 19419: 0.0265236362548523
Position 20914: 0.02472477880212281
Position 17268: 0.022917031037940926
Position 14429: 0.021456100554945057
Position 7177: 0.02072980807515039
Position 17077: 0.019799567498230922
Position 20108: 0.018382902330012774
Position 15603: 0.01764760815201665
Position 19768: 0.016929513874821854
Position 5120: 0.015517963433976174
Position 20681: 0.014211871438052758
Position 13182: 0.013163735833712248
Position 915: 0.010860090670447298
Position 20693: 0.010608672562795235
Position 18288: 0.010353968751346258
Position 15625: 0.010132408833523992
Position 7299: 0.009106734565864204
Position 19752: 0.00722257238720168
Position 16638: 0.006906317838951742
Position 19405: 0.006335169181799112
Position 17935: 0.006169338225857818
Position 15310: 0.005581351251597729
Position 15619: 0.005411421537823506
Position 20092: 0.004543368969776188
Position 16162: 0.004232540852717032
Position 13927: 0.0038160887146343205
Position 180: 0.0037282799039287926
Position 4474: 0.003703697752735927
Position 183: 0.0036238334670964365
Position 390: 0.003349900721323566
Position 16718: 0.0031591737018828578
Position 344: 0.002983716273906321
Position 16921: 0.002730491853263628
Position 7434: 0.002603242853589525
Position 17628: 0.0025874015287814067
Position 1250: 0.002529475038282337
Position 15254: 0.0024701955042965114
Position 123: 0.00244636284929441
Position 18233: 0.0019656054011888916
Position 17764: 0.001457106094598649
Position 16878: 0.001392014779863441
Position 20870: 0.001253829724406
Position 17654: 0.001104282531190914
Position 194: 0.0010576363350421139
Position 20238: 0.000931172571511792
Position 15738: 0.0009080766726233237
Position 20970: 0.0007715712996754288
Position 1163: 0.0007294958522433941
Position 1271: 0.0006619943104673261
Position 4631: 0.0005398121594186383
Position 14039: 0.0005180630520121364
Position 867: 0.00046839406700902345
Position 15857: 0.0003659373945998673
Position 17109: 0.00033639675145218475
Position 16629: 0.0003219842894377678
Position 141: 0.00030603956000222924
Position 20919: 0.0002673697447398454
Position 15933: 0.00025986708939169505
Position 1241: 0.00025458397775523286
Position 4102: 0.0002480900520344478
Position 20863: 0.0002174478931668501
Position 196: 0.0002150251643754013
Position 188: 0.00019135007684371075
Position 312: 0.00018110781037028743
Position 990: 0.00013498840362590354
Position 15640: 0.00011861248243139458
Position 13643: 0.00011132126559936845
Position 904: 0.00010955445894676499
Position 1307: 9.70943019285635e-05
Position 20695: 8.49052904915064e-05
Position 665: 8.014316415657967e-05
Position 20900: 7.763094626671066e-05
Position 20748: 7.215198612591525e-05
Position 16579: 6.602637291040044e-05
Position 1170: 6.567104239243315e-05
Position 586: 6.518883752668608e-05
Position 17277: 5.6669148247659776e-05
Position 20809: 5.635622151316545e-05
Position 7089: 4.996398072129076e-05
Position 20949: 4.8533030623384055e-05
Position 46: 4.303270467565258e-05
Position 1315: 3.6214026408700404e-05
Position 430: 2.8997449271583776e-05
Position 620: 2.5585828610621073e-05
Position 1476: 2.2565755645917924e-05
Position 17398: 2.0179386868754755e-05
Position 607: 1.6945144528261976e-05
Position 577: 1.1216360988865798e-05
Position 732: 9.89604257788311e-06
Position 1244: 9.700498317141559e-06
Position 709: 9.093728107596871e-06
Position 499: 8.58422930160597e-06
Position 48: 8.46583573766792e-06
Position 712: 5.9452678162766e-06
Position 597: 5.422259546496101e-06
Position 4635: 4.402505096766692e-06
Position 4298: 1.8140728695466125e-06
Position 4609: 1.380574388499514e-06
Position 3899: 1.3059123675420858e-06
Position 4206: 1.2792778586092093e-06
Position 1491: 1.249754680718264e-06
Position 2525: 1.1985266740081576e-06
Position 3809: 7.778662438520878e-07
Position 2329: 6.172848731828491e-07
Position 1665: 6.091622847817808e-07
Position 1991: 5.024330436571281e-07
Position 2145: 4.6112753121358274e-07
Position 3307: 3.719496399598897e-07
Position 2859: 3.696718668623938e-07
Position 4611: 3.679054256790386e-07
Position 639: 9.149315863529343e-08
Position 268: 3.925834550127408e-08
Position 76: 1.7271325597990498e-08
Position 1336: 9.57391638115429e-09
Position 383: 5.17080516374488e-09
Position 440: 3.5943167649007187e-10
Position 212: 2.3152014210260908e-10
Position 239: 1.631259729710071e-10
