Gene = SDCCAG3
index = 1232
Annotated 5SS: [ 282  520 2784 3465 4705 5519 5979 6555]
Annotated 3SS: [ 369 2670 3047 4630 5406 5915 6414 7721]
SMsplice 5SS: [ 282 2784 6555]
SMsplice 3SS: [2670 6414 7662]
top_k =  500
Partition function (log Z): 0.6528481570059597

Sorted 5' Splice Sites (High to Low Probability):
Position 6555: 0.9802840131965443
Position 2784: 0.9802237081011399
Position 282: 0.9683925142492982
Position 520: 0.5218486123308751
Position 3465: 0.44870459867891854
Position 6954: 0.37248926783973024
Position 4705: 0.25069784134697204
Position 5979: 0.24765283755044193
Position 4709: 0.13857516192306515
Position 3664: 0.1145310419785756
Position 5492: 0.08803176760719118
Position 736: 0.0587854253198087
Position 1728: 0.04951700649285869
Position 2602: 0.026214176129103987
Position 316: 0.023611534107256225
Position 5519: 0.014106789186839002
Position 3107: 0.012027842991666555
Position 1611: 0.011336266677719854
Position 875: 0.009271873633334461
Position 2367: 0.006888654379919707
Position 3469: 0.006476028191756902
Position 7050: 0.006068331666501197
Position 921: 0.0056626042105726235
Position 415: 0.005622032962455686
Position 1067: 0.004916473886410422
Position 3157: 0.0023917570364222506
Position 5552: 0.0023718558225883264
Position 1196: 0.0023313414772365947
Position 1778: 0.0022224118461412314
Position 1674: 0.002043967066092547
Position 495: 0.0018591896323134857
Position 4057: 0.0013621511911122344
Position 1948: 0.0010900329948794884
Position 5341: 0.001075423920731045
Position 6597: 0.0009518729130131743
Position 2343: 0.0007436800513982583
Position 3720: 0.0007322187884355827
Position 1518: 0.0004997215193710118
Position 3246: 0.0004574347494450015
Position 912: 0.00043964951970116477
Position 2939: 0.0004315205549908082
Position 5253: 0.0004133973968388129
Position 2614: 0.00039599214502370416
Position 2284: 0.00036966006836551194
Position 2545: 0.00035073427644755377
Position 2292: 0.00035060974545519024
Position 1734: 0.00030994372992135504
Position 617: 0.00030895385562695974
Position 933: 0.000304516802463905
Position 1282: 0.0003036265557652558
Position 902: 0.00030168583988624133
Position 2800: 0.0002659106789217336
Position 4673: 0.00020091651726109904
Position 3711: 0.00015237988100721603
Position 3752: 0.00014006817202065358
Position 1091: 0.00010303232991808344
Position 187: 5.98771243195525e-05
Position 342: 3.49124176894055e-05
Position 39: 1.4358310034309498e-05
Position 214: 7.321498270302103e-06
Position 726: 6.8589894396065444e-06
Position 2889: 6.704984681819236e-06
Position 302: 5.9450947079339246e-06
Position 690: 4.8783126768631285e-06
