Gene = REPIN1
index = 1129
Annotated 5SS: [ 152 1079 2095]
Annotated 3SS: [ 880 1969 2437]
SMsplice 5SS: [152]
SMsplice 3SS: [3578]
top_k =  500
Partition function (log Z): -7.492970724654999

Sorted 5' Splice Sites (High to Low Probability):
Position 152: 0.8484880814458088
Position 2095: 0.36163014757973994
Position 881: 0.2164713646665902
Position 1013: 0.1250058053224045
Position 224: 0.11008728410358827
Position 2580: 0.07373449709195187
Position 4160: 0.045903785459689844
Position 774: 0.03969000489411663
Position 4986: 0.032310859416776125
Position 738: 0.02401024856176805
Position 1079: 0.020681572835918816
Position 810: 0.00835870293406714
Position 244: 0.008047947706881834
Position 908: 0.0027768079459551532
Position 3490: 0.002540151145272888
Position 413: 0.0020839092646731186
Position 2597: 0.001972329483721539
Position 3672: 0.0010303513877284029
Position 3339: 0.0008790397462237166
Position 323: 0.000785450996344562
Position 3255: 0.0006857987136249853
Position 3043: 0.0006334776259054536
Position 1412: 0.0005652641369357126
Position 2397: 0.0005294308992871307
Position 2069: 0.00046394645295035964
Position 665: 0.00040557788420450937
Position 1746: 0.0003254192207840802
Position 2767: 0.0002546951447744244
Position 686: 0.00025335094407152186
Position 248: 0.0002137840111382805
Position 230: 0.00012837526924222066
Position 4532: 0.00011320965041136498
Position 3756: 0.00011107433783408905
Position 240: 0.00010057851501301601
Position 684: 8.82651737432934e-05
Position 400: 6.538673214165903e-05
Position 14: 6.53043093664806e-05
Position 282: 4.27834190164406e-05
Position 1924: 3.770597725032527e-05
Position 1593: 2.587043422345628e-05
Position 2162: 2.101032211664816e-05
Position 758: 2.055871262672694e-05
Position 1538: 1.5491704928579916e-05
Position 1282: 1.1146447396659584e-05
Position 365: 9.361421470636937e-06
Position 367: 8.705875589325422e-06
Position 644: 7.233096152936057e-06
Position 696: 7.024086965307585e-06
Position 527: 7.011535017593806e-06
Position 228: 6.453097036206472e-06
Position 2371: 5.104806454336254e-06
Position 379: 4.6110152081121875e-06
Position 83: 3.903660147504212e-06
Position 469: 3.351479270344572e-06
Position 218: 2.8463691454341312e-06
Position 415: 2.6838363585399564e-06
Position 472: 2.2096238536453455e-06
Position 475: 2.15823285926733e-06
Position 242: 1.5225286299834453e-06
Position 800: 1.2779989400452947e-06
Position 327: 1.0351553390474838e-06
Position 728: 8.01834085333486e-07
Position 780: 7.505062060846748e-07
Position 788: 4.046928557053823e-07
Position 33: 3.276099744006657e-08
