Gene = DAP3
index = 428
Annotated 5SS: [  117 20767 28071 32561 36433 36962 38681 40065 40309 42358 42976 48006]
Annotated 3SS: [20714 27947 32458 36323 36868 38549 39983 40149 42297 42885 47887 49098]
SMsplice 5SS: [  117  2450  5856  9096 28071 38681 40065 40309 42358 42690 42976 49240]
SMsplice 3SS: [ 2340  5732  8976 27947 38549 39983 40149 42297 42620 42885 49098 49550]
top_k =  500
Partition function (log Z): -21.619164119606424

Sorted 5' Splice Sites (High to Low Probability):
Position 5856: 0.9845120620436622
Position 2450: 0.9199577227563649
Position 9096: 0.6815357763323264
Position 117: 0.5313639465620301
Position 186: 0.41705382224108156
Position 3433: 0.35141860938392894
Position 8365: 0.2459565042512922
Position 18827: 0.21516131383920803
Position 8111: 0.1462118662480177
Position 4296: 0.05655221088288873
Position 5652: 0.05165298359000867
Position 5215: 0.051596428015140146
Position 2445: 0.04677043698764958
Position 3964: 0.03761919958064638
Position 9042: 0.03188268728266855
Position 5467: 0.02961975125626274
Position 6374: 0.02324714530329974
Position 2862: 0.022368399614491736
Position 5629: 0.018626338752597213
Position 5426: 0.01736735243876317
Position 5648: 0.016679687392395306
Position 2201: 0.015776420386760408
Position 2995: 0.015619516272641092
Position 139: 0.015345488672640262
Position 202: 0.013056334179585703
Position 8274: 0.012058293358131864
Position 8003: 0.008911856629103472
Position 4140: 0.007848079598078017
Position 3526: 0.007496018686485079
Position 386: 0.006899810384063312
Position 1354: 0.006466877706534154
Position 8149: 0.006440652605320738
Position 2845: 0.006337757833530349
Position 6058: 0.005515636315694254
Position 3988: 0.0053119012431271165
Position 3297: 0.005171840029503962
Position 6394: 0.004816359590768427
Position 4132: 0.004338660941542372
Position 6297: 0.0042563517991338305
Position 193: 0.004210535895765081
Position 3534: 0.0038460803698818088
Position 2568: 0.0036296259981719588
Position 6226: 0.003046539884392614
Position 9171: 0.002194933218498115
Position 412: 0.0020556094485540645
Position 8455: 0.0018050590397603737
Position 8317: 0.0017340508147754188
Position 8164: 0.001508262762114886
Position 673: 0.0014706666062544384
Position 282: 0.0012799877961180782
Position 490: 0.0012468262043350438
Position 1313: 0.001103474160630548
Position 1126: 0.0010605273803161062
Position 74: 0.0008579594851699883
Position 9214: 0.0007589314868490997
Position 78: 0.000722955364364704
Position 641: 0.0007115311745305895
Position 549: 0.000608454890566063
Position 919: 0.0004965533353191375
Position 553: 0.00046103299834451204
Position 2722: 0.00038134300869651874
Position 9584: 0.00036438701164924513
Position 1122: 0.00036226975227498045
Position 1459: 0.0002747511969090216
Position 435: 0.0002583167857461915
Position 2129: 0.00024677690141843066
Position 1945: 0.0002404592726355967
Position 796: 0.00023546311288502397
Position 144: 0.00022790647061386734
Position 481: 0.00022262420271376086
Position 2559: 0.00021909530395139342
Position 449: 0.0002007241883220421
Position 986: 0.00016976557681713567
Position 1634: 0.0001588619153367595
Position 1601: 0.00013347889134822312
Position 2499: 0.00011660933442989874
Position 269: 9.588095430220511e-05
Position 461: 9.56966139290222e-05
Position 399: 9.02552735046687e-05
Position 3775: 8.879609682333228e-05
Position 1236: 8.285684621069152e-05
Position 3706: 8.12143139913219e-05
Position 2726: 7.599871896279994e-05
Position 3059: 6.985129730955136e-05
Position 3178: 6.794782872589373e-05
Position 352: 6.625989484690189e-05
Position 973: 5.110129106070042e-05
Position 1192: 5.087721423512956e-05
Position 82: 5.028160059534472e-05
Position 979: 4.816236626399287e-05
Position 279: 4.313172370769704e-05
Position 2735: 4.2930231635685815e-05
Position 511: 3.852655467325616e-05
Position 1135: 3.630432063086731e-05
Position 886: 3.584835856883931e-05
Position 3033: 3.412852232764476e-05
Position 3809: 3.231832684185903e-05
Position 629: 3.094458501517516e-05
Position 1050: 2.884655314656061e-05
Position 2803: 2.4607968330834025e-05
Position 76: 2.1152766163535603e-05
Position 284: 1.981272929140629e-05
Position 969: 1.8907699025247117e-05
Position 1876: 1.8148817986207292e-05
Position 1006: 1.3414308872969426e-05
Position 3553: 8.639723510987404e-06
Position 3460: 4.940968450249574e-06
Position 3475: 2.1133415718398686e-06
Position 1131: 1.311647867059391e-07
Position 276: 2.8095512214359874e-08
Position 509: 4.891437689480579e-09
Position 90: 2.0826180442052617e-09
Position 103: 2.0823669444967128e-09
Position 731: 1.1834154452535256e-09
Position 299: 9.511938172634156e-10
Position 240: 8.259147399952892e-10
Position 356: 5.485813035975686e-10
Position 296: 4.91036293515689e-10
Position 293: 3.6044740245227384e-10
Position 245: 2.352970209291674e-10
Position 3: 1.5954443071967335e-10
Position 336: 1.6246037572916946e-11
Position 36: 1.0120641074769338e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 2340: 0.969464614375055
Position 5732: 0.7693056147769161
Position 8976: 0.6593924917405206
Position 19508: 0.5886418056886871
Position 3387: 0.3102122534246657
Position 18697: 0.2932792228860229
Position 5763: 0.20237461240897656
Position 19013: 0.1330713323669526
Position 8277: 0.12830958400463371
Position 5451: 0.09614293835328823
Position 8209: 0.08098571278496226
Position 7915: 0.07315131717723915
Position 8028: 0.06477493066920106
Position 8882: 0.04973309710717071
Position 18642: 0.04843735591332765
Position 8352: 0.039871154233176186
Position 8031: 0.0334020274630324
Position 3880: 0.030461933996359193
Position 9480: 0.029297851443390362
Position 6138: 0.025668530345899943
Position 9583: 0.025429287221293676
Position 3635: 0.023564720281645888
Position 3357: 0.02284174123708216
Position 9041: 0.0207385747702759
Position 4081: 0.020458635020376037
Position 4131: 0.02038572128908548
Position 5124: 0.01971733135753547
Position 13548: 0.018014712797047874
Position 2801: 0.017651170969000013
Position 5363: 0.016784909190147513
Position 12363: 0.016496247593032604
Position 5341: 0.01387953182027892
Position 2783: 0.013497225549768526
Position 5018: 0.012070713627891706
Position 12408: 0.011314188893398348
Position 5132: 0.010779685131907168
Position 3156: 0.010724124003242403
Position 5108: 0.008484940942410202
Position 5942: 0.00848269460892255
Position 2722: 0.0076407511974254175
Position 3280: 0.007570167345969268
Position 4210: 0.006707256695115123
Position 9781: 0.006614146005077632
Position 3408: 0.006543424187579694
Position 15255: 0.006488721485162446
Position 5747: 0.00561277480688452
Position 5811: 0.0053194112488685556
Position 3389: 0.0051760684979829516
Position 1710: 0.004586214225200339
Position 6247: 0.004505704711551216
Position 3230: 0.004167627168620119
Position 5495: 0.004069803129273167
Position 1120: 0.0034686139736687578
Position 2032: 0.00328475756026498
Position 5303: 0.003153423166655066
Position 4174: 0.0031330523365947906
Position 1125: 0.003119640916986907
Position 8099: 0.002957681467187558
Position 10900: 0.0029431560429716537
Position 8095: 0.002321269179386626
Position 10497: 0.0022963302783528864
Position 4224: 0.0021448044630702863
Position 2592: 0.0021021795988454125
Position 6221: 0.002096197077775627
Position 12706: 0.0020942610759666397
Position 8062: 0.0020351549408662048
Position 2035: 0.0020156550618262046
Position 6159: 0.0019876770626403332
Position 4091: 0.001666709436436379
Position 4978: 0.0013870279588309904
Position 2942: 0.00134543729265956
Position 4099: 0.0012923843947130612
Position 12866: 0.0012354282249884923
Position 1870: 0.001192835670893628
Position 11432: 0.0011322744473000247
Position 2366: 0.0011297545791485153
Position 2102: 0.001126393561393193
Position 3657: 0.001119604206938026
Position 949: 0.0010959296376249696
Position 9950: 0.0009496946511905392
Position 4016: 0.0009302513775594214
Position 2614: 0.0009134842691914222
Position 7762: 0.0009086490425875371
Position 9300: 0.0008670323005912526
Position 2126: 0.0007867897857433573
Position 2558: 0.0007674605174907318
