Gene = NOBOX
index = 947
Annotated 5SS: [   85  5672  8359  9182 10022 10471 10831 11278 11946]
Annotated 3SS: [ 5546  8276  8629  9914 10363 10744 11048 11640 12685]
SMsplice 5SS: [   85  8605  9182 10022 10471 10831 11278 11946]
SMsplice 3SS: [ 8513  9083  9914 10363 10744 11048 11640 12685]
top_k =  500
Partition function (log Z): 5.276672311207511

Sorted 5' Splice Sites (High to Low Probability):
Position 10471: 0.9699954249811109
Position 10831: 0.9129586823250558
Position 85: 0.8804555373552664
Position 11278: 0.8584015290458479
Position 8605: 0.7238390366563018
Position 11946: 0.6830164198661753
Position 9182: 0.6176012245369795
Position 10022: 0.5987643320693613
Position 9995: 0.36165391551546555
Position 8359: 0.2496833644078713
Position 11295: 0.12013664129823283
Position 12734: 0.10355947345627678
Position 11898: 0.09510981142650642
Position 118: 0.07511512874115643
Position 6571: 0.07106461748265144
Position 12265: 0.06619774744894397
Position 254: 0.02814317989974428
Position 11990: 0.021375100525343416
Position 10118: 0.016290671494846504
Position 11562: 0.015781939601246735
Position 5408: 0.01454192465344385
Position 5092: 0.014336929177652537
Position 5672: 0.014284088605770637
Position 9235: 0.011211346402808466
Position 10095: 0.008843422153270514
Position 12686: 0.008787293652476588
Position 7698: 0.007785236180989017
Position 177: 0.007360943819119221
Position 8483: 0.006934234030824862
Position 40: 0.006915721997221874
Position 10001: 0.006887838713254669
Position 12410: 0.005844171677728006
Position 9566: 0.005682024537224741
Position 9840: 0.005672638187461194
Position 11259: 0.004931286066729195
Position 8911: 0.004865542044948734
Position 10903: 0.004814654751155493
Position 10503: 0.004812963147431304
Position 9281: 0.004401217667233771
Position 12435: 0.003833388360249505
Position 12124: 0.003813059714417928
Position 12176: 0.0032310441864329582
Position 11969: 0.0015505344154202582
Position 12570: 0.0015002950702165158
Position 10507: 0.0014213134429841901
Position 874: 0.0012478954657876176
Position 8720: 0.001184428736981086
Position 10109: 0.0010504988507440104
Position 3531: 0.000919091597215785
Position 11773: 0.0007608693158445946
Position 11471: 0.0006427617120136204
Position 5129: 0.0006058182911619328
Position 3173: 0.0005882825145705956
Position 507: 0.0005671718387309718
Position 11299: 0.0005164290008382712
Position 5452: 0.0004565239397807527
Position 10492: 0.0004279619639978642
Position 11100: 0.00040705235445199676
Position 3888: 0.0003726266225165423
Position 1314: 0.0003487412643586087
