Gene = MUTYH
index = 900
Annotated 5SS: [ 170 5998 6976 7104 7292 7471 7626 7815 7998 8223 8366 8728 8969 9207
 9873]
Annotated 3SS: [ 5876  6793  7063  7217  7428  7553  7700  7899  8077  8301  8538  8831
  9053  9830 10950]
SMsplice 5SS: [ 170 1882 5998 6976 7292 7626 7998 8223 8366 8969 9873]
SMsplice 3SS: [ 1731  5876  6890  7217  7553  7899  8077  8301  8831  9830 10950]
top_k =  500
Partition function (log Z): 8.421529642843627

Sorted 5' Splice Sites (High to Low Probability):
Position 8969: 0.988922526861389
Position 7626: 0.9703794627159812
Position 5998: 0.8760657311353196
Position 7998: 0.871939427920456
Position 6976: 0.8324021621010487
Position 170: 0.8039930829550882
Position 1882: 0.6138685843798418
Position 9873: 0.607397268968926
Position 8223: 0.5950697823378376
Position 8728: 0.5174961002756252
Position 7292: 0.48081056016954704
Position 8366: 0.4611830760917349
Position 5562: 0.28343170514907534
Position 7471: 0.2560974376577582
Position 7104: 0.2559561009356227
Position 9145: 0.245390190249223
Position 413: 0.1454806044212956
Position 7815: 0.14542705502925718
Position 8445: 0.08856524217586825
Position 7172: 0.08118263741872143
Position 10079: 0.06401097239812575
Position 4883: 0.06365952139026909
Position 10659: 0.05479099940721596
Position 186: 0.05065556072816568
Position 7356: 0.04250694650828002
Position 2203: 0.03151517223169266
Position 2029: 0.02527135715228721
Position 166: 0.024155734561548712
Position 7645: 0.02100566180969831
Position 3555: 0.020054451427098233
Position 1862: 0.01998116437536852
Position 7488: 0.017788409999106695
Position 7182: 0.015664743841065757
Position 8011: 0.015274951826475326
Position 5165: 0.014135028610132452
Position 10677: 0.011285156083152692
Position 1976: 0.01065076971812557
Position 2577: 0.010427089001616239
Position 7324: 0.009497453454731564
Position 490: 0.008843669411912832
Position 7000: 0.007630302076404626
Position 6936: 0.0075839939308030525
Position 1509: 0.007053289631883307
Position 533: 0.006668836997453092
Position 9564: 0.005518582059858556
Position 3990: 0.004507956335393145
Position 1373: 0.004390902768336681
Position 622: 0.004062718116726689
Position 8246: 0.003918217077124224
Position 7152: 0.003411841969085328
Position 10281: 0.0029769844033778916
Position 727: 0.002728749924925368
Position 710: 0.0026012259286675673
Position 5738: 0.002566550621478935
Position 4324: 0.002374852395200184
Position 10634: 0.002175239895971488
Position 146: 0.0021584632239355435
Position 8973: 0.0019507964431854008
Position 7958: 0.0019230931599985546
Position 497: 0.0019090916965533453
Position 1019: 0.001888236382253199
Position 831: 0.0018601482236259234
Position 1595: 0.0018169864241003259
Position 9186: 0.0017449073084718485
Position 8154: 0.001710146262176933
Position 10500: 0.0015671376138604652
Position 8484: 0.0012905611722684738
Position 7004: 0.0012285428212286042
Position 9093: 0.0010141964915875048
Position 279: 0.0008578610664186382
Position 8302: 0.0008457766898786476
Position 10536: 0.0008414914875820078
Position 1837: 0.0008229429138001787
Position 1100: 0.0007966955438928879
Position 6106: 0.0007412823739050792
Position 7108: 0.0007062473041983622
Position 1867: 0.000702813450263576
