Gene = ITGB3BP
index = 721
Annotated 5SS: [   87 14688 33133 44452 68326 68836 69298 76410]
Annotated 3SS: [14644 32996 44381 68246 68741 69240 76358 82111]
SMsplice 5SS: [  106   342 19342 20506 33133 69298]
SMsplice 3SS: [  215 19173 20389 32996 69166 82111]
top_k =  500
Partition function (log Z): -43.57797048648936

Sorted 5' Splice Sites (High to Low Probability):
Position 106: 0.8391481289867604
Position 342: 0.483001531860952
Position 262: 0.1845119935904916
Position 87: 0.10291615821815343
Position 3070: 0.06049367547775481
Position 3463: 0.05958057292508589
Position 91: 0.04969347177879447
Position 9778: 0.03746147054010893
Position 327: 0.027176294504960542
Position 9640: 0.022311948404487532
Position 11200: 0.010013853013560222
Position 39: 0.00784959984752905
Position 320: 0.005197672083396884
Position 373: 0.004643395605926622
Position 4125: 0.004242656310686652
Position 11149: 0.0030250150294775188
Position 334: 0.0023620718476432983
Position 488: 0.002360169021943875
Position 2508: 0.002208176834182556
Position 4000: 0.0012183185750203756
Position 453: 0.0010845309148540825
Position 1000: 0.0010472287182309778
Position 1348: 0.001020648248880343
Position 233: 0.00033643774610962913
Position 423: 0.0003222700439316063
Position 2884: 0.00029793608833449895
Position 62: 0.00021603923666134843
Position 3505: 0.0001897523745457837
Position 1748: 0.0001779224100627492
Position 459: 0.0001573347877260523
Position 3501: 0.00011644754951976216
Position 2481: 5.461915690537011e-05
Position 2064: 4.534651512571795e-05
Position 1328: 4.4028079991556835e-05
Position 249: 4.3647406666528906e-05
Position 529: 3.620147627055374e-05
Position 3727: 1.95659344776061e-05
Position 150: 5.293373271089276e-06
Position 492: 3.411713148849903e-06
Position 840: 2.9475411096898906e-06
Position 585: 2.206196618254181e-06
Position 768: 1.7263633556501582e-06
Position 114: 1.3234947593107176e-06
Position 31: 1.1261720274706216e-06
Position 2290: 1.116281636419562e-06
Position 467: 1.0322489772451097e-06
Position 1181: 9.91764391802663e-07
Position 189: 8.123122367580836e-07
Position 158: 5.614117607040552e-07
Position 59: 3.861756377122583e-07
Position 293: 2.4608442100215463e-07
Position 276: 1.9991111178884231e-07
Position 538: 1.9893959574459953e-07
Position 396: 1.9728944579922534e-07
Position 416: 9.019561411328253e-08
Position 589: 7.033654643856912e-08
Position 419: 6.872498458011777e-08
Position 446: 3.6183120735084155e-08
Position 1004: 2.7050380707119876e-08
Position 21: 2.9642845695255746e-09
Position 199: 1.1538232765528023e-10
Position 43: 9.872313866765414e-11
Position 347: 1.8477873014979046e-11
Position 170: 4.442150780801826e-12
Position 208: 1.1081918928701352e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 215: 0.9512719047736927
Position 13033: 0.12500730646103866
Position 13052: 0.11064805433355177
Position 15855: 0.09338863369713349
Position 9606: 0.07187927125523123
Position 8277: 0.06744862092614028
Position 13029: 0.06262125713343633
Position 11301: 0.05667631533489476
Position 3335: 0.049720273480312285
Position 2830: 0.049360046892208444
Position 9418: 0.039370822733640745
Position 6227: 0.023949737925124635
Position 3875: 0.023090225261359603
Position 2137: 0.02259659111932195
Position 2939: 0.021023024404610104
Position 14644: 0.018827702662902707
Position 11043: 0.01603225845589815
Position 7140: 0.01435641924502508
Position 2853: 0.014155916662579858
Position 3384: 0.012111090086423203
Position 1440: 0.0067223767481126885
Position 1086: 0.006296417081296369
Position 829: 0.004429429448827737
Position 11847: 0.0038765550452614914
Position 1235: 0.0030195159333808114
Position 10674: 0.0029199368897334477
Position 10530: 0.002824840083589869
Position 5448: 0.0025815123699790697
Position 8273: 0.0024086395310887734
Position 1196: 0.0023327043420090835
Position 2637: 0.002249495949362736
Position 7392: 0.0020564833866610894
Position 8822: 0.001981504231456483
Position 5640: 0.0018474221944417505
Position 1436: 0.0017390755655809977
Position 5574: 0.0016957091236509732
Position 3127: 0.0016840477968105825
Position 6532: 0.0015711855224851763
Position 259: 0.0015005248506277827
Position 189: 0.001298797992680741
Position 2971: 0.0012725762106037472
Position 931: 0.0012386354939184097
Position 3783: 0.0009035183598127415
Position 7328: 0.0008469509083143162
Position 419: 0.0007971337020144932
Position 2750: 0.0006920453025220729
Position 3804: 0.0005713166594023455
Position 6945: 0.0005501975890131835
Position 1058: 0.0005316135304787398
Position 6513: 0.0005200451727200788
Position 1382: 0.0004822054092511326
Position 4281: 0.00046725874559739927
Position 6993: 0.0004637701678968272
Position 6921: 0.0004261569201987334
Position 6431: 0.00041276943707275733
Position 1460: 0.0004125047138544541
Position 3234: 0.0003835461657279856
Position 5710: 0.0003685259115162471
Position 5099: 0.00032366661331291333
Position 6248: 0.000317959641852222
Position 6019: 0.00031185150297490785
Position 879: 0.00030786829758595814
Position 3462: 0.0002526528178013951
Position 1576: 0.00023734482607398985
Position 1110: 0.00023474572696216268
Position 3609: 0.000212256092802679
Position 5067: 0.00021016112225974803
Position 3155: 0.00015544753451654056
Position 4983: 0.0001550028570414745
Position 3168: 0.0001541157300880756
Position 2608: 0.0001540225367263462
Position 3627: 0.00013176797836220137
Position 3703: 0.00012677062678350773
Position 869: 0.00011445489339860668
Position 1556: 0.00011035871949865163
Position 3038: 0.00010447683174307393
Position 2806: 0.00010327876352304946
Position 3630: 9.1398006960303e-05
Position 2715: 8.811169176766999e-05
Position 2149: 8.363180420753754e-05
Position 1643: 7.360269269076411e-05
Position 2372: 7.121014537244869e-05
Position 745: 6.654130814770413e-05
Position 3061: 6.0026872737186526e-05
