Gene = GMNC
index = 602
Annotated 5SS: [   3 1932 3688 4833]
Annotated 3SS: [1756 3598 4715 6699]
SMsplice 5SS: [   3 1932 3688 4833]
SMsplice 3SS: [1756 3598 4715 8827]
top_k =  500
Partition function (log Z): -5.8543960861828666

Sorted 5' Splice Sites (High to Low Probability):
Position 4833: 0.9542273898393016
Position 3: 0.8955417932730045
Position 3688: 0.7342871620172737
Position 1932: 0.6442617580227561
Position 3694: 0.18926533727540737
Position 7591: 0.1554723764566299
Position 406: 0.12725477729692775
Position 2871: 0.035821438302532545
Position 8983: 0.03462671553104918
Position 4844: 0.021371819159010926
Position 159: 0.021173748240129867
Position 5141: 0.017764789734874702
Position 1363: 0.00819005436052347
Position 8381: 0.007580511588792757
Position 2199: 0.006817227184526605
Position 8538: 0.006775217915308792
Position 2044: 0.005285421697188005
Position 618: 0.005256542436043108
Position 1551: 0.005251030615266439
Position 9072: 0.0041551441932450835
Position 1253: 0.0034047981227576965
Position 7055: 0.00304409184130622
Position 7: 0.0023340247512064144
Position 1280: 0.0014000035476379848
Position 8543: 0.0010871481240366612
Position 2875: 0.0008258553902601232
Position 1672: 0.0007334144639900651
Position 56: 0.0006952809733925326
Position 3920: 0.0006752437578689488
Position 5028: 0.00044777138799918965
Position 4027: 0.0003967094588891379
Position 931: 0.000378971703418765
Position 389: 0.00029582004453048355
Position 868: 0.00027486323173169907
Position 1220: 0.00024197305152012943
Position 2293: 0.0002335319971040197
Position 1663: 0.00020383883570579915
Position 2993: 0.00018538384673014776
Position 1211: 0.00012993732399729503
Position 2443: 0.00012768689828739633
Position 2856: 0.00011761432445259996
Position 3810: 0.00010947185452478277
Position 4302: 0.00010727343333512551
Position 46: 0.00010424437706448292
Position 120: 9.745614119666067e-05
Position 1578: 5.079320755755381e-05
Position 4837: 2.1452845915968597e-05
Position 4757: 9.641578682945753e-06
Position 20: 5.5202041514174395e-06
Position 1868: 3.2933664766479874e-06
Position 28: 3.2915512854061004e-06
Position 1831: 3.1363559356901744e-06
Position 147: 3.106406026598856e-06
Position 149: 2.4641723143550802e-06
Position 1887: 1.1151144552581997e-06
Position 844: 6.527150201579171e-07
Position 857: 2.717872569541761e-07
Position 257: 7.206307517771747e-08
Position 543: 5.700521783943003e-08
Position 894: 2.88444558874203e-08
Position 704: 4.032057286410181e-09
Position 372: 5.665606494420134e-10
Position 707: 1.5718478339704974e-10
Position 477: 6.380349804415639e-11
Position 393: 7.212557833483108e-12
Position 683: 1.3145916591036635e-15
Position 689: 4.3605414523178346e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 4715: 0.9824338939733749
Position 3598: 0.8211593297471944
Position 1756: 0.4770132766991915
Position 8827: 0.2689181635640611
Position 7473: 0.1908058055322984
Position 9713: 0.13901197640262156
Position 9284: 0.09812598257676643
Position 6699: 0.09675577536543815
Position 1778: 0.07956000935840697
Position 8844: 0.07703474826058217
Position 334: 0.06528319419422385
Position 3478: 0.058762310975931736
Position 5547: 0.038415204894899885
Position 8262: 0.033948133061268836
Position 9551: 0.032757702475422326
Position 1793: 0.031216680828321172
Position 3553: 0.02372447563267215
Position 1835: 0.023403469913444254
Position 5493: 0.023366904489762242
Position 2795: 0.022092265572335883
Position 8791: 0.021249259349295776
Position 7251: 0.01570960338676107
Position 4963: 0.015653485294993396
Position 4920: 0.013240266274690897
Position 1783: 0.013169129770844138
Position 4985: 0.013072701132083439
Position 8380: 0.01153896604040102
Position 8034: 0.008992194722624823
Position 3537: 0.008615657567365726
Position 1961: 0.00849308204455013
Position 3426: 0.007634167599998295
Position 7739: 0.007556049440124871
Position 6965: 0.007238156589086545
Position 8216: 0.00699262954176368
Position 7028: 0.006347325010758466
Position 6934: 0.006038703068366255
Position 2678: 0.005755535001338195
Position 7342: 0.005543358777421763
Position 6730: 0.005365785492609547
Position 1902: 0.005100315370552658
Position 8017: 0.00482945040775838
Position 5663: 0.004674639696150542
Position 6566: 0.004410207251727213
Position 5276: 0.004087210236225013
Position 8637: 0.003914506044342273
Position 1340: 0.0035974507205865807
Position 9329: 0.003519634404214612
Position 5197: 0.0034448336382599484
Position 2609: 0.0032142970199497147
Position 7135: 0.002800585204931928
Position 4944: 0.0027221632055501265
Position 1310: 0.0025348382200538282
Position 1861: 0.0025320239377526446
Position 159: 0.002530641154054193
Position 1842: 0.002488475861242188
Position 2656: 0.00241138763353837
Position 7679: 0.0024072742221748276
Position 6904: 0.0022061431925445465
Position 3576: 0.0021355983834880302
Position 7763: 0.0020913027718198586
Position 6746: 0.0020754400480651335
Position 1429: 0.0020511889982598114
Position 8400: 0.002050765493291958
Position 7878: 0.0020408771610835857
Position 2167: 0.001987919894255658
Position 6647: 0.001960007450816582
Position 7368: 0.001938552881127584
Position 7861: 0.0018651898912655511
Position 4663: 0.0018052241215585276
Position 5847: 0.001744426764985936
Position 8696: 0.0017274462891351504
Position 5011: 0.001420701951946209
Position 1019: 0.0014033338140406028
Position 9689: 0.0013524615664851133
Position 1468: 0.0013440870902682543
Position 5824: 0.0012702809922431244
Position 7052: 0.0010550053259851006
Position 7079: 0.0010249514502828332
Position 2072: 0.0010147543096045999
Position 7652: 0.0010115767242805673
Position 120: 0.0010036921555859836
Position 5614: 0.0009923089816834018
Position 7622: 0.0009084272797379369
Position 5073: 0.0007823621721257018
Position 2692: 0.0007689292911409388
Position 3917: 0.0007687741710747421
Position 7788: 0.0007578147088454802
Position 5932: 0.0007034038900740829
Position 8803: 0.0006762661787990746
Position 5987: 0.0006678749730687013
Position 3484: 0.0006587872009306205
Position 2698: 0.0006479188594336466
Position 1578: 0.0006478688615828588
Position 2525: 0.0006347751063512732
Position 8959: 0.0006300214477795266
Position 2813: 0.0006196107799282232
Position 8753: 0.0005340602547486854
Position 8623: 0.0005325503749325044
Position 7185: 0.0005274514036263037
Position 2106: 0.0005152712130902561
Position 2348: 0.0005011694987119398
Position 6968: 0.0004897178154951443
Position 6720: 0.00046530495223643374
Position 8120: 0.00045540109971283247
Position 8067: 0.0004406234202127799
Position 5216: 0.0003945963922607466
Position 3326: 0.00038651330461765657
Position 8150: 0.00038444895870157463
Position 76: 0.00035237265667712234
Position 3402: 0.0003450940523380672
Position 5115: 0.00033611706562707244
Position 3790: 0.0003322296716091131
Position 1796: 0.00033179109067466944
Position 5422: 0.00032764041788487116
Position 7840: 0.000320571805112354
Position 3821: 0.00031827675798937134
Position 5018: 0.0003161876253162973
Position 1924: 0.00028242761277909117
Position 4736: 0.000275159173763915
Position 7694: 0.0002738839945430957
Position 7676: 0.000272817988581909
Position 4357: 0.00026468556615043054
Position 4118: 0.0002575956439988607
Position 6850: 0.0002024878835202745
Position 3608: 0.00018776017458372593
Position 504: 0.00018297306599577515
Position 2640: 0.00017150701412486864
Position 405: 0.00016842512097628692
Position 6537: 0.00016211495231372821
Position 3669: 0.00015762872427412027
Position 3677: 0.00015096277666707617
Position 1413: 0.00014657377117418502
Position 1529: 0.00014351195247561642
Position 8461: 0.00014127436878147703
Position 814: 0.00013926154841296183
Position 100: 0.00013455933178375208
Position 1512: 0.00012951205672546024
Position 6433: 0.0001290418479728185
Position 2141: 0.00012463171178725524
Position 5850: 0.00012348284454661787
Position 4416: 0.00011567766875885013
Position 1801: 0.0001018290824943954
Position 4132: 9.589863661166365e-05
Position 3795: 9.286850543062284e-05
Position 5119: 8.812265018761196e-05
Position 2017: 8.19695019965285e-05
Position 7406: 7.264130328812949e-05
Position 2841: 7.15001878669093e-05
Position 2904: 7.060953668872153e-05
Position 1930: 6.776582411489125e-05
Position 4094: 6.415557518141129e-05
Position 469: 6.332835108075372e-05
Position 2480: 5.1202547841434464e-05
Position 558: 4.936188705830725e-05
Position 129: 4.635716408404808e-05
Position 2544: 4.280384601471967e-05
Position 2483: 4.243470569062624e-05
Position 1410: 4.0565455715589826e-05
Position 3323: 4.050654896089556e-05
Position 1046: 3.5352519200652764e-05
Position 1103: 3.309470131224548e-05
Position 4681: 2.600942640704175e-05
Position 853: 2.3780870990449e-05
Position 5051: 2.2870268538152974e-05
Position 699: 2.0314827541983204e-05
Position 696: 1.8363881548940535e-05
Position 1263: 1.3899987432891324e-05
Position 1066: 1.3493667327300342e-05
Position 1208: 1.2682666888889595e-05
Position 1531: 1.1590508367188024e-05
Position 1439: 8.933622769512486e-06
Position 1316: 8.846950551461224e-06
Position 96: 7.1863466608812696e-06
Position 377: 6.9906676564330255e-06
Position 4821: 6.868506608321336e-06
Position 5048: 6.582105217978249e-06
Position 874: 6.554579896106641e-06
Position 1372: 6.11740147600423e-06
Position 4580: 5.8163705989769095e-06
Position 818: 5.645332264326875e-06
Position 573: 5.569471087463694e-06
Position 1447: 5.039315204737949e-06
Position 1230: 4.641508090224393e-06
Position 731: 4.288062160179099e-06
Position 2535: 3.3261427868816772e-06
