Gene = PRRT4
index = 1082
Annotated 5SS: [ 125  380 2346 2537 3005]
Annotated 3SS: [ 262 1621 2431 2884 9006]
SMsplice 5SS: [ 125 1686 2537 3005]
SMsplice 3SS: [ 1621  2431  2884 10521]
top_k =  500
Partition function (log Z): -1.8804030007579833

Sorted 5' Splice Sites (High to Low Probability):
Position 3005: 0.9951556978014561
Position 2537: 0.9170319866321035
Position 1686: 0.6772434062622359
Position 2346: 0.6500211977248469
Position 125: 0.5031755685403086
Position 380: 0.3055537182399584
Position 10450: 0.2856686810672022
Position 1263: 0.13137088000386604
Position 10620: 0.11681353731979097
Position 3521: 0.08338221628506641
Position 1821: 0.06344878727154511
Position 272: 0.06180927788995669
Position 8854: 0.055217754589223636
Position 1785: 0.05087457891414762
Position 6035: 0.048760645873296316
Position 401: 0.04673635020285573
Position 734: 0.046161001951465004
Position 10834: 0.04419929436108703
Position 8874: 0.04023514593661342
Position 388: 0.03614811593927323
Position 9237: 0.030653061806774216
Position 7663: 0.030643110427340303
Position 4096: 0.030639992309409236
Position 4092: 0.03032945307941598
Position 1453: 0.028362619379742257
Position 2253: 0.024879098779245556
Position 1958: 0.023732591757758596
Position 407: 0.023695749331921014
Position 2489: 0.023361685752679183
Position 7836: 0.021510630415503593
Position 9230: 0.012387167604985722
Position 723: 0.010503167495154358
Position 972: 0.009790522357522126
Position 481: 0.009393389781513899
Position 6899: 0.007188950692683691
Position 1184: 0.007073298323001933
Position 459: 0.0051599530971407894
Position 1150: 0.0047355497772609036
Position 423: 0.004245444353619937
Position 8207: 0.003449584952501027
Position 413: 0.0032915650187220597
Position 228: 0.0030877402639323953
Position 2000: 0.0030389676373305326
Position 2397: 0.001986110312017239
Position 2711: 0.0014292630182534223
Position 5993: 0.0014126381730012942
Position 6043: 0.0013976582031684894
Position 1352: 0.0012742102326588367
Position 775: 0.0011148353747776315
Position 451: 0.0009497791101022156
Position 508: 0.0007524302362624823
Position 94: 0.0006436717005726181
Position 403: 0.0006434767069881071
Position 865: 0.0005715892245233638
Position 5875: 0.0005482803280045155
Position 3009: 0.0005315525450106945
Position 2521: 0.000516931242609744
Position 87: 0.00047302559333912297
Position 3869: 0.00044298371546334735
Position 2046: 0.00043616104460837875
Position 1027: 0.00041947155845670724
Position 1142: 0.00030037345073905794
Position 2739: 0.00028756545786412567
Position 433: 0.0002638970552831278
Position 519: 0.00023098969041978901
Position 498: 0.0001710359221287456
Position 2528: 0.00015766302843069475
Position 425: 0.00013565186942476456
Position 4833: 9.59515322298428e-05
Position 2610: 9.399972168434087e-05
Position 7659: 7.19009708571957e-05
Position 2843: 1.2655693778688826e-05
Position 6766: 1.2607569317415493e-05
Position 496: 8.994816108012265e-06
Position 512: 8.749041945533139e-06
Position 3518: 7.540879164589353e-06
Position 547: 7.249991952625947e-06
Position 405: 5.262853105940662e-06
Position 738: 4.861479425492816e-06
Position 695: 4.780363147649095e-06
Position 555: 4.620479350082488e-06
Position 553: 4.556102467953212e-06
Position 557: 4.018055334235446e-06
Position 551: 3.4362038060669663e-06
Position 683: 2.2632447389556375e-06
Position 691: 2.2472363177866753e-06
Position 191: 2.1175023695661798e-06
Position 411: 2.0948164858496276e-06
Position 687: 1.92997463578367e-06
Position 689: 1.8790787676530015e-06
Position 685: 1.765451935710721e-06
Position 549: 1.7245425148700219e-06
Position 545: 1.675228925687552e-06
Position 559: 1.6475162578237689e-06
Position 492: 6.150769163968054e-07
Position 502: 6.124016034977333e-07
Position 536: 5.807888910932514e-07
Position 531: 5.69289900260251e-07
Position 579: 5.583780149101831e-07
Position 561: 5.437540858994358e-07
Position 681: 3.171995087974881e-07
Position 563: 3.0539288647183367e-07
Position 794: 2.937547298226052e-07
Position 565: 2.861244018348751e-07
Position 567: 2.44895890157936e-07
Position 427: 2.2049934745121825e-07
Position 569: 2.103058926237671e-07
Position 571: 1.9705420827127667e-07
Position 766: 1.9457410558439634e-07
Position 575: 1.9218323868103295e-07
Position 573: 1.828584699851145e-07
Position 241: 5.194333589344893e-08
Position 467: 9.9480494680544e-09
Position 465: 8.332902511496998e-09
Position 448: 6.1641867224325416e-09
Position 500: 6.106298902132923e-09
Position 693: 5.8562452790266446e-09
Position 639: 5.68212698822606e-09
Position 289: 1.7574631211126558e-17

Sorted 3' Splice Sites (High to Low Probability):
