Gene = EXD3
index = 513
Annotated 5SS: [   149  27960  39950  49837  50358  55327  56770  66995  68563  68924
  70643  71197  71945  72225  73894  74153  75192  99173  99538 113656
 115655]
Annotated 3SS: [ 27857  39884  49662  50189  55272  56629  66893  68488  68884  70475
  71060  71733  72114  73730  73979  75023  99118  99405 113561 115615
 115998]
SMsplice 5SS: [   149    504  11713  14029  25845  27960  39950  49837  51791  56770
  66995  68563  68924  70643  71945  72225  73894  74153  75192  99538
 113656]
SMsplice 3SS: [   417  11597  13900  25745  27857  39884  49662  51666  56629  66893
  68488  68884  70537  71733  72114  73808  73979  75065  99405 113561
 116060]
top_k =  500
Partition function (log Z): 11.964120509024802

Sorted 5' Splice Sites (High to Low Probability):
Position 56770: 0.9999973196457502
Position 11713: 0.9999785994048862
Position 72225: 0.9999465924853975
Position 39950: 0.9977778681916155
Position 49837: 0.9968667894954744
Position 75192: 0.9942726252908354
Position 27960: 0.9930862765416363
Position 70643: 0.9637204041072938
Position 68924: 0.9380516350742313
Position 66995: 0.9141106723741698
Position 71945: 0.9140581152321288
Position 504: 0.8904168563172237
Position 25845: 0.8734236996505329
Position 68563: 0.7702426682207795
Position 74153: 0.6746548279604735
Position 149: 0.6457441060431156
Position 14029: 0.5826701145297805
Position 51791: 0.45836421574166
Position 73894: 0.43909186147208057
Position 51799: 0.43861907731412686
Position 73901: 0.4138786217224192
Position 49350: 0.3639595999036538
Position 40522: 0.33916920162070113
Position 67278: 0.3302943447324456
Position 50358: 0.32245551706335784
Position 52787: 0.3171123815411947
Position 50164: 0.2989328297248295
Position 37937: 0.2717114392092053
Position 17762: 0.24421583023701943
Position 233: 0.20178234570903483
Position 43088: 0.1911210482758721
Position 19526: 0.16739241778201316
Position 56570: 0.15176122896884806
Position 6798: 0.1466064123903208
Position 57859: 0.1448394984667385
Position 51462: 0.13842306839165402
Position 6558: 0.13733218828568264
Position 57511: 0.13468541362978195
Position 42510: 0.13180359170063669
Position 53865: 0.11388194402884962
Position 71197: 0.10943151243595108
