Gene = PAIP1
index = 996
Annotated 5SS: [  498  1250  9352 14076 18156 20261 21546 22227 23342 27294]
Annotated 3SS: [ 1079  9165 13962 18043 20134 21438 22108 23286 27199 29609]
SMsplice 5SS: [  261   498  1250  9352 14076 20261 21546 22227 24816 27294 29687]
SMsplice 3SS: [  397  1079  9165 13962 20134 21438 22108 24552 27199 29609 30442]
top_k =  500
Partition function (log Z): 11.598719062741054

Sorted 5' Splice Sites (High to Low Probability):
Position 9352: 0.9999999999999992
Position 14076: 0.9990519922629293
Position 27294: 0.9986258402357802
Position 1250: 0.9056703942085451
Position 22227: 0.900915675376345
Position 261: 0.8217353881947842
Position 20261: 0.8058686297815827
Position 24816: 0.7889228402528841
Position 498: 0.7143590329943572
Position 29687: 0.6923166922176444
Position 21546: 0.4799638845348599
Position 26559: 0.4468594597797259
Position 28944: 0.369507618515653
Position 28028: 0.3442969678337248
Position 23342: 0.227905951248845
Position 21542: 0.22721888993017683
Position 21637: 0.22336615293958303
Position 3852: 0.21991741850304408
Position 18156: 0.21591167940294856
Position 26119: 0.20806988323379577
Position 28595: 0.20438953008929528
Position 26745: 0.18907206994128659
Position 2671: 0.18425796123925522
Position 28800: 0.1823576560701087
Position 12575: 0.17367332534481933
Position 29743: 0.1170898553057757
Position 2666: 0.11486981400983662
Position 3101: 0.10773140787474159
Position 877: 0.09393579283960854
Position 21851: 0.07802494755857191
Position 640: 0.07501714633483066
Position 1166: 0.05755356532914611
Position 1442: 0.046759862348991606
Position 23476: 0.04490008205975278
Position 26810: 0.037590467161253686
Position 6384: 0.031004180430837143
Position 3078: 0.03008005774101358
Position 26109: 0.029891908114537284
Position 243: 0.025484544698951592
Position 1452: 0.022478699054189193
Position 25039: 0.015520880464350947
Position 29474: 0.01491718235527097
Position 21563: 0.013814800276886856
Position 29700: 0.013739168225841262
Position 27071: 0.012704481919669488
Position 29281: 0.01171936989735156
Position 28573: 0.010070856206515074
Position 17011: 0.009932332014370136
Position 23864: 0.009746157092787073
Position 23382: 0.008670620090754571
Position 23761: 0.007948059210994068
Position 30091: 0.007626036497178934
Position 28697: 0.006966325597361726
Position 29485: 0.006754462061811172
Position 267: 0.00651949761536894
Position 28907: 0.005961572996580094
Position 21558: 0.0056525987309678505
Position 29219: 0.005296096992123029
Position 29825: 0.005158974907933415
Position 20180: 0.004966060336626385
Position 1230: 0.004785144408382651
Position 130: 0.004173525747086072
Position 717: 0.003827613357118996
Position 1323: 0.0034692276958240807
Position 23890: 0.003283983382217098
Position 1582: 0.003213070253480736
Position 1977: 0.0022089258551184964
Position 29748: 0.0020886584513295386
Position 24635: 0.001872066942563691
Position 29276: 0.0018352932685537487
Position 24968: 0.0018223490017014177
Position 2748: 0.0017381592881725114
Position 23771: 0.0016208164331527116
Position 2260: 0.00156886660416088
Position 29705: 0.0015158611731358024
Position 235: 0.0014540936279525398
Position 27287: 0.0013732928373561273
Position 671: 0.0013259529581994326
Position 2108: 0.0012360027791778075
Position 23470: 0.0009368005462161455
Position 452: 0.0007499148216645711
Position 1014: 0.00063238317500878
Position 28728: 0.0005243906349757996
Position 22468: 0.00048699418159528843
Position 23532: 0.00039612930908593556
Position 22153: 0.00037026152930322157
Position 662: 0.0003643527836753578
Position 800: 0.0003593012307761554
Position 29345: 0.00028416310300663955
Position 445: 0.00026266938304334866
Position 1006: 0.00019366777547766387
Position 2413: 0.00016888368045156414
Position 28222: 0.0001503108822735159
Position 27600: 0.00013257999376103103
Position 690: 0.00011948038775716664
Position 601: 0.00011323898013852437
Position 752: 9.623269454754138e-05
Position 14: 7.242811163896285e-05
Position 1144: 5.0776243777931594e-05
Position 967: 5.048099077955713e-05
Position 1254: 3.5271170951903703e-05
Position 48: 2.557665504002474e-05
Position 632: 2.198407074664973e-05
Position 27512: 2.0241381258837928e-05
Position 1202: 9.53393815224849e-06
Position 321: 6.3754348186747065e-06
Position 920: 5.109834203423963e-06
Position 1172: 5.026506920827281e-06
Position 732: 3.943718419751245e-06
Position 1280: 1.9434026291284996e-06
Position 1724: 1.2442752437644436e-06
Position 28702: 9.336543085739026e-07
Position 62: 3.5590826066492367e-07
Position 1299: 2.865036127960792e-07
Position 1349: 2.842267086201422e-07
Position 724: 2.3380695420154396e-08
Position 588: 1.6839958793065993e-10
Position 175: 4.971221287985623e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 27199: 0.9961212049427715
Position 29609: 0.95660230896352
Position 1079: 0.9502625823241605
Position 13962: 0.8951097487100951
Position 22108: 0.8936915366431823
Position 9165: 0.8775142528610058
Position 20134: 0.8108346901182096
Position 21438: 0.7969261877538137
Position 24552: 0.7525840238668426
Position 30442: 0.5406451458723761
Position 27825: 0.3161122016837109
