Gene = ZBTB8OS
index = 1592
Annotated 5SS: [  152 15817 16634 16940 18758 23077]
Annotated 3SS: [15791 16511 16856 18704 23039 28635]
SMsplice 5SS: [  152 15817 16634 16940]
SMsplice 3SS: [15791 16473 16856 28635]
top_k =  500
Partition function (log Z): -11.986641339383072

Sorted 5' Splice Sites (High to Low Probability):
Position 16634: 0.9959098077513355
Position 16940: 0.8542188842156693
Position 152: 0.5681472350851317
Position 18758: 0.5469175629255661
Position 15817: 0.3747920457394591
Position 15883: 0.34674058924685314
Position 15852: 0.2770204944715233
Position 18377: 0.2659219535839865
Position 844: 0.2464611548927546
Position 3342: 0.16974333212841552
Position 123: 0.1647486369606536
Position 19482: 0.1556397968305307
Position 144: 0.08937905693963324
Position 156: 0.08419001055280012
Position 183: 0.0776495374540374
Position 17799: 0.07714024346955295
Position 18345: 0.041469605363171326
Position 17323: 0.03675051456410721
Position 483: 0.017310442100829167
Position 1128: 0.01695442548628303
Position 8341: 0.014410042447215915
Position 18550: 0.012568240122329419
Position 3081: 0.010662286716004592
Position 690: 0.00946967261983301
Position 160: 0.0015752281791441114
Position 17909: 0.0011292471206388445
Position 250: 0.0008399033023235554
Position 503: 0.0007420238172312182
Position 293: 0.00038971099519447894
Position 150: 8.389917262187374e-05
Position 76: 5.1257142258515115e-05
Position 32: 4.845692283753836e-05
Position 15: 2.7213314779308483e-05
Position 496: 1.801953075323265e-05
Position 10: 1.2937262177393966e-05
Position 394: 1.0766886010236808e-05
Position 343: 9.815903646174915e-06
Position 335: 8.22894455689104e-06
Position 372: 7.677355569354489e-06
Position 838: 4.601871044113092e-06
Position 470: 4.387028213603731e-06
Position 416: 4.1722511781161684e-06
Position 2654: 2.931756780703447e-06
Position 494: 2.833932539121561e-06
Position 3031: 2.5664035511130814e-06
Position 917: 2.31691761711474e-06
Position 1466: 2.2309259075674064e-06
Position 239: 2.128768559162755e-06
Position 133: 1.4326678297003208e-06
Position 456: 1.2710105427739811e-06
Position 2986: 1.0870149228407726e-06
Position 288: 9.397952814601015e-07
Position 2435: 8.085854018771206e-07
Position 37: 7.986820295328611e-07
Position 2991: 5.352705371508615e-07
Position 1418: 4.848384462999998e-07
Position 285: 4.0547351110555753e-07
Position 1386: 3.932777159569346e-07
Position 3011: 2.83642545003808e-07
Position 297: 2.5801430997361274e-07
Position 2679: 1.7011958384836156e-07
Position 1585: 1.4469678300832453e-07
Position 697: 1.1782233663843526e-07
Position 3231: 1.1544284994414294e-07
Position 282: 1.0661849242345736e-07
Position 3225: 9.45325675865675e-08
Position 273: 8.033819392347955e-08
