Gene = PSAT1
index = 1084
Annotated 5SS: [  128  3520  4881  7798  9344 11441 20662 31046]
Annotated 3SS: [ 3458  4810  7591  9170 11270 20532 30907 31837]
SMsplice 5SS: [  128  4881 11441 19814 20662 30658]
SMsplice 3SS: [ 4810 11270 19670 20532 30497 30907]
top_k =  500
Partition function (log Z): -9.755620262956912

Sorted 5' Splice Sites (High to Low Probability):
Position 4881: 0.9971503969623815
Position 11441: 0.9912314331496982
Position 20662: 0.9404096496950507
Position 128: 0.8839972623874223
Position 19814: 0.5717311153632461
Position 7798: 0.5541458057428821
Position 4522: 0.429321785618662
Position 9344: 0.322723330557252
Position 21971: 0.3226058164499487
Position 20947: 0.30302375060223485
Position 17031: 0.2856764430350979
Position 9491: 0.1839885894634701
Position 19538: 0.161026860194019
Position 661: 0.14859162308146143
Position 3277: 0.13668429910223448
Position 3520: 0.07728298734557933
Position 313: 0.06692412300706949
Position 184: 0.0647289343286118
Position 9794: 0.05168090994696316
Position 669: 0.04791549158480915
Position 367: 0.04655830830751835
Position 1255: 0.04652214183302921
Position 9293: 0.040597205337748986
Position 20777: 0.03834211650465098
Position 7248: 0.03402215000812214
Position 17618: 0.03075623942081272
Position 9790: 0.030230120582382152
Position 609: 0.02935676899472694
Position 10230: 0.028919133228019346
Position 21212: 0.027603017319184967
Position 3388: 0.019192685484652673
Position 9363: 0.018218025207141084
Position 8631: 0.017760069662628095
Position 86: 0.009704333773712272
Position 3716: 0.009227007062905206
Position 11394: 0.008738074913064619
Position 3207: 0.0074150333278368745
Position 461: 0.0063510281027510905
Position 740: 0.003953877554643783
Position 160: 0.0036686521482255014
Position 1118: 0.0021741831318909588
Position 155: 0.0020905174623668476
Position 4670: 0.0018868752730359724
Position 415: 0.0015795301212023721
Position 5918: 0.0007051336984128533
Position 188: 0.0004474021069186622
Position 1719: 0.00012725571904255984
Position 309: 8.349563653135081e-05
Position 632: 5.524607299066109e-05
Position 878: 4.3758020263346966e-05
Position 573: 2.904254894345277e-05
Position 89: 2.7443889880711313e-05
Position 105: 2.2289502737552017e-05
Position 1901: 1.1701595199056276e-05
Position 30: 9.893984509215012e-06
Position 926: 9.180305456003336e-06
Position 525: 9.106102324211923e-06
Position 581: 8.997237771321406e-06
Position 25: 7.666485326881799e-06
Position 935: 6.2859751742015434e-06
Position 667: 5.480705478229534e-06
Position 132: 5.012060409210096e-06
Position 406: 3.0523726019839967e-06
Position 443: 2.1490969822229316e-06
Position 698: 2.0705842148607217e-06
Position 864: 1.499523765240065e-06
Position 339: 1.1134461163895193e-06
Position 333: 6.382946478447378e-07
Position 377: 6.070376169141664e-07
Position 259: 1.1904622992161427e-07
Position 202: 1.2312180780569524e-08
Position 235: 1.0748706587848199e-08
Position 17: 7.768494282689043e-09
Position 204: 7.340416985243376e-09
Position 210: 3.3011254057528574e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 20532: 0.9859730556451709
Position 4810: 0.9609491682814442
Position 11270: 0.9434198470372461
Position 19670: 0.5719510565071165
Position 21811: 0.38964521111750455
Position 4471: 0.36695625439838203
Position 9170: 0.36595939555990736
Position 16908: 0.28704261822021215
Position 30907: 0.2534732953377639
Position 522: 0.22244681144319164
Position 20860: 0.20072402343461818
Position 7591: 0.19176851394256045
Position 7686: 0.18634107078325196
Position 24203: 0.18191992073471674
Position 9394: 0.17655396355501823
Position 7713: 0.17603622101706948
Position 19387: 0.12182198473598208
Position 20881: 0.11263185295361779
Position 3153: 0.11214799448829639
Position 9631: 0.07408247553627657
Position 3458: 0.07201662855625732
Position 22273: 0.06069831798492409
Position 11297: 0.05657101470929124
Position 21092: 0.054011313074983754
Position 4428: 0.052451827606151656
Position 243: 0.05157559952480643
Position 28490: 0.04793352005958315
Position 22050: 0.04782623654156401
Position 21683: 0.04533108346919649
Position 23886: 0.04119918444392716
Position 28369: 0.03971116552933751
Position 19325: 0.03920487545803676
Position 1000: 0.038895912138302555
Position 21424: 0.035938929587936326
Position 4745: 0.027832791575368516
Position 7176: 0.02335658786874124
Position 3199: 0.021157969680817002
Position 25519: 0.020575277005300274
Position 17463: 0.01982499055423384
Position 9980: 0.01786844219345617
Position 21635: 0.017142040009037796
Position 9120: 0.016302631230141258
Position 235: 0.01526184944474273
Position 17545: 0.01334441037067128
Position 8445: 0.012169349171212858
Position 22337: 0.011955191797212971
Position 10003: 0.011050691034563189
Position 257: 0.01097066230971909
Position 23101: 0.00973365729505949
Position 21119: 0.009466880002280532
Position 21997: 0.009418337926312782
Position 4178: 0.00886670968985348
Position 3129: 0.008839349069373125
Position 25024: 0.008781759017279263
Position 3387: 0.008252404200599263
Position 9561: 0.007828554993068776
Position 2876: 0.007683918687902059
Position 7140: 0.007160014520779247
Position 210: 0.0067600085182822145
Position 9449: 0.0067111602205447846
Position 3159: 0.006611510965406033
Position 21709: 0.006588491684001118
Position 21123: 0.0063431314637900525
Position 4770: 0.006265907632066404
Position 1142: 0.005884162310864985
Position 20738: 0.005700528358593415
Position 8590: 0.005590720491415239
Position 431: 0.005065177496179251
Position 20908: 0.004746231058348408
Position 20762: 0.004082041889779006
Position 21024: 0.0037501771774515686
Position 20809: 0.003737505745029876
Position 3617: 0.0033440860875985235
Position 266: 0.0032990938255632964
Position 7064: 0.0031037596932182456
Position 3591: 0.002897034388939595
Position 2976: 0.0028751753591713886
Position 22065: 0.002615352155319995
Position 4266: 0.0023664017145614935
Position 1059: 0.002000690168686985
Position 14928: 0.0018734113629364712
Position 21535: 0.0016514048930891631
Position 4097: 0.001449869927556387
Position 3281: 0.0014228587959895587
Position 3005: 0.001347218332013702
Position 4698: 0.001221156209480925
Position 3041: 0.0011493702793562478
Position 1047: 0.0008674569080128177
Position 543: 0.0005417462382467025
Position 21553: 0.0005029697476771861
Position 21275: 0.00044896611033747524
Position 21252: 0.000427805450127418
Position 7024: 0.0004024131642499563
Position 1214: 0.0003880629518670708
Position 965: 0.0003820853414896487
Position 18461: 0.00035168962877489237
Position 5795: 0.00023734586162688304
Position 16546: 0.0002358473667268288
Position 5899: 0.00022447756637639218
Position 855: 0.00016909804379707546
Position 20318: 0.00015221036803859473
Position 5683: 0.00013504652534051417
Position 1637: 0.00013285849642647512
Position 5773: 0.00010826374506906385
Position 12241: 0.00010244936714692959
Position 623: 9.153467895045102e-05
Position 13250: 8.627338968857281e-05
Position 12026: 7.591309174607675e-05
Position 788: 6.887132763904678e-05
Position 278: 6.841241013048954e-05
Position 13215: 6.733244156408224e-05
Position 13304: 6.37706503098721e-05
Position 13492: 6.285639402709408e-05
Position 3002: 5.679520949429739e-05
Position 1122: 5.5591145802427766e-05
Position 16334: 4.262444933477213e-05
Position 1169: 3.749588365568448e-05
Position 15941: 3.7052954299698315e-05
Position 13421: 2.9225002997839904e-05
Position 13864: 2.8524424002678924e-05
Position 12995: 2.638366772639754e-05
Position 344: 2.4617015879761463e-05
Position 12539: 2.0427717339533293e-05
Position 275: 1.898387604305917e-05
Position 11564: 1.372982322128872e-05
Position 309: 6.498273333152583e-06
Position 1817: 5.1245093895063e-06
Position 377: 4.381980743728614e-06
Position 608: 3.5502012731175523e-06
Position 8768: 3.306937343943838e-06
Position 288: 3.2926074111297772e-06
Position 302: 2.7158743501508765e-06
Position 5125: 2.563034877429647e-06
Position 807: 2.388865193872806e-06
Position 1844: 1.0435974925647387e-06
Position 636: 8.597384948616098e-07
Position 6219: 5.202641774314928e-07
Position 534: 3.7877612384068457e-07
Position 321: 3.476848145886919e-07
Position 660: 2.5742161822056164e-07
Position 389: 2.1721210720563603e-07
Position 571: 1.8997692307653567e-07
Position 373: 4.334236825685658e-08
Position 159: 2.302372359001451e-08
Position 165: 1.2588799278988133e-08
Position 330: 3.0430194349590837e-09
Position 115: 7.474255623553018e-10
Position 494: 3.675941128211146e-10
Position 128: 3.511429418132234e-10
Position 155: 2.929115755090345e-10
Position 317: 2.9257026828138046e-10
Position 132: 2.611667452424058e-10
Position 696: 2.0148828155139498e-10
Position 735: 1.8674929788531875e-10
Position 488: 1.5307696702409504e-10
Position 172: 8.102929899738288e-11
Position 81: 4.177257711175207e-11
Position 142: 3.8150374988861025e-13
Position 85: 1.6743091597557774e-14
