Gene = POP7
index = 1054
Annotated 5SS: [252]
Annotated 3SS: [767]
SMsplice 5SS: [344]
SMsplice 3SS: [767]
top_k =  500
Partition function (log Z): -11.039574560440105

Sorted 5' Splice Sites (High to Low Probability):
Position 344: 0.717444359782845
Position 252: 0.21317376307312
Position 548: 0.034285762384267976
Position 685: 0.01954567858391796
Position 50: 0.018751812614847152
Position 389: 0.007972073302417317
Position 1281: 0.0049288050911716905
Position 405: 0.0038845726999885556
Position 665: 0.0025725054282669086
Position 962: 0.002373758937469244
Position 710: 0.0021204656394717874
Position 1335: 0.0019054191031765923
Position 321: 0.0016023042301252424
Position 167: 0.001283622706417686
Position 1197: 0.0007569970406097534
Position 391: 0.0007022830842388073
Position 62: 0.0004696100293568747
Position 161: 0.00029659412901209356
Position 803: 0.00028567171863219437
Position 656: 0.00022062552683896767
Position 1329: 0.000214069270535101
Position 80: 0.0001891655962458595
Position 1069: 0.00013169322618065987
Position 348: 1.989349509086109e-06
Position 727: 8.397757573794491e-07
Position 501: 6.068686318081579e-07
Position 284: 4.923404065143255e-07
Position 196: 2.1483215341694898e-07
Position 696: 9.738972746887309e-08
Position 648: 4.1319681790877035e-08
Position 393: 1.4774416421229209e-08
Position 456: 1.2497277883547537e-08
Position 471: 3.3579286258229845e-09
Position 238: 2.9780064909939498e-09
Position 577: 3.6193108007713336e-10
Position 434: 1.3748181843213073e-10
Position 476: 1.6459815571246174e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 767: 0.37896677003471274
Position 1068: 0.30523990797682
Position 444: 0.0680454002766762
Position 595: 0.04813812240605564
Position 575: 0.03430909872085812
Position 875: 0.029569075104320865
Position 1038: 0.02641052026344939
Position 469: 0.018547127925172546
Position 571: 0.01455136732016433
Position 465: 0.012135953718565849
Position 1432: 0.011292224023444137
Position 903: 0.01105392752863172
Position 966: 0.010509719974164661
Position 845: 0.010406654058369815
Position 621: 0.009581820903824463
Position 1044: 0.009049157976386507
Position 939: 0.006212091785818462
Position 648: 0.0060724624103630775
Position 440: 0.005195755944248623
Position 936: 0.0042702548178436325
Position 776: 0.0033634806962327055
Position 1358: 0.002402304378415622
Position 701: 0.002332875511694647
Position 915: 0.0018400803145676038
Position 1095: 0.0010105846749137708
Position 860: 0.0006737006426664932
Position 684: 0.0006341028441357309
Position 1162: 0.0006088560228082819
Position 851: 0.0006036378873446403
Position 1184: 0.0003899866309034906
Position 446: 0.000285917640463058
Position 813: 0.00018270912754558098
Position 1117: 0.00017382017285889082
Position 921: 0.00016979036124545462
Position 829: 0.0001520238934352714
Position 662: 0.00012904487745832047
Position 1113: 8.750183757337296e-05
Position 1107: 8.733081318531121e-05
Position 504: 8.668141245384626e-05
Position 1256: 5.413572616215252e-05
Position 981: 5.1292204075422986e-05
Position 1274: 4.753452478285753e-05
Position 1306: 4.555202168268462e-05
Position 707: 4.487175912247271e-05
Position 784: 3.739012619708945e-05
Position 1362: 2.8114220190711244e-05
Position 525: 2.7567812974957098e-05
Position 1197: 1.9350681927424936e-06
Position 1134: 1.665279451916639e-06
Position 471: 1.6285761754331183e-06
Position 379: 6.252358180904182e-07
Position 348: 3.5334810109059384e-07
Position 343: 2.2636355867403246e-07
Position 1052: 2.1772686245287125e-07
Position 248: 1.9225139395545633e-07
Position 655: 1.6804895731550895e-07
Position 476: 1.6297161061936775e-07
Position 328: 1.535378980305545e-07
Position 372: 1.3230068590517875e-07
Position 231: 7.79581831994365e-08
Position 196: 7.772251922640258e-08
Position 250: 8.746276559210725e-09
Position 211: 9.677692735676256e-10
Position 252: 6.57751063865642e-10
Position 290: 4.341549868092373e-10
Position 275: 2.6251921478524076e-10
Position 256: 1.0687142609304211e-10
Position 362: 8.448471833470707e-11
Position 284: 7.367796123548636e-11
Position 354: 5.409355544922898e-11
Position 389: 4.165149367529381e-11
Position 114: 3.1441825345815176e-11
Position 356: 2.6983154009531762e-11
