Gene = RP11-11N7.5
index = 1158
Annotated 5SS: [  74  525 6710 8894]
Annotated 3SS: [  452  6640  8790 10152]
SMsplice 5SS: [  74  525 8496 8894]
SMsplice 3SS: [  452  8349  8790 10152]
top_k =  500
Partition function (log Z): -5.7232962378412555

Sorted 5' Splice Sites (High to Low Probability):
Position 8894: 0.9171842967678038
Position 74: 0.9077608417330671
Position 8496: 0.8527220743425042
Position 525: 0.7699536046487759
Position 1562: 0.1735926746249607
Position 2691: 0.17281679617264525
Position 2346: 0.04000956421422262
Position 130: 0.035530875440112485
Position 10251: 0.019633780995541125
Position 9467: 0.013631992004915505
Position 9523: 0.011942910347024735
Position 9384: 0.010605278808332976
Position 164: 0.009875786954124149
Position 529: 0.005632420643711642
Position 8881: 0.004775959887480185
Position 1468: 0.002851646003908807
Position 132: 0.002737026006292163
Position 1241: 0.001666047540020562
Position 872: 0.0012557413637709653
Position 1116: 0.0012512785206141705
Position 316: 0.001054840882800423
Position 112: 0.0006861129873793126
Position 247: 0.0006511305285499878
Position 881: 0.0006130251836609341
Position 212: 0.0006029200416390637
Position 9447: 0.0004607964520426865
Position 9248: 0.00043160542393306877
Position 9407: 0.0003613919481049479
Position 9056: 0.00034666781653608554
Position 9490: 0.00033265717447333344
Position 639: 0.00030557704575481586
Position 206: 0.00020614209833308007
Position 1680: 0.00017084949459849952
Position 42: 0.000150372842755657
Position 260: 0.0001219975781444637
Position 550: 9.954573472111133e-05
Position 1963: 9.661938725445503e-05
Position 1160: 9.212196285507615e-05
Position 1550: 8.177410152419089e-05
Position 2138: 7.606350403744583e-05
Position 733: 6.989116691704274e-05
Position 1279: 6.770029774630628e-05
Position 1180: 6.07619229957809e-05
Position 157: 5.6037197219979055e-05
Position 2183: 5.5107623224208514e-05
Position 149: 4.6525681997596654e-05
Position 9: 4.437663642715821e-05
Position 1316: 3.9645333406848114e-05
Position 1309: 3.108761074860363e-05
Position 331: 2.3193375482016667e-05
Position 249: 2.272214453078458e-05
Position 3348: 1.834749702229482e-05
Position 1748: 1.6470481370202057e-05
Position 1347: 5.811761930105252e-06
Position 2232: 5.706912523247383e-06
Position 143: 5.263988574332526e-06
Position 221: 3.0943661815135294e-06
Position 1099: 1.4005051192473472e-06
Position 8898: 1.3669722179679174e-06
Position 120: 1.0352353026802126e-06
Position 523: 5.846397288914971e-07
Position 237: 5.837457478048907e-07
Position 1234: 3.0029293782096213e-07
Position 541: 2.469562077022883e-07
Position 151: 1.4050122131435233e-07
Position 6: 1.2513013887404158e-07
Position 1293: 8.916121996104982e-08
Position 12: 7.611221347765298e-08
Position 1004: 7.519067115543733e-08
Position 1283: 7.014523208885981e-08
Position 859: 3.681629369471076e-08
Position 329: 3.573986953242076e-08
Position 1599: 1.7976339018280583e-08
Position 1947: 1.4852909813254123e-08
Position 561: 7.357638086713719e-09
Position 1150: 4.870544511969786e-09
Position 697: 3.9792598769275535e-09
Position 714: 1.804587323441348e-09
Position 664: 1.5790788184130031e-09
Position 646: 1.030941353621048e-09
Position 644: 9.986297137729476e-10
Position 854: 9.285862116080263e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 8790: 0.8308199154650673
Position 452: 0.6645217772296467
Position 10152: 0.550654563373737
Position 8349: 0.5476916666626014
Position 8982: 0.3415624554950834
Position 8395: 0.16641923226042038
Position 1408: 0.1489233749531167
Position 2580: 0.10925788521105885
Position 9296: 0.07377985593210563
Position 8824: 0.07299057578407694
Position 2313: 0.07137696316630833
Position 8443: 0.0570404289666099
Position 8276: 0.05418110613595463
Position 349: 0.05348354105176008
Position 10320: 0.020342559215517884
Position 8798: 0.019602103263341046
Position 2389: 0.017077476655072917
Position 8326: 0.014010061351723413
Position 1344: 0.013882079614849685
Position 9320: 0.01115672846401035
Position 10249: 0.010239927891659846
Position 9150: 0.008300084898582106
Position 8295: 0.0080388360418719
Position 2681: 0.007665194902902297
Position 8216: 0.007518082204074388
Position 1383: 0.006572049089197523
Position 410: 0.006387081353542076
Position 1226: 0.005869715409545361
Position 993: 0.00578675322767792
Position 9628: 0.004902177286642417
Position 10060: 0.0040410806576843756
Position 246: 0.0037905840927455266
Position 423: 0.003730411753351452
Position 9005: 0.003583100640417879
Position 9380: 0.003218850267803395
Position 10160: 0.0027452158398222097
Position 2612: 0.0022914934146847235
Position 2457: 0.00221557000511914
Position 460: 0.001990177408796958
Position 9231: 0.0017723506144787767
Position 8620: 0.0017085527906486261
Position 1445: 0.0016374677938953374
Position 2052: 0.0015514609233437159
Position 8568: 0.0015378802150095715
Position 9483: 0.0013180523545822972
Position 309: 0.0011648319186029438
Position 2222: 0.0011544635990911024
Position 2201: 0.0011306181411576926
Position 9155: 0.001105386494243731
Position 4122: 0.0010343107551349315
Position 6640: 0.0010309770837552948
Position 7908: 0.000980066109723077
Position 2546: 0.0008130213764351947
Position 755: 0.0007008860399988271
Position 2529: 0.000682212254764828
Position 354: 0.0006069748271499715
Position 2137: 0.0005719434083009824
Position 7634: 0.0005499197379926472
Position 6249: 0.00041318744249910086
Position 9486: 0.0003068425218323398
Position 770: 0.0002562833471303899
Position 9245: 0.00025408290990443976
Position 2914: 0.00023702640814843241
Position 661: 0.00021627488210549016
Position 8041: 0.00018138635407932154
Position 637: 0.00016596564002207368
Position 1119: 0.00014671231826957783
Position 157: 0.00012432735652320576
Position 941: 0.0001234075279189833
Position 7422: 0.00011731014875814578
Position 1844: 0.00010784344456699286
Position 1541: 9.637602892406364e-05
Position 687: 9.46413194856434e-05
Position 3275: 8.935297145944477e-05
Position 237: 8.851574129906768e-05
Position 862: 7.84848528591062e-05
Position 3117: 7.43588790701712e-05
Position 6229: 7.156832025921622e-05
Position 302: 6.900158258466086e-05
Position 2002: 6.85113668128207e-05
Position 3717: 5.728656918725989e-05
Position 5887: 5.463946400349694e-05
Position 4376: 5.219042088006694e-05
Position 609: 4.998597232329215e-05
Position 5141: 4.979976632514834e-05
Position 6490: 4.269442529461379e-05
Position 3853: 4.066695905779674e-05
Position 2056: 3.979915297362935e-05
Position 432: 3.8970890167957413e-05
Position 323: 3.418039057217055e-05
Position 179: 2.991124919843403e-05
Position 898: 2.9139332935123366e-05
Position 5414: 2.7429102391165524e-05
Position 312: 2.6358202191951235e-05
Position 2025: 2.558344345275372e-05
