Gene = SVBP
index = 1361
Annotated 5SS: [ 51 374]
Annotated 3SS: [ 223 9303]
SMsplice 5SS: [374]
SMsplice 3SS: [9303]
top_k =  500
Partition function (log Z): -10.467012580611351

Sorted 5' Splice Sites (High to Low Probability):
Position 374: 0.5415029537721358
Position 747: 0.22810016102455238
Position 6188: 0.21022242813755695
Position 6133: 0.16138813066357566
Position 602: 0.16083124469626284
Position 4615: 0.06795028261062763
Position 4568: 0.06346445883723886
Position 171: 0.06007506258373897
Position 6078: 0.05433462926908908
Position 159: 0.031012397882542328
Position 3403: 0.027184078567747176
Position 9214: 0.025275748729486125
Position 5491: 0.024781153727757774
Position 3867: 0.02368295828662979
Position 8998: 0.015882410064000204
Position 5522: 0.009171798551412463
Position 2170: 0.0073638901662927345
Position 3073: 0.0073626068917559745
Position 533: 0.007159859454594979
Position 4300: 0.0067848070498067545
Position 51: 0.006701207087083576
Position 586: 0.006501812984530607
Position 5096: 0.006415356205038913
Position 1838: 0.005023839369938604
Position 1545: 0.004838637053694659
Position 5154: 0.003513015049065479
Position 1478: 0.0033892727291984412
Position 6233: 0.0023292718347300246
Position 16: 0.0018141862260856129
Position 5927: 0.0016677455533645423
Position 70: 0.0005473474171650238
Position 276: 0.0005141426407588701
Position 396: 0.000409082614709138
Position 501: 0.0004003804689473197
Position 3329: 0.0003517748787066948
Position 644: 0.00028417419328993
Position 1326: 0.0002285380168400752
Position 721: 0.00021472957644563673
Position 293: 0.00015937625628980592
Position 563: 0.00015723032434578662
Position 1658: 0.0001519234770377639
Position 4070: 0.0001291846969511989
Position 1599: 8.532701731928636e-05
Position 314: 1.6396232867264063e-05
Position 54: 5.08041892369604e-06
Position 774: 2.144729685315425e-06
Position 523: 1.0589163702960137e-06
Position 305: 5.879389530455169e-07
Position 868: 4.2728745646890113e-07
Position 661: 1.93445653621082e-07
Position 213: 8.08867835376676e-08
Position 404: 5.8032160500203996e-08
Position 1051: 2.259066078909316e-08
Position 538: 1.9278144194989534e-08
Position 252: 4.511103306112275e-09
Position 180: 2.8111512316530593e-09
Position 185: 1.304849560734558e-09
Position 190: 5.768690093588748e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 9303: 0.7681831215635577
Position 6033: 0.44964349563075545
Position 4445: 0.13140887371929785
Position 9075: 0.06108001940198569
Position 8789: 0.03861154503525217
Position 4402: 0.032348513016921834
Position 223: 0.029179024534023996
Position 9175: 0.02694352416013929
Position 5241: 0.020669838060488457
Position 9143: 0.01891788470568354
Position 3311: 0.018240962920549574
Position 3661: 0.016954595578182623
Position 9280: 0.015282158899280834
Position 5668: 0.011084648762268667
Position 5077: 0.010225587933156978
Position 2961: 0.009782156262585825
