Gene = SLAMF8
index = 1262
Annotated 5SS: [ 189 3443 6432 6620]
Annotated 3SS: [3115 6125 6511 8433]
SMsplice 5SS: [ 189 3443]
SMsplice 3SS: [3133 9919]
top_k =  500
Partition function (log Z): -3.797279688554999

Sorted 5' Splice Sites (High to Low Probability):
Position 189: 0.8915212740438955
Position 3443: 0.8334030630176874
Position 6620: 0.4709399888381911
Position 6432: 0.3520309505885
Position 7494: 0.3382102637455173
Position 6644: 0.28381209488354936
Position 1535: 0.2823007291357454
Position 2810: 0.2187493239121223
Position 10046: 0.21028366921974279
Position 6311: 0.1911368044439211
Position 510: 0.07750052282000462
Position 6276: 0.07116007517964053
Position 7498: 0.06823453333152701
Position 7447: 0.054800619993942035
Position 284: 0.0463250400161246
Position 6947: 0.04595778696012742
Position 10035: 0.04268957659836102
Position 7646: 0.042241624400151466
Position 9813: 0.037659422796248856
Position 1779: 0.030221162243825258
Position 305: 0.028802694223440777
Position 2920: 0.024065425009797782
Position 309: 0.01911912563106057
Position 9830: 0.01720107297002651
Position 7153: 0.01451653028985813
Position 1795: 0.012228982856276046
Position 6635: 0.01090704625852637
Position 9463: 0.010305640991662136
Position 8542: 0.00619837993175342
Position 2570: 0.006133740347908402
Position 5903: 0.005567775119187067
Position 2869: 0.0038103764407926475
Position 10042: 0.003357123693244401
Position 2973: 0.002400774109910078
Position 8406: 0.0021066825870396963
Position 100: 0.0017816969718983829
Position 3013: 0.00045741704732915644
Position 1066: 0.00036071553374634953
Position 10397: 0.00030533423296133386
Position 501: 0.00027746558247476494
Position 3212: 0.00022814802168746794
Position 2606: 0.00015409963452265042
Position 1656: 0.00014094442915463392
Position 1227: 0.00013056800713628035
Position 1636: 9.014707387488829e-05
Position 1439: 8.221553284660112e-05
Position 2359: 7.453063728642743e-05
Position 465: 4.223618905203782e-05
Position 873: 3.4795337049024176e-05
Position 605: 3.473839623680123e-05
Position 526: 3.154012402487694e-05
Position 671: 2.0624273686448383e-05
Position 1161: 2.0336652414565338e-05
Position 637: 1.826279996753077e-05
Position 882: 1.5162256539841013e-05
