Gene = EFCAB10
index = 482
Annotated 5SS: [  129 12080 12284]
Annotated 3SS: [11914 12195 13995]
SMsplice 5SS: [  129  1930 12080 12284 12427]
SMsplice 3SS: [ 1779 11914 12195 12359 13995]
top_k =  500
Partition function (log Z): -2.295119128518364

Sorted 5' Splice Sites (High to Low Probability):
Position 12284: 0.9948101145874786
Position 129: 0.9888095854895547
Position 12427: 0.677762920688268
Position 12080: 0.38891861596227767
Position 12103: 0.32263451057161807
Position 12439: 0.17961729911159174
Position 3243: 0.17954999631343424
Position 806: 0.032611633105489375
Position 1934: 0.02286631239638219
Position 2382: 0.016149520136207518
Position 2349: 0.016140758505065307
Position 3329: 0.01361439182036224
Position 14058: 0.012234130476296113
Position 8259: 0.009309713304095158
Position 149: 0.007590281337065427
Position 1952: 0.006973917944839165
Position 14522: 0.006343041234182755
Position 3298: 0.005979608849057594
Position 14020: 0.004978313612786889
Position 1452: 0.004763972701574873
Position 5843: 0.0042925678580255705
Position 1925: 0.003785914576867723
Position 13780: 0.0036053183304447403
Position 14570: 0.0034078959228402788
Position 12417: 0.0033545821873625487
Position 2961: 0.0031195290902163975
Position 2098: 0.0029930180571886623
Position 6651: 0.002644348594901464
Position 3382: 0.0022116708097033983
Position 584: 0.001283981439066391
Position 232: 0.0010897182382071323
Position 86: 0.0009643028700546192
Position 1904: 0.0006102376226791941
Position 12481: 0.0005860906059399123
Position 866: 0.0003887016278292128
Position 89: 0.0003407168858223409
Position 12866: 0.00028664909308128984
Position 14536: 0.0002756395525768845
Position 13757: 0.0001764722105796005
Position 12320: 0.00017376667328282224
Position 13001: 0.00016290119532716573
Position 1987: 0.00015812845673824003
Position 172: 0.00010378596097669551
Position 529: 2.4536092764586564e-05
Position 2142: 1.8492145180622825e-05
Position 682: 1.1997025005738435e-05
Position 901: 9.458292938674193e-06
Position 1157: 6.150288582136961e-06
Position 58: 5.729951142327465e-06
Position 1116: 5.438007192882281e-06
Position 1780: 5.130085117173878e-06
Position 1460: 5.108573048962274e-06
Position 485: 4.7001060901656135e-06
Position 1350: 4.230425817769507e-06
Position 1162: 3.919350604115067e-06
Position 167: 2.9595504093249566e-06
Position 523: 2.6088319264905273e-06
Position 890: 1.2925402607858757e-06
Position 334: 1.1813766794614272e-06
Position 1210: 1.1241527005848232e-06
Position 708: 9.400728271505921e-07
Position 13602: 8.422666390552097e-07
Position 13196: 7.670855138955389e-07
Position 668: 7.551545112127461e-07
Position 1250: 6.574533161799622e-07
Position 772: 5.511570565112412e-07
Position 814: 4.903849070540533e-07
Position 1503: 4.2468344760726643e-07
Position 512: 3.446716888128849e-07
Position 880: 3.2973384882207545e-07
Position 1604: 2.786441110688003e-07
Position 746: 2.5095206286411995e-07
Position 736: 2.0820095124781133e-07
Position 1175: 1.510833553403231e-07
Position 790: 1.2484008904244819e-07
Position 1083: 1.2476555056397998e-07
Position 552: 9.983216544373976e-08
Position 1039: 8.807197710239814e-08
Position 1048: 8.537001271042283e-08
Position 1128: 8.2624400563233e-08
Position 301: 4.3346723779964136e-08
Position 455: 3.8123457720668145e-08
Position 451: 2.7426245718845984e-08
Position 598: 2.697408938591873e-08
Position 291: 2.3546981438123404e-08
Position 276: 2.1041372959735527e-08
Position 464: 1.996349592049562e-08
Position 441: 1.8580063358682145e-08
Position 430: 1.674218119469149e-08
Position 247: 1.3968781521385898e-08
Position 421: 1.7034013455617187e-09
Position 376: 8.119887808263115e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 12195: 0.9992292361771461
Position 13995: 0.8298760413780795
Position 12359: 0.8221281031235804
Position 11914: 0.5626170134137707
Position 11888: 0.1491014518423069
Position 3128: 0.06474863051887526
Position 3153: 0.05384429336805182
Position 12405: 0.048249026765209015
Position 3003: 0.03998436539635272
Position 1779: 0.03740616944117244
Position 734: 0.032515017552917524
Position 14139: 0.03190664609685754
Position 14873: 0.030685412581706706
Position 13493: 0.02125538511940161
Position 14278: 0.02123985910664596
Position 3229: 0.018470929933020765
Position 14849: 0.014607429775673156
Position 2960: 0.014230049841468115
Position 13923: 0.013577604123165119
Position 12377: 0.012884219267030992
Position 2237: 0.011810505924185517
Position 14375: 0.00988041304878086
Position 3131: 0.008933583639034298
Position 8156: 0.008275422997214716
Position 2062: 0.007180084363792027
Position 2160: 0.006282878477869352
