Gene = ISPD
index = 720
Annotated 5SS: [   257  15262  45231 112800 119902 143194 162403 162933 205257]
Annotated 3SS: [ 14984  45080 112694 119855 143095 162309 162839 205124 329522]
SMsplice 5SS: [   257   8599  15262  38372  44983  45231  63501  71836  73647  85763
  95644  96322 112800 143018 143194 162403 162933 188880 203907 205257
 210970 238521 283096 302302 308302 320805 325785]
SMsplice 3SS: [  8474  14984  38275  44775  45080  63408  71614  73520  85645  95538
  96282 112694 142857 143095 162309 162839 188753 203826 205124 210822
 238411 282982 301946 308184 320731 325641 331166]
top_k =  500
Partition function (log Z): -164.850756482187

Sorted 5' Splice Sites (High to Low Probability):
Position 8599: 0.6866926143621361
Position 257: 0.6029730604126046
Position 936: 0.3997726741665694
Position 164: 0.15682408312543075
Position 15262: 0.12139301007532367
Position 8017: 0.09768590219837603
Position 13144: 0.06191062688428385
Position 2781: 0.05499998743539293
Position 7424: 0.0419974264758471
Position 8032: 0.03793961501456349
Position 2817: 0.03751867734525437
Position 645: 0.026195567313756316
Position 8652: 0.012032663644743199
Position 3238: 0.004289623421963146
Position 2363: 0.003913276870311629
Position 493: 0.0025643783259431618
Position 2615: 0.002182318461172862
Position 2137: 0.0021714252923394155
Position 8097: 0.0013370891798800148
Position 3610: 0.0011483383200373957
Position 4750: 0.0011311710607970534
Position 711: 0.0010611018791884083
Position 737: 0.000999992915664855
Position 7092: 0.0008710652441510423
Position 1939: 0.00047713431354192847
Position 672: 0.00021514264139170804
Position 661: 0.00016796989189657625
Position 58: 0.0001229063188198856
Position 676: 0.00010403973100397478
Position 539: 6.3027910789804e-05
Position 284: 4.494029509786952e-05
Position 1276: 4.131774795699574e-05
Position 649: 3.1519849934741234e-05
Position 589: 2.6229772848504742e-05
Position 43: 2.0172577870060786e-05
Position 183: 1.8976117853781644e-05
Position 633: 1.6249177488809433e-05
Position 419: 1.1745446699799189e-05
Position 642: 9.280967707522075e-06
Position 147: 8.640081344127821e-06
Position 1523: 7.862540020576937e-06
Position 1974: 5.114825105666264e-06
Position 531: 3.316186385164598e-06
Position 560: 1.8963889965364955e-06
Position 598: 1.739771518122775e-06
Position 514: 1.300566813830948e-06
Position 606: 1.0981874646030773e-06
Position 149: 4.428609046856609e-07
Position 371: 7.26199560058863e-08
Position 1053: 2.3985803371543416e-08
Position 55: 2.3429638866467492e-08
Position 983: 1.965478708580306e-08
Position 811: 1.322083767525479e-08
Position 102: 7.575499004066648e-09
Position 975: 7.399945200028916e-09
Position 907: 5.496062677820895e-09
Position 496: 4.637232079794454e-09
Position 1089: 4.25248915676034e-09
Position 138: 3.0175303155563005e-10
Position 391: 1.38570270823925e-12
Position 476: 2.011887020272901e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 8474: 0.6142048750892917
Position 14984: 0.4305898840656809
Position 16511: 0.16083992507074826
Position 831: 0.15714667655482972
Position 8372: 0.10455907494463243
Position 9673: 0.09775428182908923
Position 12955: 0.09594789155690311
Position 7648: 0.09453476938867726
Position 7951: 0.09161786500293295
Position 11749: 0.08227647107197317
Position 12788: 0.07565090188400342
Position 2703: 0.04918911538396094
Position 2661: 0.030098249824721028
Position 409: 0.027225716258807264
Position 7369: 0.024588595199329474
Position 7271: 0.020363748455923193
Position 8195: 0.01821596405254461
Position 4164: 0.016786837731313977
Position 11541: 0.015317987081726945
Position 11908: 0.01362240042653811
Position 11311: 0.011441354119156654
Position 835: 0.010022305875434522
