Gene = TCEANC2
index = 1384
Annotated 5SS: [  158   924 15297 35190]
Annotated 3SS: [  779 15154 34995 42683]
SMsplice 5SS: [  158   924 15297 25683 35190 42768 44702 48927]
SMsplice 3SS: [  779 15154 25572 34995 42683 44542 48822 50555]
top_k =  500
Partition function (log Z): -26.323892793348726

Sorted 5' Splice Sites (High to Low Probability):
Position 924: 0.9932163182419659
Position 158: 0.744866577009713
Position 15297: 0.7381898377690221
Position 13392: 0.40990089761655635
Position 14921: 0.338127666847328
Position 14830: 0.20157565261679952
Position 395: 0.13145389437457267
Position 269: 0.09473577958621748
Position 11535: 0.08505196507481128
Position 13730: 0.07627618081318258
Position 18338: 0.07557215829891259
Position 18061: 0.0683212676986664
Position 10584: 0.05156908676644959
Position 2032: 0.045993930737968244
Position 13892: 0.03974713339918677
Position 18354: 0.03453357374642953
Position 8142: 0.03441812404733106
Position 19116: 0.02022378427164008
Position 15415: 0.019179428477922797
Position 18342: 0.019035034559677054
Position 8193: 0.01877020626360034
Position 8978: 0.015663093173640365
Position 2074: 0.012049630140844722
Position 2199: 0.010205005809357771
Position 400: 0.008504749824120694
Position 15092: 0.00747545512019323
Position 7365: 0.007399107102920826
Position 6172: 0.007307124710267328
Position 265: 0.005560224617835601
Position 319: 0.004732462048107612
Position 169: 0.002534188755521235
Position 345: 0.001697193845946234
Position 891: 0.001606333587868366
Position 109: 0.0012813711414948958
Position 162: 0.0011495951521296862
Position 185: 0.0008650161124071037
Position 2638: 0.0007024275752721664
Position 2868: 0.0006366737227334817
Position 432: 0.0005852113586922942
Position 6168: 0.0005773978138123752
Position 351: 0.000523852175261726
Position 974: 0.00048339932435255764
Position 274: 0.0003352613798700054
Position 2224: 0.000327406702793527
Position 1159: 0.00032122751343571847
Position 293: 0.000318874026091827
Position 480: 0.0003014279538626744
Position 1703: 0.0003003480209265552
Position 6493: 0.00025637284972767
Position 63: 0.00023123533306542056
Position 355: 0.0001892634419020152
Position 7786: 0.00014821456794135467
Position 207: 0.00014778042901901695
Position 802: 0.00011797851182118324
Position 230: 0.00010740875764054369
Position 986: 0.00010154283687152587
Position 1782: 9.872167500048847e-05
Position 240: 8.200991877091752e-05
Position 406: 6.702402763745163e-05
