Gene = TBL2
index = 1381
Annotated 5SS: [ 372 4409 4854 5472 5948 7603]
Annotated 3SS: [4277 4668 5319 5820 7449 7818]
SMsplice 5SS: [ 372 4409 4854 5472 5948 7603]
SMsplice 3SS: [4277 4735 5319 5820 7478 7818]
top_k =  500
Partition function (log Z): 7.5437236472274005

Sorted 5' Splice Sites (High to Low Probability):
Position 4409: 0.9965157835965494
Position 5472: 0.9819977916724528
Position 7603: 0.8766428165069927
Position 5948: 0.817480794578345
Position 372: 0.48100327297715945
Position 4831: 0.39337972293956885
Position 4854: 0.36315369714570805
Position 2251: 0.31764707285626564
Position 4876: 0.2245360585985263
Position 320: 0.2043143907178394
Position 502: 0.1375419009614352
Position 4608: 0.07698765409584185
Position 507: 0.07538338314804113
Position 7973: 0.05625115560708153
Position 2002: 0.05579002183563903
Position 5750: 0.04130961332553825
Position 6991: 0.037103360371597255
Position 1152: 0.026981612566354864
Position 7932: 0.026414454163606244
Position 6899: 0.02552808235944867
Position 3858: 0.017906746920523586
Position 819: 0.016381274998908776
Position 546: 0.015632669129077063
Position 168: 0.014731682829254553
Position 8126: 0.013552037384996512
Position 2526: 0.012803213026530568
Position 3129: 0.011287278392367785
Position 767: 0.01094487023511674
Position 1072: 0.010878222949646223
Position 49: 0.010173690443082703
Position 5931: 0.010128612375733266
Position 5962: 0.007202511668609135
Position 9356: 0.00643582484046541
Position 8064: 0.005477935526531214
Position 3929: 0.0053935426151388
Position 4178: 0.004738637027310056
Position 6949: 0.003754512964069812
Position 5658: 0.0036328320043897532
Position 1434: 0.003495415970064513
Position 222: 0.003436458314452243
Position 1047: 0.003277698457618618
Position 4418: 0.0029115686261642912
Position 1295: 0.0027322303233313573
Position 2015: 0.0020464654100093792
Position 4930: 0.0016186233087920894
Position 277: 0.0015357364345093777
Position 462: 0.0015356849083602814
Position 2267: 0.0014532312444247202
Position 3895: 0.0010898877606830937
Position 3899: 0.0010130110093429575
Position 7842: 0.0009621039140281541
Position 2679: 0.0009276395266042218
Position 386: 0.0008037316905820224
Position 2518: 0.0006748521688301511
Position 2470: 0.000492383582840151
Position 3832: 0.00048034083490306254
Position 259: 0.0004723552611966112
Position 391: 0.0004589579569142485
Position 331: 0.000458954486066329
Position 3876: 0.000332635970153405
Position 4807: 0.0003162231425007076
Position 5055: 0.0003076166489683062
Position 5286: 0.0002572055198099527
Position 192: 0.00020000790500016393
Position 5645: 0.00019953599881537669
Position 7487: 0.00019923739055817521
Position 445: 0.0001672414993138505
Position 2169: 0.00013291179498608406
Position 281: 0.00013171946228609125
Position 835: 0.00012799096099095603
Position 8495: 0.00012590252792863343
Position 7607: 6.925491144730787e-05
Position 5782: 6.669165933970234e-05
Position 6056: 4.982278655632347e-05
Position 4413: 3.970608048158904e-05
Position 6051: 2.5936695303024514e-05
Position 4569: 1.7405580082103815e-05
Position 4523: 8.876373872715501e-06
Position 6605: 8.762341466740234e-06
Position 779: 5.147756526628221e-06
Position 790: 4.372874342505595e-06
Position 4241: 2.8826149018762046e-06
Position 651: 2.6330012595095035e-06
Position 172: 2.5804850630322904e-06
Position 6806: 1.6897496909093658e-06
Position 1111: 1.6397546684147218e-06
Position 987: 1.4884507356441581e-06
Position 6840: 1.3224329815755298e-06
Position 709: 1.0865945129933764e-06
Position 376: 1.014188461470811e-06
Position 742: 1.0140818774568501e-06
Position 7781: 1.0030556592654827e-06
Position 84: 9.502261747941807e-07
Position 4220: 9.323469799353624e-07
Position 8051: 2.4760251022451515e-07
Position 1182: 2.4569006283500226e-07
Position 757: 2.1271929211301753e-07
Position 1097: 2.0699904284223494e-07
Position 704: 1.8158792569508515e-07
