Gene = AXDND1
index = 122
Annotated 5SS: [   281    887   3253   4359  13038  13763  17037  17825  19640  28324
  29483  45547  63900  64887  66623  79485 102922 117502 126018 127232
 143684 159728 162712 168158 169243]
Annotated 3SS: [   683   3079   4254  12916  13676  16979  17721  19517  28182  29377
  45425  63797  64731  66546  79249 102722 117407 125817 127134 143575
 159613 162606 168074 169009 188791]
SMsplice 5SS: [   281    887   2876   3253   4359  13038  17825  19640  27674  28324
  29483  45547  58511  64887  79485 102922 117502 127232 144652 151962
 155385 159728 162505 162712 169243 184679]
SMsplice 3SS: [   683   2765   3147   4254  12916  17721  19517  27543  28182  29377
  45425  58444  64731  79249 102722 117407 127134 144580 151841 155262
 159613 162400 162606 169009 184527 188051]
top_k =  500
Partition function (log Z): -58.73420484487649

Sorted 5' Splice Sites (High to Low Probability):
Position 4359: 0.9996443683382917
Position 29483: 0.9993830707176691
Position 13038: 0.9851844290030265
Position 19640: 0.9478069004013513
Position 3253: 0.944082867249339
Position 28324: 0.9150320327675
Position 887: 0.7538750000503927
Position 17825: 0.7287003852816555
Position 45547: 0.6577364559478106
Position 27674: 0.6459397020016272
Position 281: 0.5584962051060117
Position 2876: 0.46981700384422065
Position 19981: 0.46632128568293824
Position 7686: 0.43183581470719357
Position 21583: 0.4313487137126565
Position 407: 0.3225612883191237
Position 41152: 0.24591339211701269
Position 2885: 0.22651901185849724
Position 17037: 0.20581841747013221
Position 25709: 0.16254649422143294
Position 31269: 0.14780510877845995
Position 2668: 0.13738121521837976
Position 22518: 0.12853219628578536
Position 927: 0.11734333114879412
Position 13763: 0.11677622370176187
Position 29271: 0.09743375009429035
Position 21267: 0.07667486368113355
Position 6316: 0.07595203922483143
Position 262: 0.06656845175759006
Position 7889: 0.05810844580167217
Position 296: 0.04936914971261933
Position 19751: 0.04764492565417782
Position 17889: 0.04474569172906116
Position 27640: 0.03384500154148399
Position 15008: 0.03236340259063835
Position 21629: 0.030253783399784327
Position 13744: 0.027566841778213634
Position 3501: 0.0255369724777335
Position 3257: 0.016588836154617027
Position 28189: 0.01438825226971533
Position 19593: 0.014327809767349374
Position 3459: 0.011141296790177403
Position 3048: 0.011025898613289932
Position 1432: 0.010055102157475779
Position 30057: 0.009405185614726303
Position 16907: 0.009362245328104623
Position 12058: 0.008203724987071738
Position 2302: 0.005695080394310518
Position 21148: 0.005336513224075657
Position 13861: 0.004879131568765549
Position 13504: 0.004843399378633386
Position 2871: 0.0047725327521347385
Position 28247: 0.004762570591965276
Position 19969: 0.004351188806002003
Position 21600: 0.0039944678472373036
Position 29755: 0.003299311575473386
Position 21570: 0.0032853094528613592
Position 292: 0.002503998298386583
Position 5892: 0.0024444090860824
Position 852: 0.0024343787379507986
Position 29037: 0.002353536497447181
Position 472: 0.002351341729542827
Position 28656: 0.002261947821228825
Position 18577: 0.0022494135004203788
Position 2842: 0.0022150958845019077
Position 18119: 0.00217051460552317
Position 4164: 0.0018772985961494188
Position 4747: 0.001786868304981081
Position 13462: 0.0017788091352831763
Position 2832: 0.001755252916829006
Position 13899: 0.0014858081504442139
Position 2880: 0.001316414189671869
Position 1804: 0.0013115904126574315
Position 2501: 0.0011629941600168495
Position 31: 0.001145674303961736
Position 568: 0.0011301738851926448
Position 23531: 0.0011180479824857274
Position 24057: 0.0010848393757223174
Position 3274: 0.0010121536162207704
Position 3261: 0.001001741170515697
Position 3638: 0.000980931870922468
Position 29766: 0.0009463544781500136
Position 30580: 0.0007502102008656891
Position 29648: 0.0007039335413336548
Position 4912: 0.0006993432054045725
Position 27555: 0.000638133924983938
Position 1287: 0.0006205759547940285
Position 19635: 0.0006055441060813581
Position 1269: 0.0005880440250741421
Position 463: 0.0005329547725544809
Position 30747: 0.0005286720314300636
Position 865: 0.0004594028787203938
Position 485: 0.0004280998397448867
Position 3721: 0.00040495864586514703
Position 24156: 0.0003565512449633528
Position 137: 0.00033774020864133343
Position 3874: 0.00025324334246196704
Position 861: 0.0002353392051206046
Position 21621: 0.00023140330267477823
Position 710: 0.00022929655079413066
Position 956: 0.0002127212089622845
Position 290: 0.0001904671877989115
Position 454: 0.00018250753828124856
Position 31462: 0.00013069949725585015
Position 2307: 0.00011876348007241409
Position 3203: 9.134761815156016e-05
Position 6358: 7.50345258190929e-05
Position 308: 6.553399014252763e-05
Position 2003: 6.0878979992644274e-05
Position 105: 5.9252888547819863e-05
Position 1443: 5.921424615002192e-05
Position 438: 5.6478052571002466e-05
Position 412: 4.3091516443469733e-05
Position 135: 4.0178667730334865e-05
Position 521: 3.242725246789902e-05
Position 29957: 2.6945630362067476e-05
Position 398: 1.840290983846994e-05
Position 23154: 1.348782041891376e-05
Position 29497: 1.2987800592934074e-05
Position 21503: 1.241501897414108e-05
Position 29711: 1.0794316024441701e-05
Position 4375: 7.766147988580739e-06
Position 222: 6.408579586455261e-06
Position 626: 6.333110478928005e-06
Position 539: 5.677729804020224e-06
Position 366: 5.604814090752122e-06
Position 342: 5.2792811618992485e-06
Position 4560: 5.239279955789537e-06
Position 29943: 3.5367755349934766e-06
Position 440: 1.2881940581663904e-06
Position 155: 1.2040805018032015e-06
Position 859: 9.229441837829314e-07
Position 51: 8.235722831767004e-07
Position 20053: 7.542208052603462e-07
Position 4707: 4.2371063112037396e-07
Position 4545: 3.962075363932169e-07
Position 1046: 3.738144133415336e-07
Position 1061: 2.92320717501663e-07
Position 146: 5.981364661569485e-08
Position 310: 5.6196150829968453e-08
Position 72: 9.755660614774509e-09
Position 244: 1.2520612633743019e-09
Position 370: 2.2352245189013824e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 29377: 0.9973276566641823
Position 19517: 0.9945198148042055
Position 12916: 0.9851844290030245
Position 28182: 0.8977283714154387
Position 683: 0.8658697573530826
Position 3147: 0.8126961062441468
Position 17721: 0.7713443685750199
Position 4254: 0.7328570436417724
Position 45425: 0.7167224760379814
Position 27543: 0.6804228374680994
Position 2765: 0.6714993962214323
Position 47543: 0.6577364559478106
Position 21420: 0.43913146289284005
Position 19826: 0.40023869372132853
Position 41012: 0.2679238617294445
Position 4276: 0.21449387619823712
Position 7517: 0.19656655970734097
Position 25549: 0.16254649422143214
Position 31118: 0.1527666893713087
Position 13676: 0.15053955729702206
Position 3079: 0.13247780834858303
Position 16979: 0.12485083089514294
Position 7571: 0.11641303797417178
Position 7533: 0.08530476694929348
Position 6233: 0.06968308581935358
Position 37039: 0.06705558787849517
Position 29138: 0.06455726349051155
Position 17002: 0.06334680323659672
Position 7740: 0.05008269201538982
Position 2534: 0.0487470050629438
Position 22288: 0.04796384881604542
Position 19916: 0.0441737745259436
Position 4143: 0.044058084808072925
Position 22270: 0.04099170130847137
Position 28027: 0.03432192880091393
Position 21049: 0.034062365398619183
Position 2386: 0.033399403574432586
Position 21085: 0.029597056427972415
Position 16821: 0.026983028666496912
Position 29177: 0.025116054257709713
Position 2520: 0.023725811805386566
Position 2733: 0.023698682737535285
Position 40279: 0.022607654702117126
Position 21485: 0.02230307146787596
Position 14703: 0.021670696248828458
Position 22432: 0.020845485598679037
Position 36591: 0.01995210311877498
Position 22315: 0.018731160562589663
Position 19851: 0.018673943939856007
Position 2491: 0.018438239258208047
Position 21029: 0.01602628846603593
Position 40216: 0.014080894818852698
Position 41936: 0.013786902359147184
Position 3347: 0.013758362663130415
Position 7559: 0.013360531004067148
Position 42253: 0.01315321722124093
Position 2988: 0.012808362462671672
Position 39888: 0.012692362339189358
Position 31424: 0.011858874209589705
Position 2598: 0.0118013510904307
Position 19689: 0.009783136434027956
Position 40910: 0.009204325874750344
Position 4211: 0.009172303365653169
Position 32008: 0.009147306957063896
Position 14891: 0.008951718460477999
Position 29894: 0.00891389053436583
Position 3381: 0.008871504044230117
Position 11919: 0.008203724987071765
Position 29029: 0.007761201811616625
Position 21450: 0.0076915583734742075
Position 7792: 0.006848625157009287
Position 31684: 0.006775494127572584
Position 7549: 0.006405033621434782
Position 29619: 0.005811735150491371
Position 2994: 0.0057972564152370025
Position 36899: 0.005733781135068405
Position 3402: 0.0053938604136457464
Position 37691: 0.005338324911741202
Position 19800: 0.005256289375251956
Position 38522: 0.00523101733983024
Position 1193: 0.005216591304811048
Position 2200: 0.005078673371258403
Position 737: 0.0049822273537652485
Position 13322: 0.004897923885979283
Position 2698: 0.004724709307580565
Position 3367: 0.00459305844504417
Position 7351: 0.0044860488436388665
Position 7647: 0.004349945207180862
Position 336: 0.004301656939010621
Position 339: 0.0041370293455195
Position 2966: 0.004054800785059162
Position 31662: 0.00368234291005327
Position 1251: 0.003648493902369419
Position 7460: 0.003292436543947593
Position 39372: 0.0031486798555977313
Position 2579: 0.0030455897936071635
Position 41263: 0.0030171122367593914
Position 2775: 0.003014146696225608
Position 41372: 0.002763271362094625
Position 3438: 0.002469670037621652
Position 5831: 0.0023920692452478014
Position 29323: 0.0023905157330563775
Position 31894: 0.0023848232204849154
Position 28913: 0.0023535364974472104
Position 28450: 0.002261947821228825
Position 18437: 0.0022494135004203788
Position 32250: 0.002211436684005556
Position 32421: 0.0021919761909924814
Position 17959: 0.00217051460552317
Position 28066: 0.0021325554128284853
Position 2436: 0.0021268480373426778
Position 17574: 0.0021017084356961696
Position 21194: 0.0020561665264618206
Position 38473: 0.0020379420666526192
Position 30031: 0.0020214372468966785
Position 6277: 0.0019281591615295875
Position 19714: 0.0017839560903837957
Position 6181: 0.0017701531459749483
Position 14799: 0.001740987881332018
Position 13402: 0.0017242846279372855
Position 30556: 0.0017182147459243657
Position 19544: 0.001704457731919711
Position 7413: 0.0016574548561160904
Position 31391: 0.00165710423958578
Position 4651: 0.0016233693330265666
Position 19547: 0.0015582361091107276
Position 2917: 0.0014852583149547137
Position 23974: 0.0014413906206856655
Position 1157: 0.0014311812956873684
Position 37878: 0.0013283354009836902
Position 3169: 0.00129473259215897
Position 32808: 0.001247125942847646
Position 36656: 0.0012292404262628964
Position 7783: 0.0011771286292729594
Position 3351: 0.0011755714209253799
Position 23276: 0.0011180479824857235
Position 2742: 0.0011147485408528892
Position 19866: 0.0010927689563156617
Position 19477: 0.0010783481131901548
Position 6215: 0.0009995099544213844
Position 30132: 0.000933140373105962
Position 30681: 0.0008850369815328809
Position 3542: 0.0008163073518756358
Position 1730: 0.0007740678517159404
Position 29677: 0.0007666929609018814
Position 2543: 0.0007047620114919376
Position 2163: 0.0007019101520809409
Position 32526: 0.0006881090597432365
Position 2357: 0.0006592894204794673
Position 3166: 0.0006394699219840849
Position 35899: 0.000632012554273797
Position 1340: 0.0006297604000038306
Position 4840: 0.0005829515658937633
Position 32210: 0.0005752076463319337
Position 19809: 0.0005703254224861232
Position 35717: 0.0005566415426727679
Position 6129: 0.0005288036753894937
Position 32846: 0.00047184769048646424
Position 33466: 0.00046528433229592385
Position 451: 0.00046017616407972595
Position 4173: 0.00041892771582006385
Position 3674: 0.0004157599245419614
Position 32285: 0.0003727080700924732
Position 31394: 0.00035060426515327344
Position 19931: 0.0003439330331604126
Position 4348: 0.00034051508134314045
Position 31355: 0.00033890454828907376
Position 3317: 0.0003330088321797721
Position 768: 0.0003278460812746085
Position 31144: 0.00032561237374511507
Position 29749: 0.00027755208754429514
Position 2548: 0.0002737767920350289
Position 21263: 0.0002695000861199431
Position 29673: 0.00023890020431623383
Position 3458: 0.00022601368270195425
Position 31613: 0.0002252232738755726
Position 1766: 0.00022479334917178338
Position 19446: 0.0002166588655441488
Position 2286: 0.00021069646792454383
Position 31574: 0.00020819934478913453
Position 3048: 0.0001918667192934164
Position 1675: 0.00019128553043150582
Position 29957: 0.00018906068564024175
Position 2969: 0.000185735227677749
Position 342: 0.0001772634304792364
Position 1268: 0.0001761742898874855
Position 30659: 0.0001757372984031875
Position 31243: 0.00016134256766095652
Position 6062: 0.00016034210600855938
Position 6156: 0.00014607579882018035
Position 6235: 0.0001443408267679864
Position 1724: 0.00014001187137188377
Position 6065: 0.00013831084233982804
Position 13710: 0.00013723656619553913
Position 4304: 0.00013097839677074567
Position 31524: 0.00012392465039484787
Position 29595: 0.00012265364260210845
Position 6107: 0.00012076726187613008
Position 6068: 0.00012055413490156236
Position 32623: 0.00011647355155038232
Position 31497: 0.00011178143684571491
Position 366: 0.00010691921639398887
Position 4733: 0.0001057308900092528
Position 6210: 0.00010315442217665333
Position 183: 9.375849069158683e-05
Position 241: 9.091307126332311e-05
Position 530: 8.993800747378147e-05
Position 32189: 8.872591738473862e-05
Position 32160: 8.540990105728585e-05
Position 406: 7.742459696685131e-05
Position 5966: 7.667724504170661e-05
Position 31949: 7.159129096663967e-05
Position 2330: 6.757986893996166e-05
Position 558: 6.116736735422612e-05
Position 2496: 6.013012448232797e-05
Position 1046: 5.7556416715564103e-05
Position 6149: 5.311029261308014e-05
Position 4493: 5.2478849008593505e-05
Position 19727: 5.1573662579857695e-05
Position 4082: 5.136252624801372e-05
Position 5837: 4.954595723034985e-05
Position 2392: 4.941178066264182e-05
Position 29644: 4.705514293544756e-05
Position 29753: 4.156896728764675e-05
Position 29647: 3.828691698731153e-05
Position 31217: 3.654923764298737e-05
Position 747: 3.484631595878658e-05
Position 4812: 3.4397817599941135e-05
Position 868: 3.318181382132893e-05
Position 1090: 3.306754108177534e-05
Position 434: 3.297156992453639e-05
Position 113: 3.161842536214369e-05
Position 4479: 3.035709318922417e-05
Position 29249: 2.8390734201697985e-05
Position 4463: 2.7215750456985555e-05
Position 696: 2.6879352220257624e-05
Position 5679: 2.5761248237213882e-05
Position 31092: 2.5479884061653068e-05
Position 843: 2.398865295836592e-05
Position 4657: 2.329302055725752e-05
Position 2134: 2.2878758695952485e-05
Position 2096: 2.2228568617817878e-05
Position 1903: 2.1684448426995167e-05
Position 1381: 1.6271471545612518e-05
Position 29391: 1.480001755959672e-05
Position 31168: 1.446057793530398e-05
Position 6311: 1.4323915611905954e-05
Position 1286: 1.4085306169725401e-05
Position 22894: 1.3487820418913794e-05
Position 977: 1.2630346966929583e-05
Position 908: 1.2253133218931755e-05
Position 13825: 1.1916497622513771e-05
Position 1560: 1.1347673183569039e-05
Position 13682: 1.092146240981382e-05
Position 250: 9.639223725551587e-06
Position 152: 9.174089225952148e-06
Position 1681: 8.891802617255876e-06
Position 5431: 8.662083621637968e-06
Position 13489: 8.373375935038188e-06
Position 299: 8.315613552141716e-06
Position 187: 7.676945781269805e-06
Position 4119: 6.8978678587906355e-06
Position 19946: 6.8177087035121905e-06
Position 4545: 5.7994203641083225e-06
Position 19934: 5.680144687988334e-06
Position 4548: 5.459997374314179e-06
Position 419: 4.983856671354815e-06
Position 5782: 4.076007342879134e-06
Position 387: 3.843709209197591e-06
Position 5634: 2.0171600991203004e-06
Position 5459: 1.982532127850257e-06
Position 770: 1.493172460355682e-06
Position 481: 1.115931118086555e-06
Position 873: 1.0483639075939594e-06
Position 539: 9.325471220503842e-07
Position 2240: 8.812404924536675e-07
Position 255: 6.319501899256593e-07
Position 198: 6.027004750477956e-07
Position 2499: 5.771551265421152e-07
Position 4438: 5.07809768616133e-07
Position 29913: 3.959474996266316e-07
Position 140: 3.71064987613603e-07
Position 438: 3.268557690699182e-07
Position 774: 3.213413364514167e-07
Position 636: 3.0453805317503124e-07
Position 29848: 3.0422327382219966e-07
Position 389: 2.8516902338590774e-07
Position 1222: 2.760876674908944e-07
Position 1214: 2.3803343829396122e-07
Position 348: 2.2222127365730344e-07
Position 2122: 2.1633162662288273e-07
Position 1648: 2.1141951014765533e-07
Position 2672: 1.5423037799452332e-07
Position 424: 1.1770425471208926e-07
Position 1208: 1.1220574346023048e-07
Position 1566: 9.604177190802214e-08
Position 258: 8.634274048659691e-08
Position 3999: 8.050011331505873e-08
Position 1914: 7.9404449095752e-08
Position 579: 5.321875760325735e-08
Position 852: 5.055481328802698e-08
Position 565: 4.9857839941642094e-08
Position 30335: 4.8964900308106775e-08
Position 1059: 4.046773394169424e-08
Position 1291: 3.6444812736678655e-08
Position 1024: 3.418065317096448e-08
Position 121: 3.1446454701770054e-08
Position 131: 3.022512130700118e-08
Position 626: 2.739414317976132e-08
Position 4664: 2.3690975783512897e-08
Position 4736: 2.1773672252984397e-08
Position 859: 1.9237508878192565e-08
Position 4673: 1.5124989135649313e-08
Position 3961: 1.1552162704541715e-08
Position 845: 7.939669318303018e-09
Position 918: 7.45981059666478e-09
Position 567: 7.355443923840917e-09
Position 704: 6.044547808362986e-09
Position 710: 3.222576188822914e-09
Position 582: 2.9130062472299215e-09
Position 596: 2.480736161947823e-09
Position 777: 4.802509714626705e-10
Position 886: 1.4785729623357556e-11
