Gene = GS1-114I9.3
index = 623
Annotated 5SS: [   57  3896 49674]
Annotated 3SS: [ 3634 49497 49930]
SMsplice 5SS: [   57 17709 27948 49674]
SMsplice 3SS: [17604 27805 49497 49930]
top_k =  500
Partition function (log Z): -30.637113634163306

Sorted 5' Splice Sites (High to Low Probability):
Position 57: 0.9585856313960012
Position 17709: 0.249871770827193
Position 7256: 0.10642641640466229
Position 13687: 0.03579421995508921
Position 663: 0.029787127111451782
Position 3747: 0.019716096717637667
Position 3568: 0.017135518839459504
Position 3896: 0.01622939380694563
Position 7671: 0.01357471905298696
Position 5069: 0.013114632172271727
Position 3776: 0.008258241646621497
Position 8236: 0.007352146694229837
Position 9265: 0.005828683025319114
Position 7415: 0.003857156864930559
Position 157: 0.0037285805367655036
Position 163: 0.002978700698281903
Position 3071: 0.002480954106542427
Position 419: 0.002308934517311195
Position 3578: 0.0021940137871522417
Position 9422: 0.0020108154474184027
Position 5409: 0.0018889395780290095
Position 6640: 0.001481124135256456
Position 7685: 0.0012777249464945893
Position 3207: 0.0012248899025820116
Position 6680: 0.0010874677566936107
Position 6697: 0.0010822197216578638
Position 8137: 0.0010653000723879456
Position 8240: 0.00104876215631947
Position 145: 0.0006796647639632156
Position 503: 0.000608027188901149
Position 1117: 0.0005673025097499873
Position 7632: 0.0005080735237789007
Position 1717: 0.00037855800446846274
Position 536: 0.0003612077916601247
Position 896: 0.0001645342948100379
Position 1071: 0.00014328273760261722
Position 238: 0.00012446027564933434
Position 3034: 9.04969662405836e-05
Position 3572: 7.166627731172773e-05
Position 7340: 6.312849559874365e-05
Position 334: 5.746857633603875e-05
Position 2126: 4.2163624400883465e-05
Position 1005: 3.973222375194139e-05
Position 775: 3.7719944416382645e-05
Position 153: 3.176573623557196e-05
Position 888: 2.7345724367487884e-05
Position 288: 2.7147124613535246e-05
Position 37: 2.5744771826267025e-05
Position 1645: 1.9385532454434257e-05
Position 69: 1.551550879148231e-05
Position 1660: 2.663774206944516e-06
Position 2113: 2.0538805842863266e-06
Position 87: 1.145524185493264e-06
