Gene = TIPRL
index = 1403
Annotated 5SS: [  249  5149  5946 12568 17710 20049]
Annotated 3SS: [ 4968  5845 12435 17613 19985 20969]
SMsplice 5SS: [  249 12568 17710]
SMsplice 3SS: [12435 17613 19985]
top_k =  500
Partition function (log Z): -9.675367720367245

Sorted 5' Splice Sites (High to Low Probability):
Position 12568: 0.998155569455393
Position 249: 0.9352771202231416
Position 17710: 0.8859578141666187
Position 870: 0.16243469217089668
Position 5697: 0.13763046762357467
Position 5149: 0.12948195261604203
Position 860: 0.12124383044664949
Position 5946: 0.11760321131396188
Position 8230: 0.11186330647922178
Position 5183: 0.08080821988243375
Position 19521: 0.07790866230688179
Position 16130: 0.07186290992336324
Position 14769: 0.05455197664035111
Position 20053: 0.04182804454611663
Position 758: 0.02944038737747854
Position 19499: 0.029396505171676347
Position 8446: 0.02309233946207224
Position 16435: 0.02229375495690204
Position 1045: 0.01952690567992436
Position 32: 0.019358829036782942
Position 4882: 0.016130066649174494
Position 846: 0.015574146866308161
Position 269: 0.014747453429988169
Position 22018: 0.014425438780607742
Position 5717: 0.012636132721166798
Position 10930: 0.01025320014377786
Position 1210: 0.009928518843440743
Position 1014: 0.009523471785753993
Position 16049: 0.008269912776532294
Position 19509: 0.00822355388175438
Position 13355: 0.00810990397079528
Position 763: 0.006783285250207462
Position 5384: 0.005948641588909112
Position 19598: 0.004655171780078877
Position 352: 0.0017518902672165127
Position 18150: 0.0012722828282816735
Position 285: 0.001246014698139187
Position 231: 0.000840312843624643
Position 472: 0.0004565896460108715
Position 731: 0.00038955191207131704
Position 3116: 0.0003602872804473313
Position 4551: 0.0003038554875019014
Position 519: 0.00030021028777992085
Position 692: 0.00026379511269321017
Position 1648: 0.00022061755184932507
Position 241: 0.00021220047307342384
Position 425: 0.00012450473648691526
Position 19426: 8.037030257578598e-05
Position 478: 5.497767169247499e-05
Position 131: 4.185908046309445e-05
Position 85: 2.861027112526715e-05
Position 583: 2.2887988468553946e-05
Position 83: 1.9195548693907792e-05
Position 483: 1.8232808914059743e-05
Position 357: 1.763831183370303e-05
Position 721: 1.6135450669477577e-05
Position 497: 1.3613912707985186e-05
Position 485: 1.2206357665227758e-05
Position 558: 9.219749679641862e-06
Position 491: 8.80160964726991e-06
Position 1009: 7.6249614481468405e-06
Position 118: 2.683877974594541e-06
Position 320: 2.5216328393772506e-06
Position 210: 1.1209704016327531e-06
Position 451: 6.966363880346482e-07
