Gene = BTLA
index = 148
Annotated 5SS: [  291 20107 28350 29804]
Annotated 3SS: [19791 28205 29756 33177]
SMsplice 5SS: [  291 20107 29804]
SMsplice 3SS: [19791 29756 33177]
top_k =  500
Partition function (log Z): -22.61831100329664

Sorted 5' Splice Sites (High to Low Probability):
Position 291: 0.9669419224866362
Position 2314: 0.10629458773744334
Position 2086: 0.09973127435062701
Position 1638: 0.04149985013209028
Position 113: 0.031903671913088676
Position 10099: 0.024610175566895518
Position 2344: 0.007254910697082664
Position 117: 0.007229509998999129
Position 9522: 0.006056708187435263
Position 4179: 0.003435337152565777
Position 539: 0.003095664528737172
Position 3186: 0.0027714602157029003
Position 2239: 0.0027293178588885495
Position 4721: 0.002498554729426593
Position 1885: 0.002389155157520186
Position 2603: 0.002357560196465286
Position 2297: 0.0019180165905799116
Position 2351: 0.0014535330800631095
Position 2081: 0.0011874335176168612
Position 2338: 0.0011496402763110538
Position 308: 0.001101772033565343
Position 691: 0.0005898766747606544
Position 396: 0.0003251406163967752
Position 3167: 0.00014732137146868031
Position 392: 0.0001430156248354745
Position 1106: 0.00013200922382596586
Position 1669: 0.00010974084012717952
Position 1456: 7.125522013999553e-05
Position 2131: 5.326191449215369e-05
Position 1847: 4.188448252225286e-05
Position 791: 4.1017815457062224e-05
Position 1206: 2.6416882767280535e-05
Position 1232: 1.701353500251647e-05
Position 1759: 1.6969197561219174e-05
Position 194: 7.925600697211685e-06
Position 573: 7.221099155131973e-06
Position 369: 6.283478823055855e-06
Position 3472: 3.436628416656937e-06
Position 3575: 3.1218702141210913e-06
Position 471: 1.5001661172659796e-06
Position 248: 6.180448626163964e-07
Position 90: 3.8538137029512165e-07
Position 8: 1.0187009469651708e-07
Position 175: 2.8817487335081664e-08
Position 376: 5.334228834163072e-09
Position 335: 3.67996477531975e-09
Position 318: 2.7417126640278632e-09
Position 880: 1.6170638419660033e-09
Position 374: 6.951781114030949e-10
Position 381: 4.046297608084763e-10
Position 578: 9.922291507870144e-11
Position 557: 6.238532911317889e-11
Position 402: 1.1458854462015619e-11
Position 419: 3.6490220334463347e-13
Position 444: 7.173771645717579e-14

