Gene = SLF1
index = 1272
Annotated 5SS: [  419 10578 10821 12397 25089 31251 33499 35075 36406 44005 45562 47678
 51933 52662 60609 68372 70323 71260 73310 73910]
Annotated 3SS: [10463 10744 12155 24925 31106 33354 34924 36282 43950 45402 47513 51803
 52495 60460 68225 70158 71125 73216 73726 76483]
SMsplice 5SS: [  419 10578 10821 12397 25089 36406 44109 45562 47678 51933 52662 60609
 65103 70323 71260 73310 73910]
SMsplice 3SS: [10463 10744 12155 24925 36282 43950 45402 47513 51803 52495 60460 64971
 70158 71125 73216 73567 77552]
top_k =  500
Partition function (log Z): -33.666081409277005

Sorted 5' Splice Sites (High to Low Probability):
Position 10578: 0.9905260889613794
Position 419: 0.9678890637882825
Position 10821: 0.9155936485180654
Position 12397: 0.9018413190511785
Position 3347: 0.30020664802622943
Position 1675: 0.22123959612872635
Position 17710: 0.16396192184101088
Position 2107: 0.14916418983123045
Position 1825: 0.12349556618384089
Position 3567: 0.09076897762426832
Position 3479: 0.06739144603290659
Position 1477: 0.06275132973245015
Position 4986: 0.05110738018840107
Position 869: 0.033516147604285285
Position 9084: 0.02992075028286385
Position 13956: 0.029653695346745466
Position 222: 0.02168014053500413
Position 276: 0.020765084351375786
Position 14497: 0.014812417511895928
Position 11389: 0.014708001860279206
Position 1448: 0.010391413204769943
Position 3095: 0.007973980028198727
Position 2167: 0.007782551967073195
Position 1813: 0.006041219312625332
Position 626: 0.005988238598643023
Position 1172: 0.005649377081654463
Position 10573: 0.005540955815031599
Position 20335: 0.005358946828504669
Position 17095: 0.005242413729768542
Position 1437: 0.0049965910508284325
Position 10785: 0.004522621853772738
Position 1470: 0.003352435205673931
Position 12525: 0.0031084675181447716
Position 2228: 0.002423167641418953
Position 14531: 0.0020575961810136837
Position 1317: 0.0020426466724643385
Position 13973: 0.0018815850588938415
Position 11380: 0.001481487662623034
Position 11522: 0.0014287871059541417
Position 700: 0.0012928504907445992
Position 1161: 0.0010508083961169427
Position 1041: 0.0010059229688401457
Position 1627: 0.0004526390816115926
Position 539: 0.000416478778376724
Position 11513: 0.000387238784893112
Position 169: 0.00033456756572900425
Position 11982: 0.0003092034477680389
Position 485: 0.00030166012031191807
Position 11802: 0.00021843473241876996
Position 11787: 0.00021648938289017128
Position 10876: 0.00018507568405657526
Position 11685: 0.00017666898983363053
Position 2135: 0.00016566497578705022
Position 622: 0.00014194059678259834
Position 139: 0.00012849445122372616
Position 1427: 9.571032559060027e-05
Position 27: 6.571602409449848e-05
Position 1450: 6.108945188647416e-05
Position 1836: 3.993790205087825e-05
Position 513: 3.757847217117058e-05
Position 1917: 3.446742125169501e-05
Position 12381: 2.3097581850661794e-05
Position 934: 2.1522450128546783e-05
Position 12350: 1.9249133436708407e-05
Position 1659: 1.5742755853637583e-05
Position 346: 1.4344321787424367e-05
Position 1401: 1.4167264223705037e-05
Position 1200: 1.386024558324661e-05
Position 784: 1.3156171859326364e-05
Position 12719: 1.2220028076135929e-05
Position 1796: 1.1516907981582453e-05
Position 1495: 7.3388651479310764e-06
Position 899: 7.007897428646098e-06
Position 859: 5.899599748913108e-06
Position 10: 1.5873583502923906e-06
Position 448: 1.3983422991529045e-06
Position 48: 1.2740373482333745e-06
Position 318: 3.1107887190989416e-07
Position 461: 3.0817479360143464e-07
Position 351: 2.4718005034904453e-07
Position 583: 2.351301927790373e-07
Position 252: 1.9245333161785944e-07
Position 12: 8.073636178142123e-08
Position 552: 4.175115151212441e-08
Position 496: 1.846628504766933e-08
Position 791: 1.178948049646456e-08
Position 662: 1.1401925479317731e-08
Position 446: 9.755856745978004e-09
Position 155: 9.4015735591941e-09
Position 469: 8.191265075269441e-09
Position 914: 6.418749359287132e-09
Position 455: 5.9075055713861635e-09
Position 338: 3.905096612765942e-10
Position 365: 9.469680597961117e-11
Position 368: 7.408831605782085e-11
Position 554: 1.4935594571423587e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10463: 0.9988076805523988
Position 12155: 0.8876006448483414
Position 10744: 0.4812161214216474
Position 10673: 0.42214206033238605
Position 1560: 0.3048982659653353
Position 3274: 0.24408567447013121
Position 22623: 0.18240126129149237
Position 2020: 0.15651053681345872
Position 3419: 0.15056528683351544
Position 18391: 0.13563300224843533
Position 14378: 0.13135728273492148
Position 17624: 0.1099692833832841
Position 17443: 0.08386453309797065
Position 1329: 0.06999230397538542
Position 20714: 0.06454549996359889
Position 3137: 0.05677999666188606
Position 15198: 0.04065983138035116
Position 16867: 0.039680402615466064
Position 13898: 0.03709307018396576
Position 15568: 0.03567079286116325
Position 4795: 0.03511928322675754
Position 11316: 0.031005845457286966
Position 8998: 0.029920750282863638
Position 1580: 0.026336465046446805
Position 16638: 0.025798696495910406
Position 15529: 0.02479928247422211
Position 17890: 0.02194727168888854
Position 16545: 0.020190155541892397
Position 577: 0.019313253707029052
Position 17695: 0.0176340835082119
Position 12294: 0.01752812932101212
Position 800: 0.017083099611384604
Position 17984: 0.01549026542212182
Position 17860: 0.014800218242065174
Position 12524: 0.013124500281664165
Position 16243: 0.012745902654325016
Position 15795: 0.012621976032330003
Position 1717: 0.012405907665376565
Position 17939: 0.01194825906474194
Position 15615: 0.011573364459828026
Position 1068: 0.011300978227892245
Position 12139: 0.01125570173757233
Position 14235: 0.010187804262687785
Position 326: 0.009994840190418172
Position 20198: 0.009671321577722566
Position 12113: 0.009631649268425786
Position 18225: 0.009116966752368012
Position 4605: 0.008647256258248888
Position 12595: 0.008204485433000362
Position 10772: 0.00767589744173498
Position 10697: 0.007295473865456305
Position 15292: 0.006970587714389977
Position 2964: 0.005782698576546607
Position 4584: 0.005398399232246664
Position 15683: 0.005051565030842026
Position 3175: 0.004996613533156348
Position 12565: 0.004943878665566771
Position 16952: 0.004760319290311546
Position 17304: 0.004740026814732962
Position 1626: 0.0046784654223851595
Position 1447: 0.004659645422800347
Position 20390: 0.004548183617709275
Position 12192: 0.004352056825409088
Position 13065: 0.004303594307524269
Position 12487: 0.003931421549853824
Position 739: 0.003547052380477685
Position 13789: 0.0034439416376631426
Position 12254: 0.0032965149377335227
Position 14053: 0.0032017706376711434
Position 1955: 0.0030449614396175066
Position 16347: 0.0027744979479922545
Position 18739: 0.002751137727590334
Position 13116: 0.0025950511522550975
Position 14114: 0.002515487864124068
Position 4723: 0.0019424414711480002
Position 14398: 0.0017917633312261659
Position 12910: 0.0016707706811349273
Position 11701: 0.00163529729461148
Position 14374: 0.001598868043908021
Position 15594: 0.0015720880331052166
Position 1197: 0.0015173477899865487
Position 17798: 0.0014784560912758462
Position 343: 0.0014438680610771887
Position 3008: 0.001286117985951023
Position 1723: 0.0012416659082696636
Position 14875: 0.0012133778482246154
Position 17123: 0.0010963449126062533
Position 13822: 0.001052478592297641
Position 16679: 0.0010201799278437018
Position 13196: 0.0010081182621392523
Position 11179: 0.0009774495655920103
Position 3437: 0.000976871119720809
Position 1128: 0.0009701476242543893
Position 301: 0.0009595695109192702
Position 11020: 0.0009418320152207231
Position 14188: 0.0008967784939050913
Position 12951: 0.0008754261343609122
Position 16565: 0.0008462899668801612
Position 2818: 0.0008176142797390736
Position 13182: 0.0007912795605808439
Position 346: 0.0007120316723132303
Position 1743: 0.0006804299375666947
Position 395: 0.0006425644798726798
Position 13235: 0.0005888065252092398
Position 15981: 0.0005863709043239741
Position 12329: 0.00055323276079057
Position 12694: 0.0004986128475519071
Position 1035: 0.00043167111788092996
Position 934: 0.0004019814448536187
Position 583: 0.00037743059838880606
Position 2903: 0.00034017701305345116
Position 3158: 0.0003091820118397608
Position 14264: 0.000275239918389289
Position 12160: 0.00026758188500583156
Position 517: 0.00022373247206499764
Position 522: 0.00022225130059294666
Position 937: 0.00021798195384741754
Position 1427: 0.00019588171525010593
Position 11065: 0.0001956342424067057
