Gene = P3H2
index = 993
Annotated 5SS: [   678 125640 126836 132023 133403 134142 136380 137884 146372 147021
 148056 149040 150114 156972]
Annotated 3SS: [125486 126645 131890 133259 134051 136338 137788 146243 146924 147904
 148921 150037 156830 162924]
SMsplice 5SS: [   120    678  12249  14241  16616  24223  27387  61312  72966 125640
 126836 129365 132023 133403 134142 136380 137884 146372 149040 150114
 156972]
SMsplice 3SS: [   562  12203  14094  16526  24102  27254  61200  72855 125486 126645
 129284 131890 133259 134051 136338 137788 146243 148921 150037 156830
 162924]
top_k =  500
Partition function (log Z): -73.94797130134293

Sorted 5' Splice Sites (High to Low Probability):
Position 16616: 0.9915190217132982
Position 678: 0.9628503241040592
Position 12249: 0.9516320892674275
Position 120: 0.6353045536025734
Position 24223: 0.5668974620537474
Position 4350: 0.47287172014884554
Position 14241: 0.42286262628148874
Position 1239: 0.3757046709931751
Position 927: 0.2659496092377232
Position 2677: 0.16092630273256706
Position 387: 0.1572596120511639
Position 18669: 0.1079019577301506
Position 14356: 0.07888684688310899
Position 3973: 0.043224201418054664
Position 145: 0.03136847410308509
Position 18584: 0.02978697851797556
Position 2594: 0.0280674123088113
Position 2707: 0.02765883560185664
Position 13657: 0.019072809779322575
Position 1284: 0.0034816931774652566
Position 939: 0.002336942918464044
Position 167: 0.00165887961314017
Position 2589: 0.0010995805680093164
Position 40: 0.0008943295544526064
Position 1642: 0.0008462928632548685
Position 3323: 0.0008302274883978034
Position 1227: 0.0006908487406418686
Position 263: 0.0006888944085224685
Position 1214: 0.0006787061821401003
Position 448: 0.0006326844887928536
Position 2887: 0.0006185975688951732
Position 986: 0.0003968775303983325
Position 3739: 0.00029477644387794233
Position 2211: 0.00026048086987902065
Position 1342: 0.000168567738045935
Position 1431: 0.00010859590659795132
Position 1950: 0.00010822321368098927
Position 618: 0.00010136924365688887
Position 96: 6.316890039638086e-05
Position 839: 3.890213581818204e-05
Position 763: 3.071507899028287e-05
Position 7517: 1.6921417638372286e-05
Position 782: 1.3644772464473371e-05
Position 804: 1.2155778281685995e-05
Position 58: 1.1523069342171739e-05
Position 565: 9.788192962409308e-06
Position 808: 2.3550959765068577e-06
Position 825: 2.164068089596794e-06
Position 642: 1.2653255344659971e-06
Position 5038: 1.1139614502048007e-06
Position 796: 8.127964518749135e-07
Position 606: 7.982795660247e-07
Position 173: 7.242114052248239e-07
Position 536: 7.124993859418078e-07
Position 2819: 5.832997615130167e-07
Position 798: 4.3536814876045953e-07
Position 768: 6.775977845059217e-08
Position 2512: 4.0196113805813734e-08
Position 2407: 3.1321987997453194e-08
Position 553: 1.5230063334532252e-21

Sorted 3' Splice Sites (High to Low Probability):
Position 16526: 0.9743187995652673
Position 12203: 0.9516882263760468
Position 26119: 0.8498587121932342
Position 562: 0.6556981720163032
Position 24102: 0.6009766099180993
Position 14094: 0.5018953243807961
Position 4222: 0.43801492264509584
Position 887: 0.3852706389257018
Position 1129: 0.20617439845984611
Position 2466: 0.19846301148217785
Position 18417: 0.06839672099435097
Position 610: 0.05995998146591051
Position 3876: 0.05003731126677318
