Gene = SBDS
index = 1227
Annotated 5SS: [ 312 1390 2385 4465]
Annotated 3SS: [1259 2183 4299 7101]
SMsplice 5SS: [ 312 2385 4465]
SMsplice 3SS: [2183 4299 4587]
top_k =  500
Partition function (log Z): -2.8423427648894073

Sorted 5' Splice Sites (High to Low Probability):
Position 312: 0.9667506452351864
Position 2385: 0.9092955862208711
Position 4465: 0.8880511129949822
Position 1390: 0.493690809308516
Position 141: 0.19723559491120343
Position 814: 0.16113310550182997
Position 44: 0.059713425208536265
Position 75: 0.04628492996127827
Position 4426: 0.03996638910164634
Position 3447: 0.039039903033548165
Position 7102: 0.03770045332376391
Position 4889: 0.03557862983606667
Position 5851: 0.03307844980363646
Position 1382: 0.025734183482412003
Position 1107: 0.023574845277809973
Position 289: 0.02350194489870725
Position 4: 0.022753655523240195
Position 1394: 0.014371403805250182
Position 3395: 0.008457043904930992
Position 6516: 0.0067599160392487305
Position 2987: 0.006078621424212728
Position 4455: 0.005258656267307374
Position 6386: 0.00453516797772643
Position 803: 0.004514401942510075
Position 1349: 0.004223055481083453
Position 3549: 0.00409003139033179
Position 1853: 0.003959132938369689
Position 4071: 0.0036983984228410862
Position 235: 0.0036904990601352274
Position 1319: 0.0031192186864721933
Position 2117: 0.0030290399428594683
Position 4436: 0.0029503282960833227
Position 3725: 0.002720820204686708
Position 3247: 0.0024608223265741363
Position 6990: 0.001983647737261185
Position 1921: 0.0019011362797419849
Position 691: 0.0018456182630840724
Position 3251: 0.0017171971932492792
Position 948: 0.0016731626883972007
Position 7076: 0.001517114005769568
Position 2933: 0.0014849959398161154
Position 7172: 0.0013763960343440263
Position 7585: 0.0013529559724993578
Position 939: 0.001180731883216591
Position 504: 0.0011669843840461634
Position 116: 0.0009284695404119869
Position 3382: 0.0008331680586501943
Position 96: 0.0008028866701971678
Position 3679: 0.0006893822801544172
Position 67: 0.000491732848982552
Position 2943: 0.0003741697545469869
Position 2355: 0.0003509379417215046
Position 5979: 0.0003462675067443968
Position 1140: 0.0002703128099349213
Position 7570: 0.00024039098549380692
Position 3005: 0.00023697084815112976
Position 3484: 0.00020245453615731125
Position 5506: 0.00013925129781140437
Position 70: 0.00013092825430931074
Position 443: 0.00012005366094094391
Position 316: 0.0001174863556150632
Position 4847: 0.00010694397313042048
Position 648: 7.772755737563294e-05
Position 508: 5.699016158654678e-05
Position 151: 4.9753020118309894e-05
Position 4662: 3.246153069764637e-05
Position 48: 2.2990364653960604e-05
Position 526: 1.139929796302982e-05
Position 24: 9.23837582668466e-06
Position 644: 9.014863640072584e-06
Position 488: 8.695294410251402e-06
Position 2682: 8.2372816439752e-06
Position 2812: 6.484155029193443e-06
Position 1025: 4.372865881932337e-06
Position 522: 4.170995789108745e-06
Position 79: 4.083158990662692e-06
Position 577: 4.07671104921835e-06
Position 310: 3.340277449365835e-06
Position 167: 2.9019643301533772e-06
Position 641: 2.571262444861531e-06
Position 385: 2.4509119997006654e-06
Position 99: 2.1616657729202622e-06
Position 462: 1.96614271868116e-06
Position 390: 1.6567232314081967e-06
Position 519: 1.2586418357076286e-06
Position 695: 1.138944370881158e-06
Position 1199: 2.3311478635080044e-07
Position 226: 5.871509390122807e-08
Position 186: 1.0350067259358888e-08
Position 292: 9.523530898931386e-09
Position 232: 7.952248110243807e-10
Position 409: 8.542732183022896e-11
Position 248: 7.95524784743493e-11
Position 533: 7.232766890267888e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 4299: 0.9109494919188513
Position 2183: 0.45551837685183855
Position 2274: 0.4168460816660897
Position 210: 0.3120732827804576
Position 1259: 0.25344445264250487
Position 1318: 0.23490382989206499
Position 4587: 0.22692119685241993
Position 7101: 0.2147689582698664
Position 6847: 0.19343792728675238
Position 7920: 0.15452381115830605
Position 720: 0.12924359989243903
Position 5796: 0.09969311405030416
Position 3288: 0.05996760293603948
Position 6062: 0.04748284574866126
Position 4378: 0.04490129572732687
Position 7355: 0.024356442856092148
Position 855: 0.02269433798348092
Position 598: 0.019677795881912395
Position 1235: 0.016799575400266095
Position 5033: 0.01659456545891569
Position 2601: 0.013559052873328953
Position 178: 0.01318632686375813
