Gene = BOLA1
index = 138
Annotated 5SS: [  234 11786]
Annotated 3SS: [11572 11955]
SMsplice 5SS: [234]
SMsplice 3SS: [12235]
top_k =  500
Partition function (log Z): -12.582727335275836

Sorted 5' Splice Sites (High to Low Probability):
Position 234: 0.9509399361900462
Position 7030: 0.25452043708521566
Position 1429: 0.16271781081804962
Position 11786: 0.11326310291333161
Position 1434: 0.09121509521075064
Position 1230: 0.0641000668382961
Position 465: 0.040026324372380725
Position 95: 0.035287277298667194
Position 8952: 0.024760372258591602
Position 5893: 0.023976603873800188
Position 121: 0.00280266466878181
Position 6339: 0.0025752367673493835
Position 1417: 0.0023078314888156865
Position 512: 0.0019631925157846055
Position 660: 0.0019283905045862477
Position 238: 0.0014368679975115019
Position 158: 0.0011329711994122517
Position 1134: 0.0008488551081215033
Position 198: 0.0008222933675768484
Position 2187: 0.0007915906153825214
Position 6423: 0.0006162459696480107
Position 561: 0.0006130378232075098
Position 349: 0.0003637761742186633
Position 131: 6.978151462355818e-05
Position 838: 4.6923569119886564e-05
Position 526: 4.2110897093464985e-05
Position 2112: 3.587893569992114e-05
Position 72: 3.3710853499925494e-05
Position 1241: 1.0957309089397935e-05
Position 326: 7.668745277398414e-06
Position 825: 4.954267221109203e-06
Position 448: 2.3711168700347475e-06
Position 618: 2.2517358414550027e-06
Position 43: 3.951032323049656e-07
Position 1815: 3.881831154557644e-07
Position 846: 5.503841947494382e-08
Position 904: 4.495254836292591e-08
Position 134: 2.1850362117591433e-08
Position 353: 5.996156416777607e-09
Position 746: 2.705573123091392e-10
Position 204: 1.1129517597169679e-10
Position 384: 8.471883568148344e-11
Position 17: 1.3810689668871214e-11
Position 531: 7.039582071706968e-12
Position 616: 3.1052150119906744e-12
Position 379: 3.0837658173182144e-13
Position 331: 2.5472688989262435e-13
Position 359: 6.906666810324075e-14
Position 364: 3.461586842762045e-14

Sorted 3' Splice Sites (High to Low Probability):
Position 12235: 0.4032050671683752
Position 6763: 0.26489388781624307
Position 1327: 0.26264127206116655
Position 11593: 0.1579551041676313
Position 384: 0.14267452733782862
Position 11955: 0.09066089588688458
Position 8866: 0.0859547764419319
Position 6931: 0.06263974693694611
Position 10934: 0.029233919848350377
Position 1125: 0.025066611814686727
Position 952: 0.02374292029329513
Position 5639: 0.022623657319952396
Position 4827: 0.020495462519225478
Position 1161: 0.014046825805179814
Position 920: 0.012142825597886804
Position 9269: 0.011363160106482128
Position 8459: 0.011125675519419361
Position 6631: 0.010875044185651208
Position 5635: 0.010756710574314494
Position 7392: 0.010394196686043439
Position 2529: 0.009628484293295204
Position 2330: 0.009494861476141474
Position 1206: 0.00928474593312379
Position 12240: 0.006957945338357498
Position 8527: 0.006160806901670319
Position 4852: 0.004972456142054176
Position 12446: 0.004972047994295502
Position 6262: 0.004788537329240774
Position 5657: 0.0032577013832775885
Position 391: 0.0031090372601944964
Position 6194: 0.0029696815044345163
Position 1895: 0.002802935676909759
Position 537: 0.00253879824290474
Position 5564: 0.002327743747972908
Position 8848: 0.0019232515151849123
Position 1510: 0.0018971940677465062
Position 6476: 0.001618047857862907
Position 1487: 0.0014559884163548658
Position 707: 0.0013509815227682974
Position 4221: 0.0013111334015974627
Position 6609: 0.0013040955862190786
Position 2727: 0.0011573860147197836
Position 9324: 0.0011548298972424158
Position 2731: 0.0011318277898435549
Position 3783: 0.001048323720710756
Position 1295: 0.0009915616315279683
Position 1702: 0.0008746067610227302
Position 168: 0.000871635596137145
Position 2590: 0.0008393648041294735
Position 2418: 0.0007928152111622302
Position 6427: 0.0007640280820090257
Position 601: 0.000755693791141734
Position 7268: 0.0007450642375644798
Position 3974: 0.0006693794596193856
Position 1083: 0.0006436314687993589
Position 7904: 0.000626701704426155
Position 6149: 0.0006169494456946408
Position 923: 0.000540387324574757
Position 2375: 0.0005310336876492305
Position 1947: 0.0004939591404526307
Position 6119: 0.00045522925674066196
Position 872: 0.00043393983796768026
Position 2547: 0.00042414585308484524
Position 1072: 0.0004015744522043006
Position 3024: 0.00039893830471882157
Position 3190: 0.0003548864379788375
Position 7068: 0.00035175139709399373
