Gene = MEAF6
index = 826
Annotated 5SS: [  107  1341  5309  5486 12960 18057 18879]
Annotated 3SS: [ 1224  5220  5439 12766 18026 18844 20655]
SMsplice 5SS: [  107  1341  5309  5486 12960 13838]
SMsplice 3SS: [ 1224  5220  5439 12766 13745 20655]
top_k =  500
Partition function (log Z): 1.3424924398076592

Sorted 5' Splice Sites (High to Low Probability):
Position 107: 0.9919864505677294
Position 5309: 0.9890205981275761
Position 12960: 0.9685651400618326
Position 1341: 0.9496450356998077
Position 13838: 0.7639420136791522
Position 5486: 0.572510796007217
Position 9631: 0.5189968667998944
Position 15256: 0.2536345770360475
Position 18879: 0.18914087939449953
Position 2716: 0.14241218717769594
Position 13540: 0.10081281046818723
Position 7389: 0.0966323886611383
Position 9649: 0.08267307103984511
Position 18057: 0.07779678570970143
Position 13905: 0.05815143837467379
Position 6750: 0.051537143723552295
Position 5443: 0.038973698218447095
Position 13660: 0.02737929321166627
Position 4828: 0.025696271769148134
Position 13346: 0.025264014213711203
Position 1323: 0.02264249688414107
Position 13620: 0.021849788477240686
Position 19191: 0.019523138204245186
Position 15522: 0.017607949857754757
Position 18217: 0.017169141963797135
Position 20839: 0.01651909174330604
Position 13303: 0.013639927212779113
Position 15342: 0.013588944633366736
Position 2136: 0.01129207896095696
Position 14137: 0.009652478834456734
Position 7828: 0.0068383150505793655
Position 14250: 0.006679446406208483
Position 18938: 0.006579927118467152
Position 5100: 0.006213981982435566
Position 15260: 0.005949591359393228
Position 417: 0.005431767368419706
Position 3613: 0.005175803887838259
Position 9729: 0.005121628563726475
Position 988: 0.004770483448315583
Position 1293: 0.0046492141055433
Position 11453: 0.004355772800488595
Position 879: 0.0036421309805902873
Position 970: 0.0036393229845581663
Position 14006: 0.0030499504931655037
Position 2697: 0.002950352987878499
Position 990: 0.0027397741689759772
Position 1380: 0.0026979835752081456
Position 4051: 0.0025813511519919463
Position 13599: 0.0025247732906757657
Position 5634: 0.002482730615821583
Position 1833: 0.002283001849205902
Position 3112: 0.0022555549141331046
Position 10545: 0.001976068754603066
Position 956: 0.0017560668127437166
Position 7253: 0.001720000498264089
Position 19321: 0.0017059763681428562
Position 1048: 0.0015939855317848462
Position 894: 0.0014540830986469815
Position 247: 0.0012485683011513506
Position 14675: 0.0011884538071815134
Position 1192: 0.001068468687277338
Position 2981: 0.0010196513114867232
Position 4133: 0.0010040571562752235
Position 430: 0.0009740973826921872
Position 413: 0.0009697118176326371
Position 5322: 0.0009654051254315282
Position 992: 0.0007722418126553854
Position 7569: 0.0007545947621338691
Position 15361: 0.0007436567773407192
Position 2705: 0.0006437769341664228
Position 3245: 0.0006392953100538006
Position 2905: 0.0005353769791780952
Position 374: 0.0004851310450327962
Position 13747: 0.00047115820262369116
Position 1086: 0.0004653618867431248
Position 14048: 0.0003942073132478119
Position 1792: 0.00039236077850888736
Position 5283: 0.00037749187929434505
Position 1699: 0.00035303860473561853
Position 5313: 0.00034125299872896493
Position 14325: 0.00029256234619048243
Position 919: 0.0002700530369725242
Position 6790: 0.00026285781255985194
Position 626: 0.00025885899390515994
Position 447: 0.0002299713121539896
Position 553: 0.0001328768047732443
Position 950: 0.00012164408571158428
Position 272: 0.00011229612260064514
Position 288: 0.00010832924151727437
Position 5563: 9.859820121278494e-05
Position 1118: 9.754387048743167e-05
Position 6724: 9.725923531819733e-05
Position 701: 6.94984786388353e-05
Position 1108: 6.735128320046834e-05
