Gene = MBLAC1
index = 819
Annotated 5SS: [371]
Annotated 3SS: [673]
SMsplice 5SS: [371]
SMsplice 3SS: [673]
top_k =  500
Partition function (log Z): -9.812342474682637

Sorted 5' Splice Sites (High to Low Probability):
Position 371: 0.4289937128526903
Position 62: 0.20029254817160322
Position 440: 0.18425370320690101
Position 343: 0.1359666872149049
Position 281: 0.028839566155637538
Position 224: 0.021527053854622526
Position 500: 0.005430046372106395
Position 57: 0.0038652126526192085
Position 45: 0.0014759365478146202
Position 799: 0.0006809809405745894
Position 545: 0.0005825137946057322
Position 1150: 0.0005193147313924849
Position 765: 0.0004038679237313674
Position 502: 0.0003899477523147427
Position 425: 0.0003250201604617159
Position 719: 0.000263454143345505
Position 741: 0.00026331723700087753
Position 444: 0.00015862555663904686
Position 538: 0.00013289265310531146
Position 616: 9.693416664997652e-05
Position 1224: 5.992388107173216e-05
Position 511: 4.786418488843376e-05
Position 768: 3.8295435029233264e-05
Position 840: 3.3798891580002864e-05
Position 945: 2.7075897983042977e-05
Position 813: 2.560409369595813e-05
Position 162: 1.8118893928024528e-05
Position 570: 1.4794250017316833e-05
Position 762: 9.804084030315153e-06
Position 153: 1.1223584224631613e-07
Position 143: 5.650013230396206e-09
Position 642: 2.908883235465274e-10
Position 597: 7.615400103884879e-11
Position 317: 1.8385568877574797e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 673: 0.7231592955318041
Position 779: 0.08980149955903656
Position 691: 0.08782382520491017
Position 851: 0.057183880064878956
Position 143: 0.010234764686729158
Position 871: 0.008231786084364694
Position 1083: 0.00821536897735608
Position 697: 0.006015940389876101
Position 1217: 0.0034082572717212783
Position 1335: 0.0030534172035697094
Position 1417: 0.0029768585095875356
Position 184: 0.0028182951000877638
Position 1533: 0.0014930581501337275
Position 1187: 0.0014888731250865383
Position 694: 0.0014590693432852055
Position 1001: 0.0010164127457033135
Position 1313: 0.0008628223583267671
Position 229: 0.0007993555037949539
Position 244: 0.0007532886969167534
Position 1125: 0.0004638041216194349
Position 1740: 0.0004464849248544339
Position 343: 0.00042470496054895936
Position 1506: 0.0002626494184151822
Position 1340: 0.00026099052092948375
Position 1567: 0.00025878621884692756
Position 297: 0.00021037407655542394
Position 713: 0.0001975244834452642
Position 1610: 0.00016991546420031933
Position 1607: 0.00014880926331524305
Position 1538: 0.00013084846891645932
Position 1160: 0.00012081084478669839
Position 1410: 9.329333405681889e-05
Position 1694: 9.20774687339505e-05
Position 1029: 7.518784027747049e-05
Position 1663: 7.047456036650239e-05
Position 170: 5.765609146370137e-05
Position 153: 5.3012847804908823e-05
Position 1442: 4.284979353476036e-05
Position 175: 3.7417304507894165e-05
Position 150: 3.394103479525181e-05
Position 347: 2.7528674972960423e-05
Position 535: 2.6775362562618078e-05
Position 118: 2.56174841634021e-05
Position 795: 2.4263562998161865e-05
Position 194: 2.0131673501482128e-05
Position 576: 1.925262748136521e-05
Position 906: 1.5447417835170082e-05
Position 436: 1.4776397293226541e-05
Position 1017: 1.274172884790865e-05
Position 187: 1.2529732753604914e-05
Position 1228: 1.2278875369857326e-05
Position 1615: 9.828023071998066e-06
Position 1598: 9.553114864383799e-06
Position 920: 9.248781719697818e-06
Position 199: 8.694915111080171e-06
Position 409: 8.381513783646768e-06
Position 637: 7.833839104415584e-06
Position 203: 7.2830433740410154e-06
Position 299: 7.110405977356635e-06
Position 207: 2.1007008107567835e-06
Position 361: 1.6692336980818186e-06
Position 397: 1.49870779424014e-06
Position 374: 1.2453789719988833e-06
Position 352: 1.0833934927466938e-06
Position 376: 6.625732001670371e-07
Position 370: 5.208381115976737e-07
Position 358: 3.7825194939099535e-07
Position 414: 2.7000305915708627e-07
Position 385: 1.9728614430764938e-07
Position 423: 7.444402127966062e-08
Position 363: 3.906111076776701e-08
Position 483: 3.5357731577602125e-08
