Gene = PIP
index = 1032
Annotated 5SS: [ 135 3223 7113]
Annotated 3SS: [3116 6997 7440]
SMsplice 5SS: [ 135 3223 7113]
SMsplice 3SS: [3116 6997 7440]
top_k =  500
Partition function (log Z): -5.471035299866585

Sorted 5' Splice Sites (High to Low Probability):
Position 3223: 0.9870073278303313
Position 135: 0.8665276780377327
Position 7113: 0.604361318167327
Position 5276: 0.38391276523811
Position 3495: 0.379825136198919
Position 3815: 0.23864089002505331
Position 6064: 0.1690017853597615
Position 3468: 0.10758440567185598
Position 5533: 0.09275943053342253
Position 3833: 0.0651601660112451
Position 3658: 0.06276311104761773
Position 3612: 0.06054862225925022
Position 1197: 0.05645152051030332
Position 4523: 0.054600754116503
Position 1048: 0.052203097647055184
Position 513: 0.04495131063192676
Position 278: 0.0286505846596129
Position 701: 0.023577292044387098
Position 2491: 0.023324149366368695
Position 394: 0.020077994701857782
Position 6219: 0.019923934316230102
Position 384: 0.019686114159752428
Position 2486: 0.018748691063544473
Position 2494: 0.01800598483862121
Position 3533: 0.01708759092911262
Position 4612: 0.016482001320978535
Position 2536: 0.013570771309249415
Position 1184: 0.011768111513239822
Position 6460: 0.009539663593769345
Position 4464: 0.008279916402368954
Position 4235: 0.004438616621306079
Position 879: 0.004317676372925048
Position 759: 0.003969715059130252
Position 3936: 0.0028343479108801895
Position 5997: 0.0025172610376536413
Position 5271: 0.0022338134556766968
Position 1800: 0.0019652247141748224
Position 7035: 0.001734442478705663
Position 3157: 0.0012885300108111378
Position 4379: 0.0007504625526127668
Position 5975: 0.0006773811005870916
Position 3822: 0.0006319246730648846
Position 3616: 0.0004188511313058357
Position 3220: 0.00020510842675849878
Position 3153: 0.0001993560603773225
Position 3505: 0.00017862982979163273
Position 988: 0.00011978571426432127
Position 946: 0.00011379601946391107
Position 3227: 9.922558685011423e-05
Position 788: 9.631791680186615e-05
Position 371: 9.418920383323743e-05
Position 677: 5.929808890082325e-05
Position 391: 5.9264128608822485e-05
Position 60: 4.6180839408928185e-05
Position 923: 4.576337153208241e-05
Position 1276: 3.0755029685178956e-05
Position 1427: 2.7728932065188112e-05
Position 896: 2.7237217773233058e-05
Position 837: 2.589220144337164e-05
Position 1716: 2.5632563956891834e-05
Position 769: 2.4218593213588932e-05
Position 1555: 2.340832237200065e-05
Position 2736: 2.0385316207060782e-05
Position 730: 1.8263576839152685e-05
Position 105: 1.6896003294355378e-05
Position 464: 1.6268156082200137e-05
Position 1725: 1.4166436637349035e-05
Position 593: 1.3327168109815207e-05
Position 334: 6.153650164318211e-06
