Gene = OTUD3
index = 989
Annotated 5SS: [  222  8021 11968 15150 21886 22475 24104]
Annotated 3SS: [ 7871 11854 15026 21753 22377 23918 25056]
SMsplice 5SS: [  222  8021 11968 15150 21886 22475 24104 25148]
SMsplice 3SS: [ 7871 11854 15026 21753 22377 23883 25056 26643]
top_k =  500
Partition function (log Z): 4.13402859309928

Sorted 5' Splice Sites (High to Low Probability):
Position 15150: 0.9861769262064559
Position 22475: 0.9858144066090112
Position 8021: 0.8559040939678203
Position 24104: 0.8552062275385716
Position 11968: 0.8517352904714596
Position 25148: 0.8149131532727042
Position 222: 0.7534291834821053
Position 21886: 0.5815633223337069
Position 6176: 0.5408287212651856
Position 29823: 0.28169568425560587
Position 4414: 0.2670484732672288
Position 9089: 0.24988742586088572
Position 16441: 0.24976724426266314
Position 5981: 0.19867460305208748
Position 975: 0.19520476408326118
Position 10082: 0.19153749315293714
Position 6159: 0.18326778520717463
Position 208: 0.16561236718285657
Position 5770: 0.15288394607653474
Position 1542: 0.14077557406535246
Position 5764: 0.11198090144299722
Position 21862: 0.09958054190637805
Position 13068: 0.08767859618751726
Position 14731: 0.0792259897885333
Position 24569: 0.06578817356051711
Position 23837: 0.05570053113164871
Position 13087: 0.05084391760798995
Position 15777: 0.04764039743750664
Position 13463: 0.04707743613873388
Position 21391: 0.04686529064951888
Position 9014: 0.04579898138720543
Position 624: 0.04526838610027224
Position 9801: 0.04361033851683892
Position 21841: 0.03983265316048742
Position 13760: 0.03886345773200353
Position 2450: 0.03875553047521504
Position 21223: 0.0351092033699132
Position 5961: 0.03338073964136764
Position 21866: 0.02870073875875629
Position 26605: 0.02751615455090025
Position 17957: 0.02572866750431352
Position 10074: 0.025720034264194128
Position 21344: 0.025707460243827265
Position 6255: 0.024653230618918442
Position 22108: 0.02458301158459533
Position 21340: 0.02131540548104741
Position 24108: 0.02100036421905234
Position 1583: 0.01767519211189148
Position 14266: 0.016490192399393387
Position 12679: 0.016303622440095568
Position 4460: 0.014510124548766004
Position 7685: 0.013754146963403342
Position 15154: 0.013607288325306935
Position 22521: 0.012601968165686744
Position 16576: 0.01208681211229323
Position 14121: 0.011902453145095348
Position 466: 0.011463582670778249
Position 25255: 0.011171569476055574
Position 18270: 0.011023104151973096
Position 21881: 0.01089782326180044
Position 28406: 0.009955213017617669
Position 24331: 0.009569846125027396
Position 23708: 0.008552340654384358
Position 21447: 0.007661400414235522
Position 19616: 0.0072284669110714815
Position 21236: 0.00710732476304295
Position 26373: 0.006426218690839308
Position 3411: 0.0063625114277360405
Position 26225: 0.005000840407408635
Position 3277: 0.004614703341291965
Position 23406: 0.004539851535046227
Position 532: 0.004402534338636618
Position 19456: 0.004323916132405112
Position 25874: 0.004305293908399878
