Gene = TCEANC2
index = 1384
Annotated 5SS: [  158   924 15297 35190]
Annotated 3SS: [  779 15154 34995 42683]
SMsplice 5SS: [  158   924 15297 25683 35190 42768 48927]
SMsplice 3SS: [  779 15154 25572 34995 42683 48822 50555]
top_k =  500
Partition function (log Z): -26.304116200239697

Sorted 5' Splice Sites (High to Low Probability):
Position 924: 0.9928077388754718
Position 158: 0.7524644195292826
Position 15297: 0.7233374490435095
Position 13392: 0.4076937336435395
Position 14921: 0.3226890412944937
Position 14830: 0.2009135338493657
Position 395: 0.1252124141019703
Position 269: 0.09422691231874479
Position 11535: 0.0855760345460974
Position 13730: 0.07529559976727294
Position 18338: 0.07083587377377597
Position 10584: 0.051738790372692085
Position 18061: 0.0492079527315129
Position 2032: 0.046472961576018955
Position 13892: 0.04449118739393859
Position 8142: 0.03452913120430663
Position 18354: 0.03321212313893147
Position 19116: 0.02248492590467413
Position 15415: 0.020982551615632623
Position 8193: 0.017601557330294205
Position 18342: 0.017523033867597383
Position 8978: 0.01630436393856886
Position 2074: 0.011619919483078776
Position 2199: 0.01024592233513581
Position 400: 0.008074419185069862
Position 15092: 0.007369439502351066
Position 7365: 0.007219313711814315
Position 6172: 0.006964381909326391
Position 265: 0.005640293059241213
Position 319: 0.004350790357204021
Position 169: 0.0025307331756178083
Position 891: 0.0016399562512280647
Position 345: 0.0016089994246940187
Position 109: 0.0012583627737167726
Position 162: 0.0011562288007808679
Position 185: 0.0008663937072176074
Position 2638: 0.0006895961150747159
Position 2868: 0.0006343890254290717
Position 432: 0.0005647447107356852
Position 6168: 0.000557931576320553
Position 351: 0.0005047436966249596
Position 974: 0.0004727834003691842
Position 274: 0.00032515535418351307
Position 2224: 0.00031742552660024494
Position 1703: 0.0003035863692339029
Position 1159: 0.00030243505277777454
Position 293: 0.0002877189665565334
Position 480: 0.00028513958183402357
Position 63: 0.00025250256618619373
Position 6493: 0.00024870380783658644
Position 355: 0.00018423082789969277
Position 207: 0.0001517936141242487
Position 802: 0.0001278327032302946
Position 1782: 0.00011911106117836994
Position 230: 0.00011770090858149295
Position 986: 9.898261433674792e-05
Position 240: 9.104315138393004e-05
Position 406: 6.364556820812425e-05
Position 403: 5.980118356517775e-05
