Gene = HEMK1
index = 646
Annotated 5SS: [  122  2181  2650  3057  8035  8422  8724  9775 10788 11078]
Annotated 3SS: [ 1778  2557  2962  7899  8356  8673  9668 10691 10963 11228]
SMsplice 5SS: [  122   394  8035  8422  9775 10589 10788 11078]
SMsplice 3SS: [  227  7899  8356  9668 10352 10691 10963 11228]
top_k =  500
Partition function (log Z): -5.999216403874553

Sorted 5' Splice Sites (High to Low Probability):
Position 12172: 0.9464698506759227
Position 11078: 0.7761350432993324
Position 10788: 0.7670417243560473
Position 2650: 0.7053177268459283
Position 122: 0.665104817760661
Position 8035: 0.651343791895833
Position 3057: 0.6182255558603197
Position 9775: 0.5806179553165987
Position 8724: 0.5206416149402794
Position 394: 0.5185469311744207
Position 11677: 0.492772040458002
Position 1654: 0.45734174395536636
Position 10589: 0.43990795019916157
Position 8422: 0.424187494661876
Position 12567: 0.4219161388909004
Position 11319: 0.3856304951161543
Position 2143: 0.3593247144636617
Position 5767: 0.2818608774480503
Position 10494: 0.2800063142388666
Position 12523: 0.24099080051178526
Position 3855: 0.22491786112408516
Position 11344: 0.21951030205165648
Position 423: 0.1823628459437629
Position 1619: 0.15954655177568997
Position 398: 0.14764756834870627
Position 11482: 0.14205973236235594
Position 8569: 0.1400920725062724
Position 9787: 0.13715738362047342
Position 11581: 0.12650872772344676
Position 832: 0.12650401404418704
Position 17768: 0.1247271774043345
Position 10812: 0.08880164588351133
Position 15184: 0.08008985421050377
Position 1650: 0.0742237659283886
Position 15944: 0.07075980386873612
Position 3485: 0.05660030077267819
Position 14790: 0.050031421804376974
Position 11289: 0.04337853929547418
Position 8769: 0.03009266384699914
Position 17281: 0.028180126416616668
Position 3527: 0.024650722155511937
Position 16139: 0.02390869767449094
Position 660: 0.0219833029188618
Position 9581: 0.02180709535789977
Position 4664: 0.017117969824731745
Position 2181: 0.016150776506992887
Position 11253: 0.012374079296491345
Position 12203: 0.011767798208733823
Position 487: 0.011482793873246954
Position 1077: 0.010688030091662016
Position 5806: 0.00997504747816608
Position 12168: 0.007837894983681754
Position 358: 0.007833356482429873
Position 1331: 0.00709568606253497
Position 561: 0.0068037442702887155
Position 3460: 0.006799256580627214
Position 12187: 0.006497218582055971
Position 11465: 0.006450927842283519
Position 16854: 0.005016263709641359
Position 3651: 0.0045128296020127264
Position 169: 0.004111022455957677
Position 2085: 0.004011750187998608
Position 3583: 0.0036714281971687987
Position 138: 0.0028999343857036017
Position 10869: 0.0027615822385975686
Position 11527: 0.0021548529081192444
Position 11501: 0.0018935415324048209
Position 402: 0.0012868978640782746
Position 11506: 0.0007967606148373053
Position 14801: 0.0005182566519419932
Position 436: 0.0004921156786425689
Position 521: 0.0003345363425032106
Position 10718: 0.00032366024827935956
Position 99: 0.00026081661528740504
Position 3061: 0.0002547665549919114
Position 3282: 0.0002546252477007844
Position 187: 0.0002368225375902065
Position 371: 0.00017274624102488296
Position 968: 0.00016237143933978932
Position 838: 7.242728956524246e-05
Position 842: 4.872839794497392e-05
Position 3766: 2.5791388513107998e-05
Position 571: 2.480978865509551e-05
Position 328: 2.3074148595207502e-05
Position 45: 1.0205278133511995e-05
Position 625: 6.799161605203594e-06
Position 230: 3.946316398343051e-06
Position 1051: 3.676418030827092e-06
Position 546: 1.598732740053957e-06
Position 366: 1.4487043348546383e-06
Position 502: 1.0149425428512359e-06
Position 453: 8.237552030426065e-07
Position 650: 7.073655638710999e-07
Position 455: 5.511974276606094e-07
Position 816: 4.5730671734404e-07
Position 196: 5.16012601903001e-08
Position 282: 1.1960491629128305e-10

Sorted 3' Splice Sites (High to Low Probability):
Position 10691: 0.8865867861484633
Position 12088: 0.747732028658056
Position 11228: 0.7402257190548664
Position 9668: 0.70701325226736
Position 7899: 0.6513437918958329
Position 10352: 0.6174900799255962
Position 10963: 0.5403757256204711
Position 227: 0.5336577772569244
Position 2557: 0.5156235064725736
Position 8673: 0.4983122680874915
Position 1569: 0.39133866397341444
Position 11556: 0.38558275122128116
Position 8356: 0.3735419991546158
Position 2962: 0.3604805668799125
Position 17663: 0.3285203928188734
Position 5674: 0.2918359249262163
Position 11397: 0.2413779909589686
Position 3718: 0.21206340991657432
Position 1566: 0.2058522455085674
Position 2924: 0.20275255580750323
Position 8469: 0.19251408320605942
Position 1998: 0.17318446752168679
Position 12103: 0.16211131213503607
Position 17024: 0.1549533139420405
Position 12372: 0.1404321584125414
Position 12337: 0.13914002844683582
Position 14923: 0.12601081809418704
Position 15796: 0.11330552074077517
Position 10567: 0.10853364003270805
Position 703: 0.10851206744447828
Position 12425: 0.0976897201713604
Position 12278: 0.09570191869503081
Position 16138: 0.09541998727455919
Position 13409: 0.09303592820458445
Position 12459: 0.08597501479262125
Position 3381: 0.0855079722961298
Position 2032: 0.07624280244334197
Position 2605: 0.0727226726043763
Position 1854: 0.07062916566180953
Position 11962: 0.06461946267954645
Position 10646: 0.06234471771050078
