Gene = DDX31
index = 436
Annotated 5SS: [  542  7963  8141  9194 10692 11731 17954 19327 20168 21970 22213 23579
 24507 28398 38361 40138 44738 52072 58315]
Annotated 3SS: [ 7705  8064  9149 10620 11665 17908 19284 20102 21849 22105 23342 24329
 28337 38309 39997 44655 51959 58145 75288]
SMsplice 5SS: [  542  7963  8141 17954 19327 21970 22213 28398 40138 44338 44738 52072
 55533 58315]
SMsplice 3SS: [ 7705  8064 17806 19284 21849 22105 28337 39997 44271 44655 51959 55424
 58145 73978]
top_k =  500
Partition function (log Z): 1.1203157782614936

Sorted 5' Splice Sites (High to Low Probability):
Position 28398: 0.9999999999999967
Position 17954: 0.9999999999999949
Position 40138: 0.999923798687564
Position 58315: 0.9983719792483665
Position 52072: 0.9878459284491029
Position 22213: 0.9720894312968816
Position 542: 0.965627512551005
Position 44738: 0.9584239309170596
Position 21970: 0.8927159180914428
Position 9435: 0.8173527492433145
Position 19327: 0.7871685944633044
Position 44338: 0.7472399737123916
Position 7963: 0.6968514714456832
Position 8141: 0.6852566084259204
Position 5142: 0.6830381730070193
Position 55533: 0.6600058671386075
Position 45787: 0.5096976901458908
Position 24507: 0.5023853465448664
Position 41394: 0.4713558070520153
Position 40477: 0.4679210368620468
Position 12203: 0.40317365626973656
Position 50766: 0.35346338750363776
Position 20168: 0.3429823370833632
Position 49767: 0.34269152554492066
Position 61892: 0.29469270874936937
Position 25937: 0.2760450226910802
Position 54514: 0.20634163143738365
Position 23447: 0.19691501583490306
Position 43620: 0.19338373921932578
Position 43549: 0.1889279925852945
Position 19593: 0.18023230935669568
Position 61480: 0.17491919968972117
Position 25743: 0.1741791547934654
Position 45266: 0.16746559816376563
Position 28158: 0.14200436877347838
Position 41788: 0.139130443520152
Position 22744: 0.1383025582723895
Position 7471: 0.12289924241697552
Position 59106: 0.11486589972329637
Position 43581: 0.10516516022895632
Position 8647: 0.10347876424147705
Position 147: 0.10318202437667001
Position 7030: 0.09896903284701633
Position 55500: 0.09244615436904166
Position 21997: 0.07644925338618193
Position 59531: 0.07529298994651346
Position 51728: 0.0735727614330651
Position 6337: 0.07285629054340931
Position 6451: 0.07028266249972309
Position 43986: 0.06709282795960197
Position 9194: 0.06644183952970892
Position 8583: 0.06479058638174118
Position 23579: 0.0596346539968177
Position 26707: 0.05928217301885574
Position 8201: 0.05714422279171935
Position 19139: 0.055775629347173325
Position 55793: 0.05248899263756456
Position 23124: 0.049172640408473474
Position 8166: 0.04266372863265294
Position 128: 0.04239586888473043
Position 11731: 0.04086558206052573
Position 57848: 0.040498860077165445
Position 4383: 0.03931338267688069
Position 23259: 0.03325882076237932
Position 218: 0.03220361085590666
Position 832: 0.031001365101494826
Position 51708: 0.028169656976619238
Position 24086: 0.027750349401195605
Position 18442: 0.027102302136403474
Position 44359: 0.02488791086075512
Position 2112: 0.022640046565075646
Position 23231: 0.02064596792220088
Position 23276: 0.020136523736753318
Position 9308: 0.0196232147994089
Position 40689: 0.015757447208224286
Position 56445: 0.012716650900165091
Position 55092: 0.011838236017604835
Position 27063: 0.0115439831169034
Position 8668: 0.011094983043243955
Position 25561: 0.01089440795299869
Position 42925: 0.010639575414707409
Position 2614: 0.009646366986060743
Position 10692: 0.00960314708266452
Position 40665: 0.009203320446137614
Position 40719: 0.00816886548234364
Position 23074: 0.008046039491976884
Position 25129: 0.0079466068255466
Position 51581: 0.007640144027119314
Position 59191: 0.005543024783255094
Position 58789: 0.005146060110118607
Position 9646: 0.004734715469446923
Position 4739: 0.004013631818189983
Position 6390: 0.0038902050041781265
Position 58602: 0.003435421137122387
Position 3161: 0.0033428171875246305
Position 5801: 0.003165149491872594
Position 52042: 0.0030874405947085627
Position 9008: 0.00304731795085351
Position 483: 0.002766874428189288
Position 2924: 0.0025830728847638304
Position 40979: 0.0025198382326139307
Position 52017: 0.0025109399264815753
Position 4606: 0.0023262171620022773
Position 7476: 0.002317636744313222
Position 1601: 0.0021508511322149517
Position 7489: 0.0020178292411931723
Position 26709: 0.001977261210431999
Position 333: 0.0018920306645149338
Position 23217: 0.001753803032125731
Position 8180: 0.0016261226108635674
Position 2648: 0.0012543073604439174
Position 8833: 0.0011153853312940048
Position 59049: 0.0010059311218932835
Position 279: 0.000872435712853433
Position 5131: 0.0008500680750032585
Position 5776: 0.0008121660713967841
Position 58764: 0.0008024738329518741
Position 23080: 0.0007673168109848258
Position 23752: 0.0007525736570599903
Position 58644: 0.0007510436044310549
Position 2260: 0.0006577577428336549
Position 5425: 0.0006262232418609857
Position 69: 0.000604915312326655
Position 200: 0.0005802300258546361
Position 59039: 0.00045696749258651635
Position 58723: 0.00036681068786851716
Position 302: 0.00033389455808579524
Position 337: 0.00033045018797859025
Position 6438: 0.00031740177464453643
Position 23268: 0.00024326251084012674
Position 45149: 0.00022950433525140406
Position 40481: 0.0001959017506813277
Position 382: 0.0001900905097569283
Position 143: 0.00017790295442855856
Position 372: 0.00012785421494632831
Position 399: 0.00011761978559806705
Position 757: 6.41068927678042e-05
Position 105: 2.5891438816821577e-05
Position 796: 1.1034517476612741e-05
Position 1374: 8.424603271833287e-06
Position 647: 4.347377403183058e-06
Position 628: 4.3301744715763025e-06
Position 1361: 3.760273568347855e-06
Position 902: 3.6299797190812857e-06
Position 1758: 2.9077378152522487e-06
Position 685: 1.7268259103395638e-06
Position 546: 1.217107943677548e-06
Position 404: 1.1580778047604888e-06
Position 1971: 5.202193479193166e-07
Position 537: 4.920273781396883e-07
Position 351: 2.3133952015790958e-07
Position 635: 1.0394574252992672e-07
Position 1070: 9.893771004356588e-08
Position 282: 7.293438233307734e-08
Position 700: 6.813507199651577e-08
Position 589: 5.2046966587700435e-08
Position 392: 3.528164770327754e-08
Position 287: 2.9241561003472313e-08
Position 310: 1.0967603972504297e-08
Position 419: 1.0592133789673793e-08
Position 96: 9.432099463639423e-09
Position 623: 3.1178328508613183e-11
Position 519: 2.025580816568653e-11

Sorted 3' Splice Sites (High to Low Probability):
Position 28337: 0.9999999999999962
Position 17908: 0.999999999999995
Position 58145: 0.9897464261094989
Position 44655: 0.8822796105959961
Position 21849: 0.8633945879250897
Position 8064: 0.7866906824611564
Position 19284: 0.7830213996170788
Position 44271: 0.7721278845731464
Position 73978: 0.7168747896767752
Position 51959: 0.6974568640343046
Position 22105: 0.6820634214224884
Position 39997: 0.5525704672534543
Position 43482: 0.4729489774059161
Position 7705: 0.47215809846019774
Position 40022: 0.4473533314341098
Position 9149: 0.44354346224185204
Position 40376: 0.43931936816094425
Position 5020: 0.4270498366666073
Position 41343: 0.4159430138696508
Position 9225: 0.4086997969603192
Position 12042: 0.40317365626973667
Position 55424: 0.3847879751216335
Position 55363: 0.36766404638601585
Position 50697: 0.3534633875036376
Position 45681: 0.35107699165012574
Position 25662: 0.3445567364793635
Position 61762: 0.30217353959826093
Position 24329: 0.30140328333297367
Position 51983: 0.29598744493598844
Position 20102: 0.29240768592430105
Position 23342: 0.2513577872473036
Position 22073: 0.23748405716762788
Position 49625: 0.22997801262006184
Position 5066: 0.21074484411726446
Position 24367: 0.19111129385364978
Position 54437: 0.15667201666695754
Position 19460: 0.15573347788953776
Position 27975: 0.14200436877347836
Position 6212: 0.13102524734162793
Position 7385: 0.11974889100259163
Position 58993: 0.11850818451662432
Position 45143: 0.11794898379263302
Position 61332: 0.11431667283675093
Position 49687: 0.11271351292485875
Position 45599: 0.11209640175526984
Position 51275: 0.10938256243680354
Position 7861: 0.10830939127267823
Position 7864: 0.10229005012271832
Position 41631: 0.09914960219005402
Position 64661: 0.09891189288652286
Position 22599: 0.09791346490802197
Position 6887: 0.09760748108439696
Position 21730: 0.08885298198858588
Position 463: 0.08023494169012547
Position 23123: 0.07524345840588414
Position 43811: 0.06709282795960199
Position 25698: 0.06588972912412215
Position 8395: 0.06332524076895726
Position 26577: 0.061259434229287715
Position 44536: 0.05894886608844384
Position 416: 0.05301625560224645
Position 18991: 0.05267678361952015
Position 68951: 0.05086107882879146
Position 45727: 0.046524296740495394
Position 8428: 0.04648797393842256
Position 22957: 0.046127069647613594
Position 45189: 0.04494847903756693
Position 22130: 0.04494380599606548
Position 20025: 0.04120266871762557
Position 25840: 0.039777711881060066
Position 41228: 0.037927329001280596
Position 9390: 0.03744123039317083
Position 11665: 0.036423934970297264
