Gene = IBA57
index = 672
Annotated 5SS: [ 343 9215]
Annotated 3SS: [8876 9306]
SMsplice 5SS: [ 343 9215]
SMsplice 3SS: [ 8876 15366]
top_k =  500
Partition function (log Z): -9.619386029152247

Sorted 5' Splice Sites (High to Low Probability):
Position 343: 0.8936761301841828
Position 9215: 0.8601084681769743
Position 3017: 0.4886246908040636
Position 9522: 0.12668995479293269
Position 8247: 0.08696944318994161
Position 182: 0.06592194201311358
Position 85: 0.06423424712813593
Position 2593: 0.055474743854630325
Position 15445: 0.05389527763504777
Position 2820: 0.04629927301514279
Position 15489: 0.044412347715706846
Position 926: 0.04059519779279144
Position 7704: 0.03754662004396501
Position 5535: 0.03444266356036788
Position 1300: 0.031220286007471044
Position 8980: 0.028232803300014757
Position 8185: 0.027457887730613296
Position 7893: 0.02534522372807362
Position 9476: 0.024282475696528017
Position 14975: 0.02328094741393727
Position 5332: 0.021789357562739208
Position 14977: 0.020563404944079648
Position 1061: 0.016474797744020494
Position 7113: 0.014893252498215496
Position 8077: 0.014045557848980973
Position 3012: 0.01255774609637429
Position 13696: 0.01192211659702427
Position 3173: 0.010847318850729332
Position 5272: 0.010725615156190417
Position 7569: 0.009304149795216361
Position 5661: 0.008451379742731323
Position 5507: 0.006673227399558937
Position 1019: 0.006470022280486828
Position 337: 0.006259163666077908
Position 5254: 0.005794898962452553
Position 13179: 0.005395822799250052
Position 5225: 0.004422195952765886
Position 3370: 0.003918943112113167
Position 1459: 0.0032427999613217668
Position 1142: 0.0031416738548549917
Position 2864: 0.0028314450788804774
Position 906: 0.002558870602981431
Position 698: 0.0018196199344367916
Position 1685: 0.0018019709688084462
Position 1820: 0.0015318044064054509
Position 1285: 0.0013622088561565746
Position 9012: 0.0012544923956659508
Position 2519: 0.0010783725738688623
Position 8986: 0.0007214974838554425
Position 1526: 0.00041118031267014957
Position 9157: 0.00034128213566704416
Position 2765: 0.0003077575970826504
Position 53: 0.00020008067327262593
Position 492: 0.00015175304723535085
Position 9019: 0.0001313207213538714
Position 9010: 0.00010022929188884525
Position 450: 9.786288495179089e-05
Position 807: 7.144825721283856e-05
Position 713: 6.33874545225229e-05
Position 305: 4.7268053444917846e-05
Position 1005: 4.669390925249213e-05
Position 2556: 4.3080191509778326e-05
Position 2466: 3.781991310780683e-05
Position 1778: 2.4028379020907556e-05
Position 2401: 2.134393459976414e-05
Position 117: 2.094147158792867e-05
Position 496: 1.9474249910346042e-05
Position 2474: 1.8730223166849223e-05
Position 520: 1.7034082534320774e-05
Position 633: 1.5400493042490026e-05
Position 910: 1.536378857208361e-05
Position 755: 9.907799455754687e-06
Position 725: 9.168662219965705e-06
Position 846: 2.4107482116861146e-06
Position 246: 2.4096308460666035e-06
Position 955: 1.6166770983917587e-06
Position 861: 1.3050892023315342e-06
Position 915: 1.2338910601648762e-06
Position 1095: 1.1536646232247631e-06
Position 820: 9.91897340202947e-07
Position 773: 8.000901993184088e-07
Position 1137: 5.979953143204969e-07
Position 111: 2.9952521351070833e-07
Position 351: 2.6221470073365877e-07
Position 443: 1.9124323876085484e-07
Position 1201: 1.0147590869785987e-07
Position 690: 9.053896726065435e-08
Position 889: 5.205154259932571e-08
Position 844: 4.917697662791024e-08
Position 388: 4.747370975809399e-08
Position 794: 4.5937773561432e-08
Position 478: 4.423129995497457e-08
Position 836: 2.6008278685358263e-08
Position 804: 1.6914144561601897e-08
Position 784: 1.433331448342378e-08
Position 186: 6.610350169798943e-09
Position 786: 3.8360127574593265e-09
Position 329: 1.0839389284892753e-13

Sorted 3' Splice Sites (High to Low Probability):
Position 8876: 0.9304924831161169
Position 15366: 0.6179038866620183
Position 2922: 0.4337050334285107
Position 9306: 0.37634023561679425
Position 2675: 0.0945344797125683
Position 14858: 0.07483392555142296
Position 7986: 0.07074785032877613
Position 8100: 0.04942607586406059
Position 7493: 0.04772259263974284
Position 5376: 0.045276841391213934
Position 857: 0.043653058528375685
Position 15744: 0.032559479819828825
Position 15653: 0.03190790848266956
Position 13577: 0.030534595093956854
Position 5125: 0.030493797405439636
Position 7848: 0.028917436491611666
Position 215: 0.02735147040727691
Position 2342: 0.026906337839200385
Position 16269: 0.02649069380786238
Position 745: 0.02257995770634291
Position 1101: 0.0197551306832221
Position 2431: 0.01595449014782418
Position 2927: 0.014076555945426204
Position 6911: 0.012486958714660825
Position 5200: 0.012318737383464794
Position 8163: 0.011459201478264201
Position 13056: 0.01140876683491544
Position 1173: 0.010761954259553747
Position 2827: 0.00837651098601212
Position 3118: 0.008289633092264152
Position 15772: 0.007349543240393868
Position 12309: 0.006935889458184531
Position 2261: 0.006742675306560578
Position 11165: 0.005653892880310833
Position 2819: 0.005189885851681882
Position 5575: 0.00485006248093414
Position 969: 0.004828387177610683
Position 310: 0.00479938741638423
Position 12477: 0.004151760281371174
Position 9920: 0.0035801351765498263
Position 6939: 0.0035496683438057926
Position 10167: 0.003277631635526929
Position 1267: 0.0032055242008193776
Position 11695: 0.002645364516346447
Position 5892: 0.0026401714567173794
Position 2303: 0.0025160837463393134
Position 2474: 0.0024803463653033757
Position 2454: 0.0023128808267054153
Position 10653: 0.0021008820415866995
Position 9984: 0.0019911132694028643
Position 1561: 0.0019526212809720823
Position 9628: 0.0018467862339210598
Position 2969: 0.0016819861608097612
Position 10344: 0.001589945475614273
Position 1077: 0.0015439796591754894
Position 1586: 0.0014034098150896735
Position 3078: 0.0012490594120505695
Position 2885: 0.0012419821737580737
Position 3255: 0.0011380764388558326
Position 948: 0.0011180669004997377
Position 11943: 0.0010438881559714159
Position 9879: 0.0009400614384543644
Position 3600: 0.0005684829068424158
Position 6221: 0.0005233955637156265
Position 7239: 0.00047124626861459696
Position 1429: 0.0004690720038683512
Position 6509: 0.0004463592782482119
Position 3464: 0.0003835886230543686
Position 9870: 0.0003655281793534929
Position 976: 0.0003440809720006338
Position 6126: 0.00032842344476972105
Position 9499: 0.0003172478612276076
Position 1212: 0.0002601007852712792
Position 4096: 0.00023568427206106546
Position 4825: 0.00020926142182319435
Position 1374: 0.0001948056941826373
Position 6942: 0.00018867953191205935
Position 626: 0.00018617653545664753
Position 2534: 0.00018467032441998432
Position 4536: 0.0001845746413950039
Position 6659: 0.00016909359639271024
Position 1635: 0.00016291786548905935
Position 1326: 0.0001482496455574173
Position 1411: 0.00014573149063443132
Position 6474: 0.0001423420976377444
Position 1525: 0.00014078919883283743
Position 437: 0.00012821937204403257
Position 6694: 0.00011518087766120043
