Gene = HLTF
index = 653
Annotated 5SS: [  214  1849 10650 12316 13306 14948 15279 18291 21740 23100 25752 25888
 26813 31228 36299 37668 38503 40451 44365 45041 46500 46950 47482 51613]
Annotated 3SS: [ 1640 10482 12181 13207 14872 15086 18194 21663 23005 25671 25842 26722
 31129 36154 37528 38366 40270 44239 44861 46373 46836 47300 51531 54157]
SMsplice 5SS: [  214 12316 13306 14380 14948 15279 18291 21740 23100 25752 26813 31228
 36299 37668 38503 44365 46500 46950 47482 51613]
SMsplice 3SS: [12181 13207 14229 14872 15086 18194 21663 23005 25671 26725 31129 36154
 37528 38366 44239 46373 46836 47300 51531 54157]
top_k =  500
Partition function (log Z): 16.193452811856798

Sorted 5' Splice Sites (High to Low Probability):
Position 37668: 0.9879727659420693
Position 25752: 0.9752027987002763
Position 51613: 0.9710979289164698
Position 14948: 0.9551103902793091
Position 46950: 0.9465748507393649
Position 46500: 0.9375516534642395
Position 12316: 0.9291748900917903
Position 47482: 0.9106682069915134
Position 31228: 0.9060522408267041
Position 214: 0.8993292319674799
Position 26813: 0.8967254113848616
Position 21740: 0.8931315010531448
Position 23100: 0.8170872094240089
Position 44365: 0.8095417631594318
Position 14380: 0.7827286034987229
Position 15279: 0.7597232419552679
Position 36299: 0.7191722083459029
Position 13306: 0.6657089414761029
Position 54330: 0.6616747890979124
Position 38503: 0.6127582964166804
Position 10650: 0.5676510703453375
Position 40451: 0.5529810742907507
Position 18291: 0.5344279434615674
Position 31430: 0.5322741099821015
Position 18302: 0.4493379515381117
Position 53025: 0.44042166093559904
Position 32689: 0.4128116810870116
Position 25888: 0.39547478262530433
Position 22818: 0.35448472728487884
Position 18664: 0.30721213828890676
Position 46255: 0.21708511564594163
Position 13357: 0.2036888867648004
Position 45041: 0.18204243789034663
Position 38017: 0.1366695606942205
Position 26567: 0.13437166492187955
Position 18995: 0.12015437095092205
Position 23057: 0.11701481690278334
Position 33464: 0.10598533164496832
Position 16282: 0.10514181608951757
Position 24271: 0.1004863072917411
Position 10604: 0.09876888763352416
Position 33391: 0.09483628253253848
Position 44369: 0.08328813183789968
Position 822: 0.07813393729446441
Position 7582: 0.0663037062392093
Position 1849: 0.05541647001275619
Position 40801: 0.05029280422430249
Position 40052: 0.04775831679997355
Position 31611: 0.04742134535181974
Position 55771: 0.04721997471118043
Position 44627: 0.046929621337727524
Position 53047: 0.03690960876739436
Position 2194: 0.036621965450340445
Position 15274: 0.03598703350952933
Position 47429: 0.0340336637926557
Position 3121: 0.03230462397991842
Position 40634: 0.03132505898481916
Position 43925: 0.029498667461143303
Position 53828: 0.02947748549478079
Position 21778: 0.029155881670076423
Position 3990: 0.027378179969924678
Position 36341: 0.024906357144145456
Position 25965: 0.023122755964645948
Position 13386: 0.021285872591477704
Position 44666: 0.020361079437439422
