Gene = IL20RB
index = 691
Annotated 5SS: [  337 22728 24486 31701 34224 37692]
Annotated 3SS: [22600 24294 31575 34072 37548 52247]
SMsplice 5SS: [  337 18063 22728 24486 28920 29153 31056 31701 37692]
SMsplice 3SS: [17954 22629 24294 28828 29013 30965 31575 37548 52247]
top_k =  500
Partition function (log Z): -27.405699937967455

Sorted 5' Splice Sites (High to Low Probability):
Position 337: 0.9915515735396477
Position 10871: 0.7354233986748121
Position 18063: 0.3337334446229961
Position 6923: 0.22845368164306962
Position 1816: 0.14277323625159205
Position 3031: 0.12022686490697439
Position 9022: 0.1169007884476921
Position 1502: 0.11608463481660423
Position 10463: 0.07926319583246942
Position 810: 0.042596488159369374
Position 3707: 0.028694086259901403
Position 1923: 0.021179607224939286
Position 11699: 0.01792652991126848
Position 11599: 0.014003919105861583
Position 3146: 0.004061465433425941
Position 11514: 0.002915473402909251
Position 2944: 0.002786967505977843
Position 341: 0.0012986977013473362
Position 7553: 0.00112804316059799
Position 1517: 0.0009536669329678233
Position 687: 0.0005939124270367653
Position 1620: 0.0003319894696740486
Position 1147: 0.00010774477550792198
Position 230: 7.994041218513205e-05
Position 1777: 7.428871807793792e-05
Position 861: 6.192337690109146e-05
Position 1971: 5.3540603471432486e-05
Position 2847: 4.43758746225433e-05
Position 2087: 2.66638236341823e-05
Position 384: 1.829907670745865e-05
Position 3127: 1.1863025288137215e-05
Position 745: 5.109109218259133e-06
Position 1385: 4.1702377684418455e-06
Position 3037: 3.879571169149918e-06
Position 57: 3.3179927905610693e-06
Position 1520: 2.614429132664789e-06
Position 299: 2.288897421836274e-06
Position 75: 1.8570032972180726e-06
Position 839: 1.1348846297005517e-06
Position 1624: 6.432796366997081e-07
Position 267: 5.589547387910079e-07
Position 325: 5.395759444274846e-07
Position 223: 4.03014968091887e-07
Position 643: 3.8588018400745854e-07
Position 289: 3.823733620305693e-07
Position 365: 2.666486753657271e-07
Position 1041: 1.8331066393079973e-07
Position 240: 7.203878336693202e-08
Position 302: 6.993777957968307e-08
Position 432: 5.667743582940711e-08
Position 665: 5.4500313395742894e-08
Position 663: 5.2620223801140436e-08
Position 420: 3.8322502645086275e-08
Position 1179: 3.2332269960172426e-08
Position 795: 2.4515944453497223e-08
Position 1262: 1.2618001261076652e-08
Position 519: 8.307423661060111e-09
Position 1132: 3.823022248989211e-09
Position 1094: 3.324532368512473e-09
Position 1092: 3.2192370542526485e-09
Position 1096: 2.803128962699857e-09
Position 1090: 2.7007642396982453e-09
Position 3: 1.988802408450382e-09
Position 542: 1.3104461529310987e-11
Position 430: 1.0195689921734364e-11
Position 444: 5.288645411547531e-12
Position 597: 2.4414852059405805e-12

Sorted 3' Splice Sites (High to Low Probability):
Position 10790: 0.6796103796334226
Position 17954: 0.37611490298298583
Position 16585: 0.33730171873255294
Position 24294: 0.2969740650696656
Position 6776: 0.2303867975690733
Position 2919: 0.1158777016432219
Position 10181: 0.09234797745459326
Position 8904: 0.07409680911931411
Position 16876: 0.0630732717303089
Position 1624: 0.056212477990514674
Position 10829: 0.05112028557729415
Position 11661: 0.045052023662575526
Position 11307: 0.0392809181422614
Position 20101: 0.0367593795533305
Position 15109: 0.036671514005330835
Position 1223: 0.036506857553997574
Position 1643: 0.029946019851062097
Position 10613: 0.029063209577967195
Position 8970: 0.02725039805741
Position 1444: 0.027087830644175262
Position 1293: 0.021503566295106788
Position 13286: 0.02142546649792387
Position 1807: 0.019585411511735658
Position 1655: 0.01808616085767513
Position 677: 0.01612617645243758
Position 8925: 0.01465254555753248
Position 16423: 0.013898124811266645
Position 1687: 0.013856902160827108
Position 3392: 0.012055266892288006
Position 1593: 0.010997217071263582
Position 636: 0.010757863493739259
Position 2891: 0.010529529295188774
Position 1501: 0.008744261880787996
Position 1385: 0.007937668714767317
Position 1447: 0.007878377264029865
Position 8736: 0.007721069557739204
Position 3470: 0.007201733684319598
Position 12808: 0.0065489224169205
Position 11036: 0.006509147047664908
Position 12247: 0.006217581920786513
Position 7293: 0.005805010680848313
Position 12176: 0.00548536067867877
Position 1483: 0.005438647499725782
Position 463: 0.004382637819020065
