Gene = ADCK2
index = 27
Annotated 5SS: [ 1111  1605  6131  7985 14089 16573 17661]
Annotated 3SS: [ 1457  6001  7888 13836 16443 17606 21509]
SMsplice 5SS: [  350  1605  6131  7985 14089 16573]
SMsplice 3SS: [ 1457  6001  7888 13836 16443 21509]
top_k =  500
Partition function (log Z): -3.847571980279347

Sorted 5' Splice Sites (High to Low Probability):
Position 1605: 0.9972028234950263
Position 16573: 0.9048727471270523
Position 6131: 0.8931923852447073
Position 14089: 0.801658547881423
Position 7985: 0.7096849302171524
Position 1111: 0.4043378337527227
Position 350: 0.40391643698122087
Position 15528: 0.36089865612662897
Position 3011: 0.2622312405937813
Position 17661: 0.18794132681790263
Position 3071: 0.11192785818099131
Position 6124: 0.07924621519795606
Position 325: 0.07534683453194187
Position 17044: 0.06541559736280814
Position 19998: 0.05070316706167261
Position 346: 0.04759124269851601
Position 15336: 0.04569904386878683
Position 17696: 0.04360466211362126
Position 5527: 0.04283403678466696
Position 2762: 0.04067756991540032
Position 7720: 0.038382372697500104
Position 228: 0.0353395101821846
Position 16581: 0.03278710597152303
Position 4910: 0.031223509620526824
Position 7705: 0.030505269603923954
Position 4781: 0.028155131561980264
Position 4659: 0.027371700213199
Position 86: 0.026850046639432655
Position 4974: 0.0236949382795137
Position 18769: 0.01607690641887306
Position 920: 0.016004900694399884
Position 11190: 0.014857052683824541
Position 31: 0.01224162193844715
Position 5456: 0.011224084276014217
Position 385: 0.010172373138653674
Position 15496: 0.010067377007888487
Position 2282: 0.008414614085033743
Position 5039: 0.008356625243953001
Position 15517: 0.007757892176320241
Position 5119: 0.006540751532119808
Position 499: 0.005996634290600995
Position 336: 0.005974166929761254
Position 208: 0.005863221154873579
Position 4625: 0.005731211596306727
Position 17486: 0.005094175635950018
Position 19733: 0.0045780239406919675
Position 2125: 0.004417613154026203
Position 5903: 0.004000476770069116
Position 2507: 0.0036816034272720223
Position 3062: 0.0033617020990454253
Position 2376: 0.0032079766504216176
Position 2803: 0.0030822669238231774
Position 2784: 0.0027981994109391164
Position 3529: 0.0026979311341712377
Position 1385: 0.0024718068197311623
Position 12997: 0.002259861154952433
Position 495: 0.0021248279876043487
Position 17683: 0.0017900085782404404
Position 5424: 0.0014959870137902303
Position 1060: 0.0011626673920944312
Position 5127: 0.0011616881595808146
Position 817: 0.0011116184803541304
Position 1696: 0.0010910793147796036
Position 181: 0.0010233331801647063
Position 5329: 0.0010224573011611972
Position 2072: 0.001019320569684011
Position 4801: 0.0008911709599628481
Position 328: 0.0008851835889718174
Position 6298: 0.0007933675748879281
Position 3078: 0.0006784417078258795
Position 6663: 0.0006475026371883313
Position 5263: 0.0005758104828628239
Position 2601: 0.0005691389759354988
Position 697: 0.0005459227349984692
Position 1627: 0.00052464217358868
Position 1027: 0.00046322773306577245
Position 2030: 0.00044267228206539537
Position 691: 0.0004105606284781003
