Gene = ATOX1
index = 110
Annotated 5SS: [  130 13987 20829 26254]
Annotated 3SS: [13752 20752 26082 29572]
SMsplice 5SS: [  130 13578 13987 20829 26254]
SMsplice 3SS: [13472 13752 20752 26082 29572]
top_k =  500
Partition function (log Z): -9.983942791167388

Sorted 5' Splice Sites (High to Low Probability):
Position 13987: 0.9183883667008466
Position 130: 0.8938772332638649
Position 20829: 0.8399848301618761
Position 13578: 0.8063645271139062
Position 26254: 0.4646213797547581
Position 26258: 0.3600231843111909
Position 16941: 0.2671104721455566
Position 20833: 0.1535211426155877
Position 27773: 0.13668898339818547
Position 834: 0.10606806364998739
Position 27201: 0.08719631573719827
Position 24268: 0.07344372912521202
Position 18992: 0.045363042135961165
Position 22377: 0.03997638095166783
Position 14607: 0.02937595386701934
Position 26118: 0.008993894008498886
Position 21111: 0.008583262352643903
Position 26458: 0.007382672443284504
Position 21683: 0.007128959301804332
Position 24599: 0.004140457286438317
Position 27838: 0.0032653284816395517
Position 27600: 0.003234717785499868
Position 28784: 0.002789938729251546
Position 29323: 0.0016298970238962935
Position 21494: 0.0012164845426902412
Position 21354: 0.0011505812060953894
Position 29027: 0.0011103188017317883
Position 26834: 0.0009915184019613852
Position 6843: 0.0009881594063830866
Position 26184: 0.0009200938266018106
Position 956: 2.964767393839686e-05
Position 91: 2.5161097735069287e-05
Position 1589: 5.608644031552836e-08
Position 6353: 4.632211382948218e-08
Position 4335: 3.903935866420797e-08
Position 1743: 3.7600408740560936e-08
Position 335: 2.3105644567921338e-08
Position 2147: 2.230098898281953e-08
Position 639: 1.3202293511970254e-08
Position 1219: 1.2740628906378359e-08
Position 759: 1.0876508196394463e-08
Position 6368: 9.299966445555827e-09
Position 2323: 4.861056016108853e-09
Position 5459: 3.8107296520716615e-09
Position 691: 3.186428418146107e-09
Position 862: 2.1603573778967155e-09
Position 817: 1.6554456216257292e-09
Position 368: 4.855125467254583e-10
Position 155: 2.6295909027017763e-10
Position 1071: 9.355515355872827e-11
Position 1126: 7.407977509826598e-11
Position 1503: 7.014849254358202e-11
Position 339: 6.945637931605757e-11
Position 1414: 6.745609580699749e-11
Position 1567: 6.405391581980798e-11
Position 1392: 6.310379165542879e-11
Position 1506: 5.7453550535178644e-11
Position 548: 5.665735789695121e-11
Position 374: 4.044798632018582e-11
Position 380: 3.984041078545555e-11
Position 779: 3.767730616057785e-11
Position 1242: 3.28481630605742e-11
Position 1529: 2.8098284019873266e-11
Position 56: 2.8049858678921214e-11
Position 980: 2.165509224079048e-11
Position 1123: 2.1362092516858917e-11
Position 1179: 1.7555429851581623e-11
Position 1197: 1.3971300389267494e-11
Position 571: 1.319173931687567e-11
Position 439: 9.895829430305273e-12
Position 1289: 9.467155145873527e-12
Position 875: 6.886293562111953e-12
Position 1174: 5.743628044869568e-12
Position 1247: 4.319609473607019e-12
Position 599: 3.943316050083932e-12
Position 967: 2.67527924657806e-12
Position 1256: 2.554884787117515e-12
Position 943: 2.2557969167922947e-12
Position 877: 1.1979069129553697e-12
Position 492: 5.530392505337245e-13
Position 628: 4.3271084430356226e-13
Position 457: 2.8187034792119944e-13
Position 362: 1.4666860542579328e-13
Position 143: 1.3944406259744834e-13
Position 841: 1.3175197573373245e-13
Position 251: 7.077922922888098e-16
Position 585: 2.1291132078875347e-16

Sorted 3' Splice Sites (High to Low Probability):
Position 26082: 0.9815722955864271
Position 20752: 0.9467157911840791
Position 13472: 0.7292396046291574
Position 13752: 0.6371383394017389
Position 29572: 0.5959154187807053
Position 13780: 0.2704005057359795
Position 16820: 0.2671104721455566
Position 13513: 0.08797490027339533
Position 27687: 0.07396204971442483
Position 24189: 0.07364205776527416
Position 28311: 0.05323871638797589
Position 27015: 0.0499035446044671
Position 27580: 0.047294258779789
Position 20718: 0.04685521889499771
Position 18956: 0.045363042135961165
Position 28052: 0.03703655421419047
Position 27082: 0.029749095587802407
Position 14490: 0.0293843799796583
Position 28599: 0.028248480478523134
Position 29533: 0.02779221749129833
