Gene = FAM221B
index = 535
Annotated 5SS: [ 270 3169 3503 8843 9536 9843]
Annotated 3SS: [ 2570  3358  8731  9337  9722 10225]
SMsplice 5SS: [ 270 3503 8630 8843 9416 9843]
SMsplice 3SS: [ 3358  8319  8731  9337  9722 10225]
top_k =  500
Partition function (log Z): -3.703913576599395

Sorted 5' Splice Sites (High to Low Probability):
Position 8843: 0.9473717721985887
Position 270: 0.9257858231447086
Position 9843: 0.8828929934098653
Position 3503: 0.8761506568039662
Position 8630: 0.4881779430759951
Position 9416: 0.36052520315218656
Position 7295: 0.20744167187417997
Position 9536: 0.1911734392292167
Position 8584: 0.16164112865322242
Position 9358: 0.12972238220431007
Position 10328: 0.12554560934072204
Position 1941: 0.11415680240437615
Position 4615: 0.09810209561646357
Position 9571: 0.09693492451341441
Position 9412: 0.08936899357161586
Position 226: 0.027452499610016966
Position 9616: 0.02328097532959497
Position 1308: 0.02088585874953696
Position 967: 0.020786829014538488
Position 3199: 0.019968675815511726
Position 8669: 0.011173114636740596
Position 10645: 0.009346492309104263
Position 8158: 0.009126606306921073
Position 1945: 0.008949379220449945
Position 8511: 0.00887066271714977
Position 10260: 0.008211772832696279
Position 8994: 0.008017615672727884
Position 1203: 0.006686090773012444
Position 8540: 0.006165957639787284
Position 972: 0.0055511965060108664
Position 1184: 0.005549331759034915
Position 3707: 0.004671201323402325
Position 9879: 0.0035105928045339675
Position 10158: 0.0035049083760899063
Position 9555: 0.003367524477048198
Position 55: 0.0032683051028315397
Position 10819: 0.0031027555926145933
Position 8402: 0.002693947598184905
Position 3060: 0.00268953881286029
Position 8598: 0.0022607252481150605
Position 2379: 0.002131275505578458
Position 274: 0.0018540615830414272
Position 1976: 0.00144322529120325
Position 3192: 0.0010059290587839578
Position 9575: 0.0010045629445821671
Position 2714: 0.0009720270041346929
Position 988: 0.0009378210383002605
Position 8150: 0.0008805859402113308
Position 10868: 0.0007942574930245485
Position 3105: 0.0007635932848494056
Position 2996: 0.0004989883656712395
Position 3205: 0.00048511556950625264
Position 8910: 0.0003312618967184241
Position 10025: 0.0001659816665876941
Position 1695: 3.9823307961606914e-05
Position 4779: 2.2449377147152848e-05
Position 518: 2.0602303158124747e-05
Position 5386: 1.6274020970488143e-05
Position 244: 1.4730351715686926e-05
Position 220: 9.324245227944011e-06
Position 730: 6.585132920574919e-06
Position 79: 5.157382326729855e-06
Position 482: 4.472723695937372e-06
Position 524: 2.326623851921118e-06
Position 96: 2.2293433872685865e-06
Position 1146: 1.839920130262542e-06
Position 277: 1.7052738808016662e-06
Position 659: 1.1729551558581349e-06
Position 638: 4.956878672376972e-07
Position 866: 2.9668993258403706e-07
Position 2979: 2.8377312155494263e-07
Position 356: 2.2591841645689124e-07
Position 353: 2.1529879193047875e-07
Position 359: 2.0742979549545892e-07
Position 604: 1.6636469703280798e-07
Position 362: 1.6244178765769447e-07
Position 365: 1.1777120455528334e-07
Position 350: 7.75135194809755e-08
Position 550: 7.672608801597536e-08
Position 368: 7.324929820994138e-08
Position 449: 5.6958249285895056e-08
Position 371: 3.9538504951939806e-08
Position 3717: 3.314796065532736e-08
Position 337: 3.221124080706102e-08
Position 377: 3.068255287981988e-08
