Gene = CMSS1
index = 383
Annotated 5SS: [   210 329228 342668 344599 348561 350007 354066 354570 358582]
Annotated 3SS: [329138 342595 344468 348500 349903 354004 354481 358492 360470]
SMsplice 5SS: [   210  20406  27115  32901  49336  63279 111180 111444 116768 130194
 144325 186316 201952 207725 230566 251933 284696 291496 295677 296774
 296967 297165 307971 329228 342668 344599 350015 354066 354570 358582]
SMsplice 3SS: [ 20290  27036  32791  49166  63168 111068 111303 116647 130092 144212
 186196 201860 207622 230501 251811 284651 291353 295523 296535 296864
 297100 307814 329138 342595 344468 349903 354004 354481 358492 360470]
top_k =  500
Partition function (log Z): -175.32471848598777

Sorted 5' Splice Sites (High to Low Probability):
Position 210: 0.9922199467497312
Position 1688: 0.2971074085773141
Position 2736: 0.2156226263901474
Position 8966: 0.17454877715866407
Position 5227: 0.12065586380135052
Position 9220: 0.11639924021521841
Position 3454: 0.10940507286586797
Position 1319: 0.10509477053079348
Position 8791: 0.08063589747947054
Position 1351: 0.06285421806329065
Position 4597: 0.0557562289482987
Position 9636: 0.04269963387719901
Position 8087: 0.030896951336085596
Position 3744: 0.024173742204917057
Position 9638: 0.020298758630624886
Position 552: 0.004142419983643728
Position 1769: 0.0015349153073284287
Position 696: 0.0014204363027003472
Position 744: 0.0012549224485923485
Position 172: 0.0008577113648767105
Position 886: 0.0008126031202155603
Position 1306: 0.0006259595570612055
Position 2986: 0.0006195976087395212
Position 312: 0.000611484501909267
Position 1447: 0.0005797440397857736
Position 1018: 0.0005361712022483491
Position 2641: 0.0005195278760556286
Position 1126: 0.0002765356480837501
Position 1790: 0.00023299872125896788
Position 677: 0.00021463548760558297
Position 3431: 0.00016637838050436723
Position 3150: 0.00016155992638807254
Position 705: 0.00013529138344041256
Position 260: 0.00013123790842938852
Position 1023: 6.917476728452875e-05
Position 1731: 6.0496947678427063e-05
Position 1204: 5.6557624391611854e-05
Position 1621: 5.4511615527535524e-05
Position 355: 5.022218683802844e-05
Position 1713: 4.208414970421294e-05
Position 1614: 4.087115665545598e-05
Position 1792: 3.5452796666403486e-05
Position 295: 3.295824972716689e-05
Position 2064: 3.0294581355893382e-05
Position 84: 2.605646895964359e-05
Position 1103: 2.538377094069421e-05
Position 128: 1.7865528463061816e-05
Position 1099: 1.6530598494871612e-05
Position 276: 1.256109697105981e-05
Position 1028: 8.051494611844393e-06
Position 512: 7.289694973289388e-06
Position 940: 3.3101076265619583e-06
Position 1045: 1.4896331233210546e-06
Position 641: 8.588020505029473e-07
Position 605: 6.371758391096409e-07
Position 618: 6.269288963049254e-07
Position 1526: 4.190479153597702e-07
Position 519: 3.0924062730908887e-07
Position 169: 3.006251393236714e-07
Position 51: 2.967687051510864e-07
Position 117: 2.7109407139895254e-07
Position 376: 2.4530108105735584e-07
Position 101: 1.9644687881617553e-07
Position 504: 1.8965302160489437e-07
Position 1164: 8.380530010931759e-08
